"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Sherburne",1005,45586,1,5,2008,2009
"Sherburne",1023,1727,1,23,2008,2009
"Sherburne",1028,158,1,28,2008,2009
"Sherburne",1036,318,1,36,2008,2009
"Sherburne",1037,39,1,37,2008,2009
"Sherburne",1043,6722,1,43,2008,2009
"Sherburne",1061,155,1,61,2008,2009
"Sherburne",1111,17,1,111,2008,2009
"Sherburne",1121,169,1,121,2008,2009
"Sherburne",1152,7,1,152,2008,2009
"Sherburne",1176,7546,1,176,2008,2009
"Sherburne",1190,1,1,190,2008,2009
"Sherburne",1195,881,1,195,2008,2009
"Sherburne",5005,18845,5,5,2008,2009
"Sherburne",5023,4833,5,23,2008,2009
"Sherburne",5024,54,5,24,2008,2009
"Sherburne",5028,497,5,28,2008,2009
"Sherburne",5036,388,5,36,2008,2009
"Sherburne",5037,67,5,37,2008,2009
"Sherburne",5043,9640,5,43,2008,2009
"Sherburne",5058,5,5,58,2008,2009
"Sherburne",5059,53,5,59,2008,2009
"Sherburne",5061,1115,5,61,2008,2009
"Sherburne",5111,37,5,111,2008,2009
"Sherburne",5121,1026,5,121,2008,2009
"Sherburne",5141,99,5,141,2008,2009
"Sherburne",5142,1,5,142,2008,2009
"Sherburne",5152,6,5,152,2008,2009
"Sherburne",5176,13643,5,176,2008,2009
"Sherburne",5190,1,5,190,2008,2009
"Sherburne",5195,654,5,195,2008,2009
"Sherburne",6005,4,6,5,2008,2009
"Sherburne",6023,7,6,23,2008,2009
"Sherburne",6176,9,6,176,2008,2009
"Sherburne",21005,56,21,5,2008,2009
"Sherburne",21023,18,21,23,2008,2009
"Sherburne",21028,5,21,28,2008,2009
"Sherburne",21036,5,21,36,2008,2009
"Sherburne",21061,4,21,61,2008,2009
"Sherburne",21176,66,21,176,2008,2009
"Sherburne",21195,4,21,195,2008,2009
"Sherburne",23005,1404,23,5,2008,2009
"Sherburne",23023,245,23,23,2008,2009
"Sherburne",23024,7,23,24,2008,2009
"Sherburne",23028,43,23,28,2008,2009
"Sherburne",23036,30,23,36,2008,2009
"Sherburne",23037,8,23,37,2008,2009
"Sherburne",23043,34,23,43,2008,2009
"Sherburne",23061,60,23,61,2008,2009
"Sherburne",23111,17,23,111,2008,2009
"Sherburne",23121,37,23,121,2008,2009
"Sherburne",23131,19,23,131,2008,2009
"Sherburne",23141,7,23,141,2008,2009
"Sherburne",23176,1469,23,176,2008,2009
"Sherburne",23195,50,23,195,2008,2009
"Sherburne",24005,131,24,5,2008,2009
"Sherburne",24023,42,24,23,2008,2009
"Sherburne",24028,7,24,28,2008,2009
"Sherburne",24036,17,24,36,2008,2009
"Sherburne",24037,4,24,37,2008,2009
"Sherburne",24059,10,24,59,2008,2009
"Sherburne",24061,8,24,61,2008,2009
"Sherburne",24111,3,24,111,2008,2009
"Sherburne",24131,9,24,131,2008,2009
"Sherburne",24176,286,24,176,2008,2009
"Sherburne",24195,15,24,195,2008,2009
"Sherburne",27176,3846,27,176,2008,2009
"Sherburne",27190,3,27,190,2008,2009
"Sherburne",27195,61,27,195,2008,2009
"Sherburne",28005,148,28,5,2008,2009
"Sherburne",28023,42,28,23,2008,2009
"Sherburne",28028,4,28,28,2008,2009
"Sherburne",28036,15,28,36,2008,2009
"Sherburne",28037,1,28,37,2008,2009
"Sherburne",28061,11,28,61,2008,2009
"Sherburne",28141,12,28,141,2008,2009
"Sherburne",28176,288,28,176,2008,2009
"Sherburne",28195,9,28,195,2008,2009
"Sherburne",36005,378,36,5,2008,2009
"Sherburne",36023,59,36,23,2008,2009
"Sherburne",36028,10,36,28,2008,2009
"Sherburne",36036,3720,36,36,2008,2009
"Sherburne",36037,144,36,37,2008,2009
"Sherburne",36059,37,36,59,2008,2009
"Sherburne",36061,10,36,61,2008,2009
"Sherburne",36131,2,36,131,2008,2009
"Sherburne",36141,63,36,141,2008,2009
"Sherburne",36152,2,36,152,2008,2009
"Sherburne",36176,5001,36,176,2008,2009
"Sherburne",36195,64,36,195,2008,2009
"Sherburne",37005,294,37,5,2008,2009
"Sherburne",37023,148,37,23,2008,2009
"Sherburne",37024,5,37,24,2008,2009
"Sherburne",37028,18,37,28,2008,2009
"Sherburne",37036,200,37,36,2008,2009
"Sherburne",37037,97,37,37,2008,2009
"Sherburne",37059,7,37,59,2008,2009
"Sherburne",37061,24,37,61,2008,2009
"Sherburne",37111,1,37,111,2008,2009
"Sherburne",37141,96,37,141,2008,2009
"Sherburne",37142,3,37,142,2008,2009
"Sherburne",37152,5,37,152,2008,2009
"Sherburne",37176,4005,37,176,2008,2009
"Sherburne",37195,101,37,195,2008,2009
"Sherburne",42005,424,42,5,2008,2009
"Sherburne",42023,200,42,23,2008,2009
"Sherburne",42061,100,42,61,2008,2009
"Sherburne",42176,268,42,176,2008,2009
"Sherburne",42190,1,42,190,2008,2009
"Sherburne",42195,16,42,195,2008,2009
"Sherburne",43023,82,43,23,2008,2009
"Sherburne",43061,111,43,61,2008,2009
"Sherburne",43176,971,43,176,2008,2009
"Sherburne",43195,25,43,195,2008,2009
"Sherburne",58005,1,58,5,2008,2009
"Sherburne",58176,1,58,176,2008,2009
"Sherburne",59005,2,59,5,2008,2009
"Sherburne",59023,2,59,23,2008,2009
"Sherburne",59036,8,59,36,2008,2009
"Sherburne",59037,1,59,37,2008,2009
"Sherburne",59059,156,59,59,2008,2009
"Sherburne",59111,2,59,111,2008,2009
"Sherburne",59141,7,59,141,2008,2009
"Sherburne",59142,1,59,142,2008,2009
"Sherburne",59176,128,59,176,2008,2009
"Sherburne",59195,2,59,195,2008,2009
"Sherburne",61005,264,61,5,2008,2009
