"xCoords","yCoords","width","colorToUse"
1,6.4,3.76536456707058,"#ffd300"
1.2,6.4,3.76536456707058,"#ffd300"
1.4,6.4,3.76536456707058,"#ffd300"
2,6.4,3.76536456707058,"#ffd300"
1.8,6.4,3.76536456707058,"#ffd300"
1.6,6.4,3.76536456707058,"#ffd300"
1,6.4,0.169691586890034,"#e41a1c"
1.2,5.9,0.169691586890034,"#e41a1c"
1.4,5.9,0.169691586890034,"#e41a1c"
2,1.9,0.169691586890034,"#ffd300"
1.8,2.4,0.169691586890034,"#ffd300"
1.6,2.4,0.169691586890034,"#ffd300"
1,6.4,0.0245170034670744,"#f781bf"
1.2,6.2,0.0245170034670744,"#f781bf"
1.4,6.2,0.0245170034670744,"#f781bf"
2,4.6,0.0245170034670744,"#ffd300"
1.8,4.8,0.0245170034670744,"#ffd300"
1.6,4.8,0.0245170034670744,"#ffd300"
1,6.4,1.35707011014919,"#AAAAAA"
1.2,5.8,1.35707011014919,"#AAAAAA"
1.4,5.8,1.35707011014919,"#AAAAAA"
2,1,1.35707011014919,"#ffd300"
1.8,1.6,1.35707011014919,"#ffd300"
1.6,1.6,1.35707011014919,"#ffd300"
1,6.4,3.51456641525173,"#4daf4a"
1.2,6.3,3.51456641525173,"#4daf4a"
1.4,6.3,3.51456641525173,"#4daf4a"
2,5.5,3.51456641525173,"#ffd300"
1.8,5.6,3.51456641525173,"#ffd300"
1.6,5.6,3.51456641525173,"#ffd300"
1,6.4,0.13314737417496,"#a65628"
1.2,6.1,0.13314737417496,"#a65628"
1.4,6.1,0.13314737417496,"#a65628"
2,3.7,0.13314737417496,"#ffd300"
1.8,4,0.13314737417496,"#ffd300"
1.6,4,0.13314737417496,"#ffd300"
1,6.4,0.000231292485538437,"#377eb8"
1.2,6,0.000231292485538437,"#377eb8"
1.4,6,0.000231292485538437,"#377eb8"
2,2.8,0.000231292485538437,"#ffd300"
1.8,3.2,0.000231292485538437,"#ffd300"
1.6,3.2,0.000231292485538437,"#ffd300"
1,1.9,0.341541903645092,"#ffd300"
1.2,2.4,0.341541903645092,"#ffd300"
1.4,2.4,0.341541903645092,"#ffd300"
2,6.4,0.341541903645092,"#e41a1c"
1.8,5.9,0.341541903645092,"#e41a1c"
1.6,5.9,0.341541903645092,"#e41a1c"
1,1.9,0.00339228978789708,"#e41a1c"
1.2,1.9,0.00339228978789708,"#e41a1c"
1.4,1.9,0.00339228978789708,"#e41a1c"
2,1.9,0.00339228978789708,"#e41a1c"
1.8,1.9,0.00339228978789708,"#e41a1c"
1.6,1.9,0.00339228978789708,"#e41a1c"
1,1.9,0.000925169942153749,"#f781bf"
1.2,2.2,0.000925169942153749,"#f781bf"
1.4,2.2,0.000925169942153749,"#f781bf"
2,4.6,0.000925169942153749,"#e41a1c"
1.8,4.3,0.000925169942153749,"#e41a1c"
1.6,4.3,0.000925169942153749,"#e41a1c"
1,1.9,0.0915918242732212,"#AAAAAA"
1.2,1.8,0.0915918242732212,"#AAAAAA"
1.4,1.8,0.0915918242732212,"#AAAAAA"
2,1,0.0915918242732212,"#e41a1c"
1.8,1.1,0.0915918242732212,"#e41a1c"
1.6,1.1,0.0915918242732212,"#e41a1c"
1,1.9,0.0326893379560991,"#4daf4a"
1.2,2.3,0.0326893379560991,"#4daf4a"
1.4,2.3,0.0326893379560991,"#4daf4a"
2,5.5,0.0326893379560991,"#e41a1c"
1.8,5.1,0.0326893379560991,"#e41a1c"
1.6,5.1,0.0326893379560991,"#e41a1c"
1,1.9,0.0154194990358958,"#a65628"
1.2,2.1,0.0154194990358958,"#a65628"
1.4,2.1,0.0154194990358958,"#a65628"
2,3.7,0.0154194990358958,"#e41a1c"
1.8,3.5,0.0154194990358958,"#e41a1c"
1.6,3.5,0.0154194990358958,"#e41a1c"
1,4.6,0.0639138235037882,"#ffd300"
1.2,4.8,0.0639138235037882,"#ffd300"
1.4,4.8,0.0639138235037882,"#ffd300"
2,6.4,0.0639138235037882,"#f781bf"
1.8,6.2,0.0639138235037882,"#f781bf"
1.6,6.2,0.0639138235037882,"#f781bf"
1,4.6,7.70974951794791e-05,"#e41a1c"
1.2,4.3,7.70974951794791e-05,"#e41a1c"
1.4,4.3,7.70974951794791e-05,"#e41a1c"
2,1.9,7.70974951794791e-05,"#f781bf"
1.8,2.2,7.70974951794791e-05,"#f781bf"
1.6,2.2,7.70974951794791e-05,"#f781bf"
1,4.6,0.67637632520957,"#f781bf"
1.2,4.6,0.67637632520957,"#f781bf"
1.4,4.6,0.67637632520957,"#f781bf"
