"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Sibley",1005,464805,1,5,2008,2009
"Sibley",1023,3541,1,23,2008,2009
"Sibley",1028,236,1,28,2008,2009
"Sibley",1036,1425,1,36,2008,2009
"Sibley",1037,36,1,37,2008,2009
"Sibley",1059,5,1,59,2008,2009
"Sibley",1061,6,1,61,2008,2009
"Sibley",1111,180,1,111,2008,2009
"Sibley",1121,1952,1,121,2008,2009
"Sibley",1152,20,1,152,2008,2009
"Sibley",1176,11879,1,176,2008,2009
"Sibley",1190,10,1,190,2008,2009
"Sibley",1195,5983,1,195,2008,2009
"Sibley",5005,34880,5,5,2008,2009
"Sibley",5023,5392,5,23,2008,2009
"Sibley",5024,141,5,24,2008,2009
"Sibley",5028,295,5,28,2008,2009
"Sibley",5036,1105,5,36,2008,2009
"Sibley",5037,26,5,37,2008,2009
"Sibley",5059,22,5,59,2008,2009
"Sibley",5061,15,5,61,2008,2009
"Sibley",5111,77,5,111,2008,2009
"Sibley",5121,1189,5,121,2008,2009
"Sibley",5141,686,5,141,2008,2009
"Sibley",5142,3,5,142,2008,2009
"Sibley",5152,25,5,152,2008,2009
"Sibley",5176,9330,5,176,2008,2009
"Sibley",5190,20,5,190,2008,2009
"Sibley",5195,3015,5,195,2008,2009
"Sibley",6005,1,6,5,2008,2009
"Sibley",6176,1,6,176,2008,2009
"Sibley",21005,3,21,5,2008,2009
"Sibley",21036,61,21,36,2008,2009
"Sibley",21176,2,21,176,2008,2009
"Sibley",21195,1,21,195,2008,2009
"Sibley",23005,2646,23,5,2008,2009
"Sibley",23023,364,23,23,2008,2009
"Sibley",23024,2,23,24,2008,2009
"Sibley",23028,41,23,28,2008,2009
"Sibley",23036,398,23,36,2008,2009
"Sibley",23037,2,23,37,2008,2009
"Sibley",23061,1,23,61,2008,2009
"Sibley",23111,3,23,111,2008,2009
"Sibley",23121,4,23,121,2008,2009
"Sibley",23131,3,23,131,2008,2009
"Sibley",23141,3,23,141,2008,2009
"Sibley",23152,1,23,152,2008,2009
"Sibley",23176,610,23,176,2008,2009
"Sibley",23195,133,23,195,2008,2009
"Sibley",24005,324,24,5,2008,2009
"Sibley",24023,17,24,23,2008,2009
"Sibley",24028,2,24,28,2008,2009
"Sibley",24036,76,24,36,2008,2009
"Sibley",24111,1,24,111,2008,2009
"Sibley",24131,3,24,131,2008,2009
"Sibley",24176,152,24,176,2008,2009
"Sibley",24195,34,24,195,2008,2009
"Sibley",27176,14,27,176,2008,2009
"Sibley",27195,1,27,195,2008,2009
"Sibley",28005,100,28,5,2008,2009
