"xCoords","yCoords","width","colorToUse"
1,6.4,11.4495557781227,"#ffd300"
1.2,6.4,11.4495557781227,"#ffd300"
1.4,6.4,11.4495557781227,"#ffd300"
2,6.4,11.4495557781227,"#ffd300"
1.8,6.4,11.4495557781227,"#ffd300"
1.6,6.4,11.4495557781227,"#ffd300"
1,6.4,0.0480536813399055,"#e41a1c"
1.2,5.9,0.0480536813399055,"#e41a1c"
1.4,5.9,0.0480536813399055,"#e41a1c"
2,1.9,0.0480536813399055,"#ffd300"
1.8,2.4,0.0480536813399055,"#ffd300"
1.6,2.4,0.0480536813399055,"#ffd300"
1,6.4,0.0824025221532675,"#f781bf"
1.2,6.2,0.0824025221532675,"#f781bf"
1.4,6.2,0.0824025221532675,"#f781bf"
2,4.6,0.0824025221532675,"#ffd300"
1.8,4.8,0.0824025221532675,"#ffd300"
1.6,4.8,0.0824025221532675,"#ffd300"
1,6.4,2.02056766952946,"#AAAAAA"
1.2,5.8,2.02056766952946,"#AAAAAA"
1.4,5.8,2.02056766952946,"#AAAAAA"
2,1,2.02056766952946,"#ffd300"
1.8,1.6,2.02056766952946,"#ffd300"
1.6,1.6,2.02056766952946,"#ffd300"
1,6.4,26.8779679364558,"#4daf4a"
1.2,6.3,26.8779679364558,"#4daf4a"
1.4,6.3,26.8779679364558,"#4daf4a"
2,5.5,26.8779679364558,"#ffd300"
1.8,5.6,26.8779679364558,"#ffd300"
1.6,5.6,26.8779679364558,"#ffd300"
1,6.4,0.204763039259453,"#a65628"
1.2,6.1,0.204763039259453,"#a65628"
1.4,6.1,0.204763039259453,"#a65628"
2,3.7,0.204763039259453,"#ffd300"
1.8,4,0.204763039259453,"#ffd300"
1.6,4,0.204763039259453,"#ffd300"
1,6.4,0.491408163690153,"#377eb8"
1.2,6,0.491408163690153,"#377eb8"
1.4,6,0.491408163690153,"#377eb8"
2,2.8,0.491408163690153,"#ffd300"
1.8,3.2,0.491408163690153,"#ffd300"
1.6,3.2,0.491408163690153,"#ffd300"
1,1.9,0.133636651716632,"#ffd300"
1.2,2.4,0.133636651716632,"#ffd300"
1.4,2.4,0.133636651716632,"#ffd300"
2,6.4,0.133636651716632,"#e41a1c"
1.8,5.9,0.133636651716632,"#e41a1c"
1.6,5.9,0.133636651716632,"#e41a1c"
1,1.9,0.000173478994006879,"#f781bf"
1.2,2.2,0.000173478994006879,"#f781bf"
1.4,2.2,0.000173478994006879,"#f781bf"
2,4.6,0.000173478994006879,"#e41a1c"
1.8,4.3,0.000173478994006879,"#e41a1c"
1.6,4.3,0.000173478994006879,"#e41a1c"
1,1.9,0.00491523816352824,"#AAAAAA"
1.2,1.8,0.00491523816352824,"#AAAAAA"
1.4,1.8,0.00491523816352824,"#AAAAAA"
2,1,0.00491523816352824,"#e41a1c"
1.8,1.1,0.00491523816352824,"#e41a1c"
1.6,1.1,0.00491523816352824,"#e41a1c"
1,1.9,0.00312262189212382,"#4daf4a"
1.2,2.3,0.00312262189212382,"#4daf4a"
1.4,2.3,0.00312262189212382,"#4daf4a"
2,5.5,0.00312262189212382,"#e41a1c"
1.8,5.1,0.00312262189212382,"#e41a1c"
1.6,5.1,0.00312262189212382,"#e41a1c"
1,1.9,0.000231305325342505,"#377eb8"
1.2,2,0.000231305325342505,"#377eb8"
1.4,2,0.000231305325342505,"#377eb8"
2,2.8,0.000231305325342505,"#e41a1c"
1.8,2.7,0.000231305325342505,"#e41a1c"
1.6,2.7,0.000231305325342505,"#e41a1c"
1,4.6,0.190017324768868,"#ffd300"
1.2,4.8,0.190017324768868,"#ffd300"
1.4,4.8,0.190017324768868,"#ffd300"
2,6.4,0.190017324768868,"#f781bf"
1.8,6.2,0.190017324768868,"#f781bf"
1.6,6.2,0.190017324768868,"#f781bf"
1,4.6,0.000115652662671253,"#e41a1c"
1.2,4.3,0.000115652662671253,"#e41a1c"
1.4,4.3,0.000115652662671253,"#e41a1c"
2,1.9,0.000115652662671253,"#f781bf"
1.8,2.2,0.000115652662671253,"#f781bf"
1.6,2.2,0.000115652662671253,"#f781bf"
1,4.6,0.448501025839118,"#f781bf"
1.2,4.6,0.448501025839118,"#f781bf"
1.4,4.6,0.448501025839118,"#f781bf"
2,4.6,0.448501025839118,"#f781bf"
1.8,4.6,0.448501025839118,"#f781bf"
1.6,4.6,0.448501025839118,"#f781bf"
1,4.6,0.384371624387908,"#AAAAAA"
1.2,4.2,0.384371624387908,"#AAAAAA"
1.4,4.2,0.384371624387908,"#AAAAAA"
2,1,0.384371624387908,"#f781bf"
1.8,1.4,0.384371624387908,"#f781bf"
1.6,1.4,0.384371624387908,"#f781bf"
1,4.6,0.044410622465761,"#4daf4a"
1.2,4.7,0.044410622465761,"#4daf4a"
1.4,4.7,0.044410622465761,"#4daf4a"
2,5.5,0.044410622465761,"#f781bf"
1.8,5.4,0.044410622465761,"#f781bf"
1.6,5.4,0.044410622465761,"#f781bf"
1,4.6,0.00266001124143881,"#a65628"
1.2,4.5,0.00266001124143881,"#a65628"
1.4,4.5,0.00266001124143881,"#a65628"
2,3.7,0.00266001124143881,"#f781bf"
1.8,3.8,0.00266001124143881,"#f781bf"
1.6,3.8,0.00266001124143881,"#f781bf"
1,4.6,0.000346957988013758,"#377eb8"
1.2,4.4,0.000346957988013758,"#377eb8"
1.4,4.4,0.000346957988013758,"#377eb8"
2,2.8,0.000346957988013758,"#f781bf"
1.8,3,0.000346957988013758,"#f781bf"
1.6,3,0.000346957988013758,"#f781bf"
1,1,2.74038984199533,"#ffd300"
1.2,1.6,2.74038984199533,"#ffd300"
1.4,1.6,2.74038984199533,"#ffd300"
2,6.4,2.74038984199533,"#AAAAAA"
1.8,5.8,2.74038984199533,"#AAAAAA"
1.6,5.8,2.74038984199533,"#AAAAAA"
1,1,0.00133000562071941,"#e41a1c"
1.2,1.1,0.00133000562071941,"#e41a1c"
1.4,1.1,0.00133000562071941,"#e41a1c"
2,1.9,0.00133000562071941,"#AAAAAA"
1.8,1.8,0.00133000562071941,"#AAAAAA"
1.6,1.8,0.00133000562071941,"#AAAAAA"
1,1,0.291618188925564,"#f781bf"
1.2,1.4,0.291618188925564,"#f781bf"
1.4,1.4,0.291618188925564,"#f781bf"
2,4.6,0.291618188925564,"#AAAAAA"
1.8,4.2,0.291618188925564,"#AAAAAA"
1.6,4.2,0.291618188925564,"#AAAAAA"
1,1,21.1576137617416,"#AAAAAA"
1.2,1,21.1576137617416,"#AAAAAA"
1.4,1,21.1576137617416,"#AAAAAA"
2,1,21.1576137617416,"#AAAAAA"
1.8,1,21.1576137617416,"#AAAAAA"
1.6,1,21.1576137617416,"#AAAAAA"
1,1,1.2415313337759,"#4daf4a"
1.2,1.5,1.2415313337759,"#4daf4a"
1.4,1.5,1.2415313337759,"#4daf4a"
2,5.5,1.2415313337759,"#AAAAAA"
1.8,5,1.2415313337759,"#AAAAAA"
1.6,5,1.2415313337759,"#AAAAAA"
1,1,0.0289131656678132,"#a65628"
1.2,1.3,0.0289131656678132,"#a65628"
1.4,1.3,0.0289131656678132,"#a65628"
2,3.7,0.0289131656678132,"#AAAAAA"
1.8,3.4,0.0289131656678132,"#AAAAAA"
1.6,3.4,0.0289131656678132,"#AAAAAA"
1,1,0.121840080124165,"#377eb8"
1.2,1.2,0.121840080124165,"#377eb8"
1.4,1.2,0.121840080124165,"#377eb8"
2,2.8,0.121840080124165,"#AAAAAA"
1.8,2.6,0.121840080124165,"#AAAAAA"
1.6,2.6,0.121840080124165,"#AAAAAA"
1,5.5,26.1069116344266,"#ffd300"
1.2,5.6,26.1069116344266,"#ffd300"
1.4,5.6,26.1069116344266,"#ffd300"
2,6.4,26.1069116344266,"#4daf4a"
1.8,6.3,26.1069116344266,"#4daf4a"
1.6,6.3,26.1069116344266,"#4daf4a"
1,5.5,0.00312262189212382,"#e41a1c"
1.2,5.1,0.00312262189212382,"#e41a1c"
1.4,5.1,0.00312262189212382,"#e41a1c"
2,1.9,0.00312262189212382,"#4daf4a"
1.8,2.3,0.00312262189212382,"#4daf4a"
1.6,2.3,0.00312262189212382,"#4daf4a"
1,5.5,0.0638980961258671,"#f781bf"
1.2,5.4,0.0638980961258671,"#f781bf"
1.4,5.4,0.0638980961258671,"#f781bf"
2,4.6,0.0638980961258671,"#4daf4a"
1.8,4.7,0.0638980961258671,"#4daf4a"
1.6,4.7,0.0638980961258671,"#4daf4a"
1,5.5,1.79440888767582,"#AAAAAA"
1.2,5,1.79440888767582,"#AAAAAA"
1.4,5,1.79440888767582,"#AAAAAA"
2,1,1.79440888767582,"#4daf4a"
1.8,1.5,1.79440888767582,"#4daf4a"
1.6,1.5,1.79440888767582,"#4daf4a"
1,5.5,2.01698243698665,"#4daf4a"
1.2,5.5,2.01698243698665,"#4daf4a"
