"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"St. Louis",0,15459,0,0,2008,2009
"St. Louis",1005,10,1,5,2008,2009
"St. Louis",1023,4,1,23,2008,2009
"St. Louis",1028,28,1,28,2008,2009
"St. Louis",1036,4,1,36,2008,2009
"St. Louis",1037,8,1,37,2008,2009
"St. Louis",1111,30,1,111,2008,2009
"St. Louis",1121,17,1,121,2008,2009
"St. Louis",1152,137,1,152,2008,2009
"St. Louis",1176,332,1,176,2008,2009
"St. Louis",1190,99,1,190,2008,2009
"St. Louis",1195,248,1,195,2008,2009
"St. Louis",5005,10,5,5,2008,2009
"St. Louis",5023,2,5,23,2008,2009
"St. Louis",5028,21,5,28,2008,2009
"St. Louis",5036,11,5,36,2008,2009
"St. Louis",5037,53,5,37,2008,2009
"St. Louis",5061,3,5,61,2008,2009
"St. Louis",5111,29,5,111,2008,2009
"St. Louis",5121,12,5,121,2008,2009
"St. Louis",5141,37,5,141,2008,2009
"St. Louis",5142,1,5,142,2008,2009
"St. Louis",5152,48,5,152,2008,2009
"St. Louis",5176,625,5,176,2008,2009
"St. Louis",5190,129,5,190,2008,2009
"St. Louis",5195,263,5,195,2008,2009
"St. Louis",21176,1,21,176,2008,2009
"St. Louis",23024,2,23,24,2008,2009
"St. Louis",23036,1,23,36,2008,2009
"St. Louis",23037,3,23,37,2008,2009
"St. Louis",23061,1,23,61,2008,2009
"St. Louis",23111,6,23,111,2008,2009
"St. Louis",23121,1,23,121,2008,2009
"St. Louis",23131,54,23,131,2008,2009
"St. Louis",23141,19,23,141,2008,2009
"St. Louis",23142,3,23,142,2008,2009
"St. Louis",23152,15,23,152,2008,2009
"St. Louis",23176,99,23,176,2008,2009
"St. Louis",23190,52,23,190,2008,2009
"St. Louis",23195,37,23,195,2008,2009
"St. Louis",24176,2,24,176,2008,2009
"St. Louis",28005,2,28,5,2008,2009
"St. Louis",28023,7,28,23,2008,2009
"St. Louis",28028,29,28,28,2008,2009
"St. Louis",28036,40,28,36,2008,2009
"St. Louis",28037,23,28,37,2008,2009
"St. Louis",28061,1,28,61,2008,2009
"St. Louis",28141,18,28,141,2008,2009
"St. Louis",28176,470,28,176,2008,2009
"St. Louis",28190,54,28,190,2008,2009
"St. Louis",28195,104,28,195,2008,2009
"St. Louis",31176,1,31,176,2008,2009
"St. Louis",36005,3,36,5,2008,2009
"St. Louis",36028,12,36,28,2008,2009
"St. Louis",36036,153,36,36,2008,2009
"St. Louis",36037,163,36,37,2008,2009
"St. Louis",36061,1,36,61,2008,2009
"St. Louis",36131,11,36,131,2008,2009
"St. Louis",36141,23,36,141,2008,2009
"St. Louis",36142,2,36,142,2008,2009
"St. Louis",36152,67,36,152,2008,2009
"St. Louis",36176,1881,36,176,2008,2009
"St. Louis",36190,97,36,190,2008,2009
"St. Louis",36195,127,36,195,2008,2009
"St. Louis",37005,16,37,5,2008,2009
"St. Louis",37023,5,37,23,2008,2009
"St. Louis",37024,1,37,24,2008,2009
"St. Louis",37028,9,37,28,2008,2009
"St. Louis",37036,214,37,36,2008,2009
"St. Louis",37037,2862,37,37,2008,2009
"St. Louis",37061,2,37,61,2008,2009
"St. Louis",37111,13,37,111,2008,2009
"St. Louis",37141,86,37,141,2008,2009
"St. Louis",37142,2,37,142,2008,2009
"St. Louis",37152,227,37,152,2008,2009
"St. Louis",37176,17159,37,176,2008,2009
"St. Louis",37190,707,37,190,2008,2009
"St. Louis",37195,625,37,195,2008,2009
"St. Louis",43195,1,43,195,2008,2009
"St. Louis",44044,1,44,44,2008,2009
"St. Louis",44111,6,44,111,2008,2009
"St. Louis",44190,23,44,190,2008,2009
"St. Louis",44195,14,44,195,2008,2009
"St. Louis",58005,1,58,5,2008,2009
"St. Louis",58036,34,58,36,2008,2009
"St. Louis",58037,126,58,37,2008,2009
"St. Louis",58176,516,58,176,2008,2009
"St. Louis",58195,3,58,195,2008,2009
"St. Louis",61005,4,61,5,2008,2009
"St. Louis",61028,14,61,28,2008,2009
"St. Louis",61036,20,61,36,2008,2009
"St. Louis",61037,13,61,37,2008,2009
"St. Louis",61061,1,61,61,2008,2009
"St. Louis",61111,9,61,111,2008,2009
"St. Louis",61141,36,61,141,2008,2009
"St. Louis",61152,53,61,152,2008,2009
"St. Louis",61176,239,61,176,2008,2009
"St. Louis",61190,65,61,190,2008,2009
"St. Louis",61195,83,61,195,2008,2009
"St. Louis",111005,22,111,5,2008,2009
"St. Louis",111023,8,111,23,2008,2009
"St. Louis",111028,10,111,28,2008,2009
"St. Louis",111037,9,111,37,2008,2009
"St. Louis",111044,82,111,44,2008,2009
"St. Louis",111111,1448942,111,111,2008,2009
"St. Louis",111141,3426,111,141,2008,2009
"St. Louis",111142,4132,111,142,2008,2009
"St. Louis",111152,2656,111,152,2008,2009
"St. Louis",111176,1371,111,176,2008,2009
"St. Louis",111190,39072,111,190,2008,2009
"St. Louis",111195,11953,111,195,2008,2009
"St. Louis",121005,1,121,5,2008,2009
"St. Louis",121036,11,121,36,2008,2009
"St. Louis",121121,365094,121,121,2008,2009
"St. Louis",121122,13196,121,122,2008,2009
"St. Louis",121123,685,121,123,2008,2009
"St. Louis",121176,596,121,176,2008,2009
"St. Louis",121195,71,121,195,2008,2009
"St. Louis",122121,10001,122,121,2008,2009
"St. Louis",122122,69999,122,122,2008,2009
"St. Louis",122123,5853,122,123,2008,2009
"St. Louis",122176,37,122,176,2008,2009
"St. Louis",123001,6,123,1,2008,2009
"St. Louis",123005,1,123,5,2008,2009
"St. Louis",123023,1,123,23,2008,2009
"St. Louis",123121,995,123,121,2008,2009
"St. Louis",123122,5539,123,122,2008,2009
"St. Louis",123123,40545,123,123,2008,2009
"St. Louis",123124,462,123,124,2008,2009
"St. Louis",123176,22,123,176,2008,2009
"St. Louis",123195,11,123,195,2008,2009
"St. Louis",124122,106,124,122,2008,2009
"St. Louis",124123,837,124,123,2008,2009
"St. Louis",124124,16157,124,124,2008,2009
"St. Louis",131005,15,131,5,2008,2009
"St. Louis",131023,41,131,23,2008,2009
"St. Louis",131028,56,131,28,2008,2009
"St. Louis",131044,12,131,44,2008,2009
"St. Louis",131061,103,131,61,2008,2009
"St. Louis",131111,10302,131,111,2008,2009
"St. Louis",131141,2790,131,141,2008,2009
"St. Louis",131142,204,131,142,2008,2009
"St. Louis",131176,6851,131,176,2008,2009
"St. Louis",131190,6235,131,190,2008,2009
"St. Louis",131195,1687,131,195,2008,2009
"St. Louis",141005,10,141,5,2008,2009
"St. Louis",141023,12,141,23,2008,2009
"St. Louis",141024,1,141,24,2008,2009
"St. Louis",141028,28,141,28,2008,2009
"St. Louis",141036,33,141,36,2008,2009
"St. Louis",141037,163,141,37,2008,2009
"St. Louis",141044,14,141,44,2008,2009
"St. Louis",141061,11,141,61,2008,2009
"St. Louis",141111,5628,141,111,2008,2009
"St. Louis",141121,679,141,121,2008,2009
"St. Louis",141131,3782,141,131,2008,2009
"St. Louis",141141,2359300,141,141,2008,2009
"St. Louis",141142,43947,141,142,2008,2009
"St. Louis",141152,233720,141,152,2008,2009
"St. Louis",141176,32319,141,176,2008,2009
"St. Louis",141190,859588,141,190,2008,2009
"St. Louis",141195,67979,141,195,2008,2009
"St. Louis",142036,1,142,36,2008,2009
"St. Louis",142037,5,142,37,2008,2009
"St. Louis",142044,1,142,44,2008,2009
"St. Louis",142061,1,142,61,2008,2009
"St. Louis",142131,187,142,131,2008,2009
"St. Louis",142141,31064,142,141,2008,2009
