"xCoords","yCoords","width","colorToUse"
1,6.4,0.000164945273735444,"#ffd300"
1.2,6.4,0.000164945273735444,"#ffd300"
1.4,6.4,0.000164945273735444,"#ffd300"
2,6.4,0.000164945273735444,"#ffd300"
1.8,6.4,0.000164945273735444,"#ffd300"
1.6,6.4,0.000164945273735444,"#ffd300"
1,6.4,2.06181592169306e-05,"#f781bf"
1.2,6.2,2.06181592169306e-05,"#f781bf"
1.4,6.2,2.06181592169306e-05,"#f781bf"
2,4.6,2.06181592169306e-05,"#ffd300"
1.8,4.8,2.06181592169306e-05,"#ffd300"
1.6,4.8,2.06181592169306e-05,"#ffd300"
1,6.4,0.00517000342364534,"#AAAAAA"
1.2,5.8,0.00517000342364534,"#AAAAAA"
1.4,5.8,0.00517000342364534,"#AAAAAA"
2,1,0.00517000342364534,"#ffd300"
1.8,1.6,0.00517000342364534,"#ffd300"
1.6,1.6,0.00517000342364534,"#ffd300"
1,6.4,5.15453980423264e-05,"#4daf4a"
1.2,6.3,5.15453980423264e-05,"#4daf4a"
1.4,6.3,5.15453980423264e-05,"#4daf4a"
2,5.5,5.15453980423264e-05,"#ffd300"
1.8,5.6,5.15453980423264e-05,"#ffd300"
1.6,5.6,5.15453980423264e-05,"#ffd300"
1,6.4,2.06181592169306e-05,"#a65628"
1.2,6.1,2.06181592169306e-05,"#a65628"
1.4,6.1,2.06181592169306e-05,"#a65628"
2,3.7,2.06181592169306e-05,"#ffd300"
1.8,4,2.06181592169306e-05,"#ffd300"
1.6,4,2.06181592169306e-05,"#ffd300"
1,4.6,0.000185563432952375,"#ffd300"
1.2,4.8,0.000185563432952375,"#ffd300"
1.4,4.8,0.000185563432952375,"#ffd300"
2,6.4,0.000185563432952375,"#f781bf"
1.8,6.2,0.000185563432952375,"#f781bf"
1.6,6.2,0.000185563432952375,"#f781bf"
1,4.6,0.114152438504536,"#f781bf"
1.2,4.6,0.114152438504536,"#f781bf"
1.4,4.6,0.114152438504536,"#f781bf"
2,4.6,0.114152438504536,"#f781bf"
1.8,4.6,0.114152438504536,"#f781bf"
1.6,4.6,0.114152438504536,"#f781bf"
1,4.6,0.0125203771844811,"#AAAAAA"
1.2,4.2,0.0125203771844811,"#AAAAAA"
1.4,4.2,0.0125203771844811,"#AAAAAA"
2,1,0.0125203771844811,"#f781bf"
1.8,1.4,0.0125203771844811,"#f781bf"
1.6,1.4,0.0125203771844811,"#f781bf"
1,4.6,9.79362562804202e-05,"#4daf4a"
1.2,4.7,9.79362562804202e-05,"#4daf4a"
1.4,4.7,9.79362562804202e-05,"#4daf4a"
2,5.5,9.79362562804202e-05,"#f781bf"
1.8,5.4,9.79362562804202e-05,"#f781bf"
1.6,5.4,9.79362562804202e-05,"#f781bf"
1,4.6,2.57726990211632e-05,"#a65628"
1.2,4.5,2.57726990211632e-05,"#a65628"
1.4,4.5,2.57726990211632e-05,"#a65628"
2,3.7,2.57726990211632e-05,"#f781bf"
1.8,3.8,2.57726990211632e-05,"#f781bf"
1.6,3.8,2.57726990211632e-05,"#f781bf"
1,1,0.0105564975190684,"#ffd300"
1.2,1.6,0.0105564975190684,"#ffd300"
1.4,1.6,0.0105564975190684,"#ffd300"
2,6.4,0.0105564975190684,"#AAAAAA"
1.8,5.8,0.0105564975190684,"#AAAAAA"
1.6,5.8,0.0105564975190684,"#AAAAAA"
1,1,2.06181592169306e-05,"#e41a1c"
1.2,1.1,2.06181592169306e-05,"#e41a1c"
1.4,1.1,2.06181592169306e-05,"#e41a1c"
2,1.9,2.06181592169306e-05,"#AAAAAA"
1.8,1.8,2.06181592169306e-05,"#AAAAAA"
1.6,1.8,2.06181592169306e-05,"#AAAAAA"
1,1,0.0173811082198725,"#f781bf"
1.2,1.4,0.0173811082198725,"#f781bf"
1.4,1.4,0.0173811082198725,"#f781bf"
2,4.6,0.0173811082198725,"#AAAAAA"
1.8,4.2,0.0173811082198725,"#AAAAAA"
1.6,4.2,0.0173811082198725,"#AAAAAA"
1,1,99.8249982191065,"#AAAAAA"
1.2,1,99.8249982191065,"#AAAAAA"
1.4,1,99.8249982191065,"#AAAAAA"
2,1,99.8249982191065,"#AAAAAA"
1.8,1,99.8249982191065,"#AAAAAA"
1.6,1,99.8249982191065,"#AAAAAA"
1,1,0.00370095957943904,"#4daf4a"
1.2,1.5,0.00370095957943904,"#4daf4a"
1.4,1.5,0.00370095957943904,"#4daf4a"
2,5.5,0.00370095957943904,"#AAAAAA"
1.8,5,0.00370095957943904,"#AAAAAA"
1.6,5,0.00370095957943904,"#AAAAAA"
1,1,0.00198449782462957,"#a65628"
1.2,1.3,0.00198449782462957,"#a65628"
1.4,1.3,0.00198449782462957,"#a65628"
2,3.7,0.00198449782462957,"#AAAAAA"
1.8,3.4,0.00198449782462957,"#AAAAAA"
1.6,3.4,0.00198449782462957,"#AAAAAA"
1,1,2.06181592169306e-05,"#377eb8"
1.2,1.2,2.06181592169306e-05,"#377eb8"
1.4,1.2,2.06181592169306e-05,"#377eb8"
2,2.8,2.06181592169306e-05,"#AAAAAA"
1.8,2.6,2.06181592169306e-05,"#AAAAAA"
1.6,2.6,2.06181592169306e-05,"#AAAAAA"
1,5.5,0.000319581467862424,"#ffd300"
1.2,5.6,0.000319581467862424,"#ffd300"
1.4,5.6,0.000319581467862424,"#ffd300"
2,6.4,0.000319581467862424,"#4daf4a"
1.8,6.3,0.000319581467862424,"#4daf4a"
1.6,6.3,0.000319581467862424,"#4daf4a"
1,5.5,2.06181592169306e-05,"#e41a1c"
1.2,5.1,2.06181592169306e-05,"#e41a1c"
1.4,5.1,2.06181592169306e-05,"#e41a1c"
2,1.9,2.06181592169306e-05,"#4daf4a"
1.8,2.3,2.06181592169306e-05,"#4daf4a"
1.6,2.3,2.06181592169306e-05,"#4daf4a"
1,5.5,5.6699937846559e-05,"#f781bf"
1.2,5.4,5.6699937846559e-05,"#f781bf"
1.4,5.4,5.6699937846559e-05,"#f781bf"
2,4.6,5.6699937846559e-05,"#4daf4a"
1.8,4.7,5.6699937846559e-05,"#4daf4a"
1.6,4.7,5.6699937846559e-05,"#4daf4a"
