"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Stearns",1005,317579,1,5,2008,2009
"Stearns",1023,23541,1,23,2008,2009
"Stearns",1028,11305,1,28,2008,2009
"Stearns",1036,15826,1,36,2008,2009
"Stearns",1037,453,1,37,2008,2009
"Stearns",1043,921,1,43,2008,2009
"Stearns",1044,19,1,44,2008,2009
"Stearns",1059,1,1,59,2008,2009
"Stearns",1061,185,1,61,2008,2009
"Stearns",1111,144,1,111,2008,2009
"Stearns",1121,463,1,121,2008,2009
"Stearns",1152,80,1,152,2008,2009
"Stearns",1176,108520,1,176,2008,2009
"Stearns",1190,108,1,190,2008,2009
"Stearns",1195,4536,1,195,2008,2009
"Stearns",5005,47256,5,5,2008,2009
"Stearns",5023,32773,5,23,2008,2009
"Stearns",5024,59,5,24,2008,2009
"Stearns",5028,3655,5,28,2008,2009
"Stearns",5036,9137,5,36,2008,2009
"Stearns",5037,219,5,37,2008,2009
"Stearns",5043,1225,5,43,2008,2009
"Stearns",5044,33,5,44,2008,2009
"Stearns",5058,5,5,58,2008,2009
"Stearns",5059,1,5,59,2008,2009
"Stearns",5061,158,5,61,2008,2009
"Stearns",5111,142,5,111,2008,2009
"Stearns",5121,200,5,121,2008,2009
"Stearns",5141,589,5,141,2008,2009
"Stearns",5142,15,5,142,2008,2009
"Stearns",5152,41,5,152,2008,2009
"Stearns",5176,38929,5,176,2008,2009
"Stearns",5190,55,5,190,2008,2009
"Stearns",5195,1518,5,195,2008,2009
"Stearns",6005,24,6,5,2008,2009
"Stearns",6023,4,6,23,2008,2009
"Stearns",6061,1,6,61,2008,2009
"Stearns",6131,1,6,131,2008,2009
"Stearns",6176,20,6,176,2008,2009
"Stearns",6195,1,6,195,2008,2009
"Stearns",21005,239,21,5,2008,2009
"Stearns",21023,118,21,23,2008,2009
"Stearns",21028,47,21,28,2008,2009
"Stearns",21036,572,21,36,2008,2009
"Stearns",21037,5,21,37,2008,2009
"Stearns",21176,466,21,176,2008,2009
"Stearns",21190,1,21,190,2008,2009
"Stearns",21195,27,21,195,2008,2009
"Stearns",23005,19839,23,5,2008,2009
"Stearns",23023,4847,23,23,2008,2009
"Stearns",23024,107,23,24,2008,2009
"Stearns",23028,1199,23,28,2008,2009
"Stearns",23036,5418,23,36,2008,2009
"Stearns",23037,129,23,37,2008,2009
"Stearns",23043,20,23,43,2008,2009
"Stearns",23044,1,23,44,2008,2009
"Stearns",23058,2,23,58,2008,2009
"Stearns",23061,20,23,61,2008,2009
"Stearns",23111,22,23,111,2008,2009
"Stearns",23121,74,23,121,2008,2009
"Stearns",23131,69,23,131,2008,2009
"Stearns",23141,45,23,141,2008,2009
"Stearns",23152,2,23,152,2008,2009
"Stearns",23176,12561,23,176,2008,2009
"Stearns",23190,11,23,190,2008,2009
"Stearns",23195,238,23,195,2008,2009
"Stearns",24005,109,24,5,2008,2009
"Stearns",24023,281,24,23,2008,2009
"Stearns",24028,47,24,28,2008,2009
"Stearns",24036,95,24,36,2008,2009
"Stearns",24037,1,24,37,2008,2009
"Stearns",24061,3,24,61,2008,2009
"Stearns",24111,2,24,111,2008,2009
"Stearns",24131,10,24,131,2008,2009
"Stearns",24176,391,24,176,2008,2009
"Stearns",24190,1,24,190,2008,2009
"Stearns",24195,10,24,195,2008,2009
"Stearns",27176,3292,27,176,2008,2009
"Stearns",27190,3,27,190,2008,2009
"Stearns",27195,26,27,195,2008,2009
"Stearns",28005,1664,28,5,2008,2009
"Stearns",28023,632,28,23,2008,2009
"Stearns",28028,228,28,28,2008,2009
"Stearns",28036,3079,28,36,2008,2009
"Stearns",28037,33,28,37,2008,2009
"Stearns",28061,13,28,61,2008,2009
"Stearns",28141,34,28,141,2008,2009
"Stearns",28176,4474,28,176,2008,2009
"Stearns",28190,2,28,190,2008,2009
"Stearns",28195,76,28,195,2008,2009
"Stearns",31176,3,31,176,2008,2009
"Stearns",31195,1,31,195,2008,2009
"Stearns",36005,4466,36,5,2008,2009
"Stearns",36006,2,36,6,2008,2009
"Stearns",36023,944,36,23,2008,2009
"Stearns",36028,275,36,28,2008,2009
"Stearns",36036,143338,36,36,2008,2009
"Stearns",36037,771,36,37,2008,2009
"Stearns",36044,1,36,44,2008,2009
"Stearns",36058,11,36,58,2008,2009
"Stearns",36059,3,36,59,2008,2009
"Stearns",36061,11,36,61,2008,2009
"Stearns",36131,6,36,131,2008,2009
"Stearns",36141,693,36,141,2008,2009
"Stearns",36142,36,36,142,2008,2009
"Stearns",36152,30,36,152,2008,2009
"Stearns",36176,68735,36,176,2008,2009
"Stearns",36190,72,36,190,2008,2009
"Stearns",36195,491,36,195,2008,2009
"Stearns",37005,342,37,5,2008,2009
"Stearns",37023,151,37,23,2008,2009
"Stearns",37024,35,37,24,2008,2009
"Stearns",37028,36,37,28,2008,2009
"Stearns",37036,1510,37,36,2008,2009
"Stearns",37037,284,37,37,2008,2009
"Stearns",37059,1,37,59,2008,2009
"Stearns",37061,7,37,61,2008,2009
"Stearns",37111,16,37,111,2008,2009
"Stearns",37141,791,37,141,2008,2009
"Stearns",37142,89,37,142,2008,2009
"Stearns",37152,6,37,152,2008,2009
"Stearns",37176,8703,37,176,2008,2009
"Stearns",37190,97,37,190,2008,2009
"Stearns",37195,330,37,195,2008,2009
"Stearns",41005,1912,41,5,2008,2009
"Stearns",41023,42,41,23,2008,2009
"Stearns",41195,7,41,195,2008,2009
"Stearns",42005,546,42,5,2008,2009
"Stearns",42023,244,42,23,2008,2009
"Stearns",42061,8,42,61,2008,2009
"Stearns",42141,32,42,141,2008,2009
"Stearns",42176,626,42,176,2008,2009
"Stearns",42190,4,42,190,2008,2009
"Stearns",42195,35,42,195,2008,2009
"Stearns",43176,225,43,176,2008,2009
"Stearns",43195,1,43,195,2008,2009
"Stearns",44111,1,44,111,2008,2009
"Stearns",44141,34,44,141,2008,2009
"Stearns",44190,10,44,190,2008,2009
"Stearns",44195,21,44,195,2008,2009
"Stearns",58036,5,58,36,2008,2009
"Stearns",58176,14,58,176,2008,2009
"Stearns",58195,1,58,195,2008,2009
"Stearns",59005,7,59,5,2008,2009
"Stearns",59023,6,59,23,2008,2009
"Stearns",59028,2,59,28,2008,2009
"Stearns",59036,9,59,36,2008,2009
"Stearns",59037,4,59,37,2008,2009
"Stearns",59131,1,59,131,2008,2009
"Stearns",59141,2,59,141,2008,2009
"Stearns",59176,70,59,176,2008,2009
"Stearns",59190,1,59,190,2008,2009
"Stearns",59195,4,59,195,2008,2009
"Stearns",61005,42,61,5,2008,2009
"Stearns",61023,98,61,23,2008,2009
"Stearns",61028,16,61,28,2008,2009
"Stearns",61036,39,61,36,2008,2009
"Stearns",61037,2,61,37,2008,2009
"Stearns",61061,37,61,61,2008,2009
"Stearns",61111,15,61,111,2008,2009
"Stearns",61141,16,61,141,2008,2009
"Stearns",61142,4,61,142,2008,2009
"Stearns",61176,360,61,176,2008,2009
"Stearns",61190,9,61,190,2008,2009
"Stearns",61195,66,61,195,2008,2009
"Stearns",70176,45,70,176,2008,2009
"Stearns",111005,16,111,5,2008,2009
"Stearns",111023,24,111,23,2008,2009
"Stearns",111028,1,111,28,2008,2009
"Stearns",111031,1,111,31,2008,2009
"Stearns",111037,2,111,37,2008,2009
"Stearns",111111,129967,111,111,2008,2009
"Stearns",111141,530,111,141,2008,2009
"Stearns",111142,16,111,142,2008,2009
"Stearns",111152,5,111,152,2008,2009
"Stearns",111176,621,111,176,2008,2009
"Stearns",111190,124,111,190,2008,2009
"Stearns",111195,3763,111,195,2008,2009
"Stearns",121005,441,121,5,2008,2009
"Stearns",121023,40,121,23,2008,2009
"Stearns",121036,59,121,36,2008,2009
"Stearns",121041,5,121,41,2008,2009
"Stearns",121061,8,121,61,2008,2009
"Stearns",121121,142326,121,121,2008,2009
"Stearns",121122,8744,121,122,2008,2009
"Stearns",121123,768,121,123,2008,2009
"Stearns",121176,515,121,176,2008,2009
"Stearns",121195,12,121,195,2008,2009
"Stearns",122023,14,122,23,2008,2009
"Stearns",122059,1,122,59,2008,2009
"Stearns",122061,20,122,61,2008,2009
"Stearns",122121,7930,122,121,2008,2009
"Stearns",122122,76391,122,122,2008,2009
"Stearns",122123,3730,122,123,2008,2009
"Stearns",122176,205,122,176,2008,2009
"Stearns",123001,12,123,1,2008,2009
"Stearns",123005,59,123,5,2008,2009
"Stearns",123023,135,123,23,2008,2009
"Stearns",123028,20,123,28,2008,2009
"Stearns",123036,7,123,36,2008,2009
"Stearns",123061,51,123,61,2008,2009
"Stearns",123121,399,123,121,2008,2009
"Stearns",123122,3807,123,122,2008,2009
"Stearns",123123,41625,123,123,2008,2009
"Stearns",123124,1322,123,124,2008,2009
"Stearns",123176,980,123,176,2008,2009
"Stearns",123195,66,123,195,2008,2009
"Stearns",124001,1,124,1,2008,2009
"Stearns",124023,21,124,23,2008,2009
"Stearns",124122,265,124,122,2008,2009
"Stearns",124123,1175,124,123,2008,2009
"Stearns",124124,13359,124,124,2008,2009
"Stearns",124141,4,124,141,2008,2009
"Stearns",124176,44,124,176,2008,2009
"Stearns",124190,4,124,190,2008,2009
"Stearns",124195,15,124,195,2008,2009
"Stearns",131005,15,131,5,2008,2009
"Stearns",131023,36,131,23,2008,2009
"Stearns",131028,8,131,28,2008,2009
"Stearns",131061,8,131,61,2008,2009
"Stearns",131111,6,131,111,2008,2009
"Stearns",131141,3,131,141,2008,2009
"Stearns",131176,252,131,176,2008,2009
"Stearns",131190,3,131,190,2008,2009
"Stearns",131195,23,131,195,2008,2009
"Stearns",141005,644,141,5,2008,2009
"Stearns",141023,20,141,23,2008,2009
"Stearns",141028,35,141,28,2008,2009
"Stearns",141036,726,141,36,2008,2009
"Stearns",141037,219,141,37,2008,2009
"Stearns",141044,15,141,44,2008,2009
"Stearns",141058,11,141,58,2008,2009
"Stearns",141059,1,141,59,2008,2009
"Stearns",141061,4,141,61,2008,2009
"Stearns",141111,1557,141,111,2008,2009
"Stearns",141121,37,141,121,2008,2009
"Stearns",141131,1,141,131,2008,2009
"Stearns",141141,460464,141,141,2008,2009
"Stearns",141142,2724,141,142,2008,2009
"Stearns",141152,469,141,152,2008,2009
"Stearns",141176,29861,141,176,2008,2009
"Stearns",141190,14034,141,190,2008,2009
"Stearns",141195,12208,141,195,2008,2009
"Stearns",142005,17,142,5,2008,2009
"Stearns",142023,3,142,23,2008,2009
"Stearns",142036,41,142,36,2008,2009
"Stearns",142037,20,142,37,2008,2009
"Stearns",142061,1,142,61,2008,2009
"Stearns",142141,2535,142,141,2008,2009
"Stearns",142142,1172,142,142,2008,2009
"Stearns",142152,16,142,152,2008,2009
"Stearns",142176,830,142,176,2008,2009
"Stearns",142190,371,142,190,2008,2009
"Stearns",142195,225,142,195,2008,2009
"Stearns",143190,3,143,190,2008,2009
"Stearns",152005,10,152,5,2008,2009
"Stearns",152023,4,152,23,2008,2009
"Stearns",152037,2,152,37,2008,2009
"Stearns",152141,561,152,141,2008,2009
"Stearns",152142,15,152,142,2008,2009
"Stearns",152152,7,152,152,2008,2009
"Stearns",152176,413,152,176,2008,2009
"Stearns",152190,40,152,190,2008,2009
"Stearns",152195,96,152,195,2008,2009
"Stearns",176001,85365,176,1,2008,2009
"Stearns",176005,32278,176,5,2008,2009
"Stearns",176006,6,176,6,2008,2009
"Stearns",176021,247,176,21,2008,2009
"Stearns",176023,7523,176,23,2008,2009
"Stearns",176024,216,176,24,2008,2009
"Stearns",176027,3126,176,27,2008,2009
"Stearns",176028,2094,176,28,2008,2009
"Stearns",176036,65805,176,36,2008,2009
"Stearns",176037,4971,176,37,2008,2009
"Stearns",176044,5,176,44,2008,2009
"Stearns",176053,153,176,53,2008,2009
"Stearns",176058,24,176,58,2008,2009
"Stearns",176059,25,176,59,2008,2009
"Stearns",176061,258,176,61,2008,2009
"Stearns",176111,1143,176,111,2008,2009
"Stearns",176121,1067,176,121,2008,2009
"Stearns",176131,501,176,131,2008,2009
"Stearns",176141,35084,176,141,2008,2009
"Stearns",176142,946,176,142,2008,2009
"Stearns",176152,610,176,152,2008,2009
"Stearns",176176,868836,176,176,2008,2009
"Stearns",176190,1624,176,190,2008,2009
"Stearns",176195,38589,176,195,2008,2009
"Stearns",190005,31,190,5,2008,2009
"Stearns",190023,1,190,23,2008,2009
"Stearns",190028,1,190,28,2008,2009
"Stearns",190036,35,190,36,2008,2009
"Stearns",190037,16,190,37,2008,2009
"Stearns",190044,2,190,44,2008,2009
"Stearns",190058,2,190,58,2008,2009
"Stearns",190061,1,190,61,2008,2009
"Stearns",190111,76,190,111,2008,2009
"Stearns",190141,9636,190,141,2008,2009
"Stearns",190142,386,190,142,2008,2009
"Stearns",190143,2,190,143,2008,2009
"Stearns",190152,27,190,152,2008,2009
"Stearns",190176,861,190,176,2008,2009
"Stearns",190190,5744,190,190,2008,2009
"Stearns",190195,1228,190,195,2008,2009
"Stearns",195001,4009,195,1,2008,2009
"Stearns",195005,1137,195,5,2008,2009
"Stearns",195006,1,195,6,2008,2009
"Stearns",195021,2,195,21,2008,2009
"Stearns",195023,150,195,23,2008,2009
"Stearns",195024,2,195,24,2008,2009
"Stearns",195027,18,195,27,2008,2009
"Stearns",195028,48,195,28,2008,2009
"Stearns",195036,599,195,36,2008,2009
"Stearns",195037,131,195,37,2008,2009
"Stearns",195059,1,195,59,2008,2009
"Stearns",195061,4,195,61,2008,2009
"Stearns",195111,4044,195,111,2008,2009
"Stearns",195131,9,195,131,2008,2009
"Stearns",195141,9509,195,141,2008,2009
"Stearns",195142,160,195,142,2008,2009
"Stearns",195152,92,195,152,2008,2009
"Stearns",195176,40326,195,176,2008,2009
"Stearns",195190,1041,195,190,2008,2009
"Stearns",195195,56890,195,195,2008,2009
"Stearns",1001,396818,1,1,2008,2009
"Stearns",1006,153,1,6,2008,2009
"Stearns",1021,949,1,21,2008,2009
"Stearns",1024,53,1,24,2008,2009
"Stearns",1041,5944,1,41,2008,2009
"Stearns",1042,3725,1,42,2008,2009
"Stearns",1141,1836,1,141,2008,2009
"Stearns",5001,281457,5,1,2008,2009
"Stearns",5006,15,5,6,2008,2009
"Stearns",5021,1527,5,21,2008,2009
"Stearns",5041,4497,5,41,2008,2009
"Stearns",5042,645,5,42,2008,2009
"Stearns",5123,103,5,123,2008,2009
