"xCoords","yCoords","width","colorToUse"
1,6.4,9.92278433501481,"#ffd300"
1.2,6.4,9.92278433501481,"#ffd300"
1.4,6.4,9.92278433501481,"#ffd300"
2,6.4,9.92278433501481,"#ffd300"
1.8,6.4,9.92278433501481,"#ffd300"
1.6,6.4,9.92278433501481,"#ffd300"
1,6.4,0.0931469128112388,"#e41a1c"
1.2,5.9,0.0931469128112388,"#e41a1c"
1.4,5.9,0.0931469128112388,"#e41a1c"
2,1.9,0.0931469128112388,"#ffd300"
1.8,2.4,0.0931469128112388,"#ffd300"
1.6,2.4,0.0931469128112388,"#ffd300"
1,6.4,0.395743098563937,"#f781bf"
1.2,6.2,0.395743098563937,"#f781bf"
1.4,6.2,0.395743098563937,"#f781bf"
2,4.6,0.395743098563937,"#ffd300"
1.8,4.8,0.395743098563937,"#ffd300"
1.6,4.8,0.395743098563937,"#ffd300"
1,6.4,3.2842226133698,"#AAAAAA"
1.2,5.8,3.2842226133698,"#AAAAAA"
1.4,5.8,3.2842226133698,"#AAAAAA"
2,1,3.2842226133698,"#ffd300"
1.8,1.6,3.2842226133698,"#ffd300"
1.6,1.6,3.2842226133698,"#ffd300"
1,6.4,7.94134320098803,"#4daf4a"
1.2,6.3,7.94134320098803,"#4daf4a"
1.4,6.3,7.94134320098803,"#4daf4a"
2,5.5,7.94134320098803,"#ffd300"
1.8,5.6,7.94134320098803,"#ffd300"
1.6,5.6,7.94134320098803,"#ffd300"
1,6.4,0.588663483084396,"#a65628"
1.2,6.1,0.588663483084396,"#a65628"
1.4,6.1,0.588663483084396,"#a65628"
2,3.7,0.588663483084396,"#ffd300"
1.8,4,0.588663483084396,"#ffd300"
1.6,4,0.588663483084396,"#ffd300"
1,6.4,0.14863496637584,"#377eb8"
1.2,6,0.14863496637584,"#377eb8"
1.4,6,0.14863496637584,"#377eb8"
2,2.8,0.14863496637584,"#ffd300"
1.8,3.2,0.14863496637584,"#ffd300"
1.6,3.2,0.14863496637584,"#ffd300"
1,1.9,0.0716918655113615,"#ffd300"
1.2,2.4,0.0716918655113615,"#ffd300"
1.4,2.4,0.0716918655113615,"#ffd300"
2,6.4,0.0716918655113615,"#e41a1c"
1.8,5.9,0.0716918655113615,"#e41a1c"
1.6,5.9,0.0716918655113615,"#e41a1c"
1,1.9,0.000575135300579461,"#e41a1c"
1.2,1.9,0.000575135300579461,"#e41a1c"
1.4,1.9,0.000575135300579461,"#e41a1c"
2,1.9,0.000575135300579461,"#e41a1c"
1.8,1.9,0.000575135300579461,"#e41a1c"
1.6,1.9,0.000575135300579461,"#e41a1c"
1,1.9,0.00125029413169448,"#f781bf"
1.2,2.2,0.00125029413169448,"#f781bf"
1.4,2.2,0.00125029413169448,"#f781bf"
2,4.6,0.00125029413169448,"#e41a1c"
1.8,4.3,0.00125029413169448,"#e41a1c"
1.6,4.3,0.00125029413169448,"#e41a1c"
1,1.9,0.0375338298334683,"#AAAAAA"
1.2,1.8,0.0375338298334683,"#AAAAAA"
1.4,1.8,0.0375338298334683,"#AAAAAA"
2,1,0.0375338298334683,"#e41a1c"
1.8,1.1,0.0375338298334683,"#e41a1c"
1.6,1.1,0.0375338298334683,"#e41a1c"
1,1.9,0.0136532119181037,"#4daf4a"
1.2,2.3,0.0136532119181037,"#4daf4a"
1.4,2.3,0.0136532119181037,"#4daf4a"
2,5.5,0.0136532119181037,"#e41a1c"
1.8,5.1,0.0136532119181037,"#e41a1c"
1.6,5.1,0.0136532119181037,"#e41a1c"
1,1.9,0.00610143536266907,"#a65628"
1.2,2.1,0.00610143536266907,"#a65628"
1.4,2.1,0.00610143536266907,"#a65628"
2,3.7,0.00610143536266907,"#e41a1c"
1.8,3.5,0.00610143536266907,"#e41a1c"
1.6,3.5,0.00610143536266907,"#e41a1c"
1,1.9,0.000300070591606675,"#377eb8"
1.2,2,0.000300070591606675,"#377eb8"
1.4,2,0.000300070591606675,"#377eb8"
2,2.8,0.000300070591606675,"#e41a1c"
1.8,2.7,0.000300070591606675,"#e41a1c"
1.6,2.7,0.000300070591606675,"#e41a1c"
1,4.6,1.20705896062049,"#ffd300"
1.2,4.8,1.20705896062049,"#ffd300"
1.4,4.8,1.20705896062049,"#ffd300"
2,6.4,1.20705896062049,"#f781bf"
1.8,6.2,1.20705896062049,"#f781bf"
1.6,6.2,1.20705896062049,"#f781bf"
1,4.6,0.0019254529628095,"#e41a1c"
1.2,4.3,0.0019254529628095,"#e41a1c"
1.4,4.3,0.0019254529628095,"#e41a1c"
2,1.9,0.0019254529628095,"#f781bf"
1.8,2.2,0.0019254529628095,"#f781bf"
1.6,2.2,0.0019254529628095,"#f781bf"
1,4.6,3.89221564373019,"#f781bf"
1.2,4.6,3.89221564373019,"#f781bf"
1.4,4.6,3.89221564373019,"#f781bf"
2,4.6,3.89221564373019,"#f781bf"
1.8,4.6,3.89221564373019,"#f781bf"
1.6,4.6,3.89221564373019,"#f781bf"
1,4.6,1.80417443203514,"#AAAAAA"
1.2,4.2,1.80417443203514,"#AAAAAA"
1.4,4.2,1.80417443203514,"#AAAAAA"
2,1,1.80417443203514,"#f781bf"
1.8,1.4,1.80417443203514,"#f781bf"
1.6,1.4,1.80417443203514,"#f781bf"
1,4.6,0.120228283703741,"#4daf4a"
1.2,4.7,0.120228283703741,"#4daf4a"
1.4,4.7,0.120228283703741,"#4daf4a"
2,5.5,0.120228283703741,"#f781bf"
1.8,5.4,0.120228283703741,"#f781bf"
1.6,5.4,0.120228283703741,"#f781bf"
1,4.6,0.0273814414841091,"#a65628"
1.2,4.5,0.0273814414841091,"#a65628"
1.4,4.5,0.0273814414841091,"#a65628"
2,3.7,0.0273814414841091,"#f781bf"
1.8,3.8,0.0273814414841091,"#f781bf"
1.6,3.8,0.0273814414841091,"#f781bf"
1,4.6,0.00272564120709397,"#377eb8"
1.2,4.4,0.00272564120709397,"#377eb8"
1.4,4.4,0.00272564120709397,"#377eb8"
2,2.8,0.00272564120709397,"#f781bf"
1.8,3,0.00272564120709397,"#f781bf"
1.6,3,0.00272564120709397,"#f781bf"
1,1,2.63902082965018,"#ffd300"
1.2,1.6,2.63902082965018,"#ffd300"
1.4,1.6,2.63902082965018,"#ffd300"
2,6.4,2.63902082965018,"#AAAAAA"
1.8,5.8,2.63902082965018,"#AAAAAA"
1.6,5.8,2.63902082965018,"#AAAAAA"
1,1,0.0171290296042144,"#e41a1c"
1.2,1.1,0.0171290296042144,"#e41a1c"
1.4,1.1,0.0171290296042144,"#e41a1c"
2,1.9,0.0171290296042144,"#AAAAAA"
1.8,1.8,0.0171290296042144,"#AAAAAA"
1.6,1.8,0.0171290296042144,"#AAAAAA"
1,1,1.7933718907373,"#f781bf"
1.2,1.4,1.7933718907373,"#f781bf"
1.4,1.4,1.7933718907373,"#f781bf"
2,4.6,1.7933718907373,"#AAAAAA"
1.8,4.2,1.7933718907373,"#AAAAAA"
1.6,4.2,1.7933718907373,"#AAAAAA"
1,1,51.9273159010657,"#AAAAAA"
1.2,1,51.9273159010657,"#AAAAAA"
1.4,1,51.9273159010657,"#AAAAAA"
2,1,51.9273159010657,"#AAAAAA"
