"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Steele",1005,319251,1,5,2008,2009
"Steele",1023,1064,1,23,2008,2009
"Steele",1028,746,1,28,2008,2009
"Steele",1036,888,1,36,2008,2009
"Steele",1037,109,1,37,2008,2009
"Steele",1043,13,1,43,2008,2009
"Steele",1061,1,1,61,2008,2009
"Steele",1111,119,1,111,2008,2009
"Steele",1121,1521,1,121,2008,2009
"Steele",1152,24,1,152,2008,2009
"Steele",1176,13463,1,176,2008,2009
"Steele",1190,2,1,190,2008,2009
"Steele",1195,515,1,195,2008,2009
"Steele",5005,29217,5,5,2008,2009
"Steele",5023,2930,5,23,2008,2009
"Steele",5024,118,5,24,2008,2009
"Steele",5028,536,5,28,2008,2009
"Steele",5036,737,5,36,2008,2009
"Steele",5037,46,5,37,2008,2009
"Steele",5043,8,5,43,2008,2009
"Steele",5061,1,5,61,2008,2009
"Steele",5111,73,5,111,2008,2009
"Steele",5121,952,5,121,2008,2009
"Steele",5141,100,5,141,2008,2009
"Steele",5152,3,5,152,2008,2009
"Steele",5176,9357,5,176,2008,2009
"Steele",5190,9,5,190,2008,2009
"Steele",5195,293,5,195,2008,2009
"Steele",21005,8,21,5,2008,2009
"Steele",21028,1,21,28,2008,2009
"Steele",21036,3,21,36,2008,2009
"Steele",21176,9,21,176,2008,2009
"Steele",23005,910,23,5,2008,2009
"Steele",23023,5,23,23,2008,2009
"Steele",23028,6,23,28,2008,2009
"Steele",23036,137,23,36,2008,2009
"Steele",23111,2,23,111,2008,2009
"Steele",23121,4,23,121,2008,2009
"Steele",23131,4,23,131,2008,2009
"Steele",23176,401,23,176,2008,2009
"Steele",23195,6,23,195,2008,2009
"Steele",24005,5,24,5,2008,2009
"Steele",24036,4,24,36,2008,2009
"Steele",24176,21,24,176,2008,2009
"Steele",27176,4,27,176,2008,2009
"Steele",28005,117,28,5,2008,2009
"Steele",28023,4,28,23,2008,2009
"Steele",28028,2,28,28,2008,2009
"Steele",28036,412,28,36,2008,2009
"Steele",28037,6,28,37,2008,2009
"Steele",28176,304,28,176,2008,2009
"Steele",28190,1,28,190,2008,2009
"Steele",28195,13,28,195,2008,2009
"Steele",36005,850,36,5,2008,2009
"Steele",36023,12,36,23,2008,2009
"Steele",36028,16,36,28,2008,2009
"Steele",36036,3357,36,36,2008,2009
"Steele",36037,117,36,37,2008,2009
"Steele",36059,5,36,59,2008,2009
"Steele",36131,2,36,131,2008,2009
"Steele",36141,11,36,141,2008,2009
"Steele",36152,1,36,152,2008,2009
"Steele",36176,6101,36,176,2008,2009
"Steele",36195,118,36,195,2008,2009
"Steele",37005,13,37,5,2008,2009
"Steele",37036,272,37,36,2008,2009
"Steele",37037,46,37,37,2008,2009
"Steele",37176,522,37,176,2008,2009
"Steele",37195,4,37,195,2008,2009
"Steele",42005,20,42,5,2008,2009
"Steele",42176,7,42,176,2008,2009
"Steele",43176,8,43,176,2008,2009
"Steele",43195,1,43,195,2008,2009
"Steele",59005,55,59,5,2008,2009
"Steele",59036,3,59,36,2008,2009
"Steele",59037,28,59,37,2008,2009
"Steele",59141,2,59,141,2008,2009
"Steele",59176,118,59,176,2008,2009
"Steele",59195,14,59,195,2008,2009
"Steele",61005,20,61,5,2008,2009
"Steele",61023,1,61,23,2008,2009
"Steele",61036,3,61,36,2008,2009
"Steele",61037,1,61,37,2008,2009
"Steele",61111,2,61,111,2008,2009
"Steele",61176,69,61,176,2008,2009
"Steele",61195,2,61,195,2008,2009
"Steele",111005,92,111,5,2008,2009
"Steele",111023,15,111,23,2008,2009
"Steele",111028,13,111,28,2008,2009
"Steele",111037,16,111,37,2008,2009
"Steele",111111,5828,111,111,2008,2009
"Steele",111141,87,111,141,2008,2009
"Steele",111142,1,111,142,2008,2009
"Steele",111152,1,111,152,2008,2009
"Steele",111176,383,111,176,2008,2009
"Steele",111190,90,111,190,2008,2009
"Steele",111195,150,111,195,2008,2009
"Steele",121005,887,121,5,2008,2009
"Steele",121036,4,121,36,2008,2009
"Steele",121121,81146,121,121,2008,2009
"Steele",121122,1924,121,122,2008,2009
"Steele",121123,140,121,123,2008,2009
"Steele",121176,62,121,176,2008,2009
"Steele",122121,1080,122,121,2008,2009
"Steele",122122,22357,122,122,2008,2009
"Steele",122123,1148,122,123,2008,2009
"Steele",122176,22,122,176,2008,2009
"Steele",123001,7,123,1,2008,2009
"Steele",123005,39,123,5,2008,2009
"Steele",123023,1,123,23,2008,2009
"Steele",123036,1,123,36,2008,2009
"Steele",123121,343,123,121,2008,2009
"Steele",123122,580,123,122,2008,2009
"Steele",123123,8159,123,123,2008,2009
"Steele",123124,221,123,124,2008,2009
"Steele",123176,99,123,176,2008,2009
"Steele",124122,83,124,122,2008,2009
"Steele",124123,294,124,123,2008,2009
"Steele",124124,2590,124,124,2008,2009
"Steele",124176,7,124,176,2008,2009
"Steele",131005,62,131,5,2008,2009
"Steele",131111,1,131,111,2008,2009
"Steele",131176,80,131,176,2008,2009
"Steele",141005,86,141,5,2008,2009
"Steele",141028,1,141,28,2008,2009
"Steele",141036,1,141,36,2008,2009
"Steele",141061,1,141,61,2008,2009
"Steele",141111,126,141,111,2008,2009
"Steele",141121,28,141,121,2008,2009
"Steele",141141,30582,141,141,2008,2009
"Steele",141142,6,141,142,2008,2009
"Steele",141152,7,141,152,2008,2009
"Steele",141176,7795,141,176,2008,2009
"Steele",141190,2912,141,190,2008,2009
"Steele",141195,587,141,195,2008,2009
"Steele",142141,3,142,141,2008,2009
"Steele",142142,1,142,142,2008,2009
"Steele",142176,13,142,176,2008,2009
"Steele",142190,1,142,190,2008,2009
"Steele",142195,3,142,195,2008,2009
"Steele",152005,7,152,5,2008,2009
"Steele",152037,1,152,37,2008,2009
"Steele",152141,22,152,141,2008,2009
"Steele",152176,41,152,176,2008,2009
"Steele",152190,5,152,190,2008,2009
"Steele",152195,4,152,195,2008,2009
"Steele",176001,15834,176,1,2008,2009
"Steele",176005,12711,176,5,2008,2009
"Steele",176021,7,176,21,2008,2009
"Steele",176023,225,176,23,2008,2009
"Steele",176024,62,176,24,2008,2009
"Steele",176027,3,176,27,2008,2009
"Steele",176028,198,176,28,2008,2009
"Steele",176036,4235,176,36,2008,2009
"Steele",176037,468,176,37,2008,2009
"Steele",176053,634,176,53,2008,2009
"Steele",176058,9,176,58,2008,2009
"Steele",176059,25,176,59,2008,2009
"Steele",176061,13,176,61,2008,2009
"Steele",176111,190,176,111,2008,2009
"Steele",176121,47,176,121,2008,2009
"Steele",176131,53,176,131,2008,2009
"Steele",176141,3193,176,141,2008,2009
"Steele",176142,1,176,142,2008,2009
"Steele",176152,140,176,152,2008,2009
"Steele",176176,129695,176,176,2008,2009
"Steele",176190,135,176,190,2008,2009
"Steele",176195,3901,176,195,2008,2009
"Steele",190005,7,190,5,2008,2009
"Steele",190061,2,190,61,2008,2009
"Steele",190111,52,190,111,2008,2009
"Steele",190141,4479,190,141,2008,2009
"Steele",190176,1330,190,176,2008,2009
"Steele",190190,1677,190,190,2008,2009
"Steele",190195,292,190,195,2008,2009
"Steele",195001,721,195,1,2008,2009
"Steele",195005,203,195,5,2008,2009
"Steele",195021,1,195,21,2008,2009
"Steele",195023,14,195,23,2008,2009
"Steele",195024,1,195,24,2008,2009
"Steele",195028,7,195,28,2008,2009
"Steele",195036,143,195,36,2008,2009
"Steele",195037,19,195,37,2008,2009
"Steele",195061,1,195,61,2008,2009
"Steele",195111,420,195,111,2008,2009
"Steele",195131,1,195,131,2008,2009
"Steele",195141,280,195,141,2008,2009
"Steele",195142,4,195,142,2008,2009
"Steele",195152,21,195,152,2008,2009
"Steele",195176,4615,195,176,2008,2009
"Steele",195190,90,195,190,2008,2009
"Steele",195195,1107,195,195,2008,2009
"Steele",1001,127064,1,1,2008,2009
"Steele",1021,40,1,21,2008,2009
"Steele",1024,37,1,24,2008,2009
"Steele",1042,70,1,42,2008,2009
"Steele",1141,147,1,141,2008,2009
"Steele",5001,310947,5,1,2008,2009
"Steele",5021,15,5,21,2008,2009
"Steele",5042,65,5,42,2008,2009
"Steele",5123,17,5,123,2008,2009
"Steele",21001,18,21,1,2008,2009
"Steele",23001,1471,23,1,2008,2009
"Steele",23042,3,23,42,2008,2009
"Steele",23123,1,23,123,2008,2009
"Steele",24001,14,24,1,2008,2009
"Steele",24024,2,24,24,2008,2009
"Steele",27036,1,27,36,2008,2009
"Steele",28001,206,28,1,2008,2009
"Steele",28024,4,28,24,2008,2009
"Steele",28042,1,28,42,2008,2009
"Steele",28111,2,28,111,2008,2009
"Steele",36001,3062,36,1,2008,2009
"Steele",36021,1,36,21,2008,2009
"Steele",36024,1,36,24,2008,2009
"Steele",36121,17,36,121,2008,2009
"Steele",37001,17,37,1,2008,2009
"Steele",37042,1,37,42,2008,2009
"Steele",42001,112,42,1,2008,2009
"Steele",42036,1,42,36,2008,2009
"Steele",42111,1,42,111,2008,2009
"Steele",43005,28,43,5,2008,2009
"Steele",59001,174,59,1,2008,2009
"Steele",59024,1,59,24,2008,2009
"Steele",61001,1,61,1,2008,2009
"Steele",61042,2,61,42,2008,2009
"Steele",111001,298,111,1,2008,2009
"Steele",111024,3,111,24,2008,2009
"Steele",111036,6,111,36,2008,2009
"Steele",121042,1,121,42,2008,2009
"Steele",122124,63,122,124,2008,2009
"Steele",131036,1,131,36,2008,2009
"Steele",142111,2,142,111,2008,2009
"Steele",152001,4,152,1,2008,2009
"Steele",152111,1,152,111,2008,2009
"Steele",176042,31,176,42,2008,2009
"Steele",176043,1,176,43,2008,2009
"Steele",190001,62,190,1,2008,2009
"Steele",1122,28,1,122,2008,2009
"Steele",5027,2,5,27,2008,2009
"Steele",5131,69,5,131,2008,2009
"Steele",42131,2,42,131,2008,2009
"Steele",61131,28,61,131,2008,2009
"Steele",122005,18,122,5,2008,2009
"Steele",123131,23,123,131,2008,2009
"Steele",124121,12,124,121,2008,2009
"Steele",141001,488,141,1,2008,2009
"Steele",195121,1,195,121,2008,2009
"Steele",1123,15,1,123,2008,2009
"Steele",5122,6,5,122,2008,2009
"Steele",28131,2,28,131,2008,2009
"Steele",36053,50,36,53,2008,2009
"Steele",111131,2,111,131,2008,2009
"Steele",121001,1938,121,1,2008,2009
"Steele",121037,2,121,37,2008,2009
"Steele",121124,7,121,124,2008,2009
"Steele",121141,1,121,141,2008,2009
"Steele",122001,4,122,1,2008,2009
"Steele",131042,5,131,42,2008,2009
"Steele",131122,8,131,122,2008,2009
"Steele",131123,16,131,123,2008,2009
"Steele",131131,68,131,131,2008,2009
"Steele",141122,2,141,122,2008,2009
"Steele",176122,34,176,122,2008,2009
"Steele",176123,32,176,123,2008,2009
"Steele",195053,17,195,53,2008,2009
"Steele",1131,26,1,131,2008,2009
"Steele",5124,1,5,124,2008,2009
"Steele",12111,16,12,111,2008,2009
