"xCoords","yCoords","width","colorToUse"
1,6.4,10.216554220568,"#ffd300"
1.2,6.4,10.216554220568,"#ffd300"
1.4,6.4,10.216554220568,"#ffd300"
2,6.4,10.216554220568,"#ffd300"
1.8,6.4,10.216554220568,"#ffd300"
1.6,6.4,10.216554220568,"#ffd300"
1,6.4,0.00562833529118997,"#e41a1c"
1.2,5.9,0.00562833529118997,"#e41a1c"
1.4,5.9,0.00562833529118997,"#e41a1c"
2,1.9,0.00562833529118997,"#ffd300"
1.8,2.4,0.00562833529118997,"#ffd300"
1.6,2.4,0.00562833529118997,"#ffd300"
1,6.4,0.0713994534082384,"#f781bf"
1.2,6.2,0.0713994534082384,"#f781bf"
1.4,6.2,0.0713994534082384,"#f781bf"
2,4.6,0.0713994534082384,"#ffd300"
1.8,4.8,0.0713994534082384,"#ffd300"
1.6,4.8,0.0713994534082384,"#ffd300"
1,6.4,2.05450319086409,"#AAAAAA"
1.2,5.8,2.05450319086409,"#AAAAAA"
1.4,5.8,2.05450319086409,"#AAAAAA"
2,1,2.05450319086409,"#ffd300"
1.8,1.6,2.05450319086409,"#ffd300"
1.6,1.6,2.05450319086409,"#ffd300"
1,6.4,25.6693095721098,"#4daf4a"
1.2,6.3,25.6693095721098,"#4daf4a"
1.4,6.3,25.6693095721098,"#4daf4a"
2,5.5,25.6693095721098,"#ffd300"
1.8,5.6,25.6693095721098,"#ffd300"
1.6,5.6,25.6693095721098,"#ffd300"
1,6.4,0.0855506964260875,"#a65628"
1.2,6.1,0.0855506964260875,"#a65628"
1.4,6.1,0.0855506964260875,"#a65628"
2,3.7,0.0855506964260875,"#ffd300"
1.8,4,0.0855506964260875,"#ffd300"
1.6,4,0.0855506964260875,"#ffd300"
1,1.9,0.00900533646590395,"#ffd300"
1.2,2.4,0.00900533646590395,"#ffd300"
1.4,2.4,0.00900533646590395,"#ffd300"
2,6.4,0.00900533646590395,"#e41a1c"
1.8,5.9,0.00900533646590395,"#e41a1c"
1.6,5.9,0.00900533646590395,"#e41a1c"
1,1.9,8.04047898741424e-05,"#f781bf"
1.2,2.2,8.04047898741424e-05,"#f781bf"
1.4,2.2,8.04047898741424e-05,"#f781bf"
2,4.6,8.04047898741424e-05,"#e41a1c"
1.8,4.3,8.04047898741424e-05,"#e41a1c"
1.6,4.3,8.04047898741424e-05,"#e41a1c"
1,1.9,0.00233173890635013,"#AAAAAA"
1.2,1.8,0.00233173890635013,"#AAAAAA"
1.4,1.8,0.00233173890635013,"#AAAAAA"
2,1,0.00233173890635013,"#e41a1c"
1.8,1.1,0.00233173890635013,"#e41a1c"
1.6,1.1,0.00233173890635013,"#e41a1c"
1,1.9,0.00160809579748285,"#4daf4a"
1.2,2.3,0.00160809579748285,"#4daf4a"
1.4,2.3,0.00160809579748285,"#4daf4a"
2,5.5,0.00160809579748285,"#e41a1c"
1.8,5.1,0.00160809579748285,"#e41a1c"
1.6,5.1,0.00160809579748285,"#e41a1c"
1,4.6,0.247566348022484,"#ffd300"
1.2,4.8,0.247566348022484,"#ffd300"
1.4,4.8,0.247566348022484,"#ffd300"
2,6.4,0.247566348022484,"#f781bf"
1.8,6.2,0.247566348022484,"#f781bf"
1.6,6.2,0.247566348022484,"#f781bf"
1,4.6,0.338262951000517,"#f781bf"
1.2,4.6,0.338262951000517,"#f781bf"
1.4,4.6,0.338262951000517,"#f781bf"
2,4.6,0.338262951000517,"#f781bf"
1.8,4.6,0.338262951000517,"#f781bf"
1.6,4.6,0.338262951000517,"#f781bf"
1,4.6,0.525204087457898,"#AAAAAA"
1.2,4.2,0.525204087457898,"#AAAAAA"
1.4,4.2,0.525204087457898,"#AAAAAA"
2,1,0.525204087457898,"#f781bf"
1.8,1.4,0.525204087457898,"#f781bf"
1.6,1.4,0.525204087457898,"#f781bf"
1,4.6,0.0693893336613849,"#4daf4a"
1.2,4.7,0.0693893336613849,"#4daf4a"
1.4,4.7,0.0693893336613849,"#4daf4a"
2,5.5,0.0693893336613849,"#f781bf"
1.8,5.4,0.0693893336613849,"#f781bf"
1.6,5.4,0.0693893336613849,"#f781bf"
1,4.6,0.000964857478489709,"#a65628"
1.2,4.5,0.000964857478489709,"#a65628"
1.4,4.5,0.000964857478489709,"#a65628"
2,3.7,0.000964857478489709,"#f781bf"
1.8,3.8,0.000964857478489709,"#f781bf"
1.6,3.8,0.000964857478489709,"#f781bf"
1,1,2.34371922004138,"#ffd300"
1.2,1.6,2.34371922004138,"#ffd300"
1.4,1.6,2.34371922004138,"#ffd300"
2,6.4,2.34371922004138,"#AAAAAA"
1.8,5.8,2.34371922004138,"#AAAAAA"
1.6,5.8,2.34371922004138,"#AAAAAA"
1,1,0.00458307302282612,"#e41a1c"
1.2,1.1,0.00458307302282612,"#e41a1c"
1.4,1.1,0.00458307302282612,"#e41a1c"
2,1.9,0.00458307302282612,"#AAAAAA"
1.8,1.8,0.00458307302282612,"#AAAAAA"
1.6,1.8,0.00458307302282612,"#AAAAAA"
1,1,0.408858356510014,"#f781bf"
1.2,1.4,0.408858356510014,"#f781bf"
1.4,1.4,0.408858356510014,"#f781bf"
2,4.6,0.408858356510014,"#AAAAAA"
1.8,4.2,0.408858356510014,"#AAAAAA"
1.6,4.2,0.408858356510014,"#AAAAAA"
1,1,26.4637088960664,"#AAAAAA"
1.2,1,26.4637088960664,"#AAAAAA"
1.4,1,26.4637088960664,"#AAAAAA"
2,1,26.4637088960664,"#AAAAAA"
1.8,1,26.4637088960664,"#AAAAAA"
1.6,1,26.4637088960664,"#AAAAAA"
1,1,1.62988549553874,"#4daf4a"
1.2,1.5,1.62988549553874,"#4daf4a"
1.4,1.5,1.62988549553874,"#4daf4a"
2,5.5,1.62988549553874,"#AAAAAA"
1.8,5,1.62988549553874,"#AAAAAA"
1.6,5,1.62988549553874,"#AAAAAA"
1,1,0.0250058896508583,"#a65628"
1.2,1.3,0.0250058896508583,"#a65628"
1.4,1.3,0.0250058896508583,"#a65628"
2,3.7,0.0250058896508583,"#AAAAAA"
1.8,3.4,0.0250058896508583,"#AAAAAA"
1.6,3.4,0.0250058896508583,"#AAAAAA"
1,5.5,25.001628196995,"#ffd300"
1.2,5.6,25.001628196995,"#ffd300"
1.4,5.6,25.001628196995,"#ffd300"
2,6.4,25.001628196995,"#4daf4a"
1.8,6.3,25.001628196995,"#4daf4a"
1.6,6.3,25.001628196995,"#4daf4a"
1,5.5,0.00522631134181925,"#e41a1c"
1.2,5.1,0.00522631134181925,"#e41a1c"
1.4,5.1,0.00522631134181925,"#e41a1c"
2,1.9,0.00522631134181925,"#4daf4a"
1.8,2.3,0.00522631134181925,"#4daf4a"
1.6,2.3,0.00522631134181925,"#4daf4a"
1,5.5,0.0592583301372429,"#f781bf"
1.2,5.4,0.0592583301372429,"#f781bf"
1.4,5.4,0.0592583301372429,"#f781bf"
2,4.6,0.0592583301372429,"#4daf4a"
1.8,4.7,0.0592583301372429,"#4daf4a"
1.6,4.7,0.0592583301372429,"#4daf4a"
1,5.5,1.9123475223666,"#AAAAAA"
1.2,5,1.9123475223666,"#AAAAAA"
1.4,5,1.9123475223666,"#AAAAAA"
2,1,1.9123475223666,"#4daf4a"
1.8,1.5,1.9123475223666,"#4daf4a"
1.6,1.5,1.9123475223666,"#4daf4a"
1,5.5,2.34918674575282,"#4daf4a"
1.2,5.5,2.34918674575282,"#4daf4a"
1.4,5.5,2.34918674575282,"#4daf4a"
2,5.5,2.34918674575282,"#4daf4a"
1.8,5.5,2.34918674575282,"#4daf4a"
1.6,5.5,2.34918674575282,"#4daf4a"
1,5.5,0.235586034331237,"#a65628"
1.2,5.3,0.235586034331237,"#a65628"
