"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Stevens",1005,418700,1,5,2008,2009
"Stevens",1023,10955,1,23,2008,2009
"Stevens",1028,63,1,28,2008,2009
"Stevens",1036,2910,1,36,2008,2009
"Stevens",1037,55,1,37,2008,2009
"Stevens",1043,25,1,43,2008,2009
"Stevens",1059,4,1,59,2008,2009
"Stevens",1061,125,1,61,2008,2009
"Stevens",1111,160,1,111,2008,2009
"Stevens",1121,1171,1,121,2008,2009
"Stevens",1152,8,1,152,2008,2009
"Stevens",1176,7604,1,176,2008,2009
"Stevens",1190,12,1,190,2008,2009
"Stevens",1195,6803,1,195,2008,2009
"Stevens",5005,33393,5,5,2008,2009
"Stevens",5023,58306,5,23,2008,2009
"Stevens",5024,89,5,24,2008,2009
"Stevens",5028,151,5,28,2008,2009
"Stevens",5031,1,5,31,2008,2009
"Stevens",5036,1440,5,36,2008,2009
"Stevens",5037,32,5,37,2008,2009
"Stevens",5043,9,5,43,2008,2009
"Stevens",5044,5,5,44,2008,2009
"Stevens",5059,4,5,59,2008,2009
"Stevens",5061,96,5,61,2008,2009
"Stevens",5111,84,5,111,2008,2009
"Stevens",5121,451,5,121,2008,2009
"Stevens",5141,152,5,141,2008,2009
"Stevens",5142,2,5,142,2008,2009
"Stevens",5152,4,5,152,2008,2009
"Stevens",5176,11215,5,176,2008,2009
"Stevens",5190,29,5,190,2008,2009
"Stevens",5195,8420,5,195,2008,2009
"Stevens",6005,38,6,5,2008,2009
"Stevens",6023,453,6,23,2008,2009
"Stevens",6061,3,6,61,2008,2009
"Stevens",6176,25,6,176,2008,2009
"Stevens",6195,12,6,195,2008,2009
"Stevens",21005,3,21,5,2008,2009
"Stevens",21023,7,21,23,2008,2009
"Stevens",21036,9,21,36,2008,2009
"Stevens",21037,1,21,37,2008,2009
"Stevens",21141,3,21,141,2008,2009
"Stevens",21176,3,21,176,2008,2009
"Stevens",21195,6,21,195,2008,2009
"Stevens",23005,28708,23,5,2008,2009
"Stevens",23023,2900,23,23,2008,2009
"Stevens",23024,28,23,24,2008,2009
"Stevens",23028,24,23,28,2008,2009
"Stevens",23036,2053,23,36,2008,2009
"Stevens",23037,53,23,37,2008,2009
"Stevens",23043,11,23,43,2008,2009
"Stevens",23044,1,23,44,2008,2009
"Stevens",23061,32,23,61,2008,2009
"Stevens",23111,57,23,111,2008,2009
"Stevens",23121,30,23,121,2008,2009
"Stevens",23131,26,23,131,2008,2009
"Stevens",23141,38,23,141,2008,2009
"Stevens",23152,3,23,152,2008,2009
"Stevens",23176,3083,23,176,2008,2009
"Stevens",23190,11,23,190,2008,2009
"Stevens",23195,1912,23,195,2008,2009
"Stevens",24005,19,24,5,2008,2009
"Stevens",24023,9,24,23,2008,2009
"Stevens",24036,5,24,36,2008,2009
"Stevens",24131,4,24,131,2008,2009
"Stevens",24176,57,24,176,2008,2009
"Stevens",24195,19,24,195,2008,2009
"Stevens",27176,1,27,176,2008,2009
"Stevens",28005,95,28,5,2008,2009
"Stevens",28023,31,28,23,2008,2009
"Stevens",28028,1,28,28,2008,2009
"Stevens",28036,31,28,36,2008,2009
"Stevens",28037,3,28,37,2008,2009
"Stevens",28061,3,28,61,2008,2009
"Stevens",28141,3,28,141,2008,2009
"Stevens",28176,102,28,176,2008,2009
"Stevens",28195,30,28,195,2008,2009
"Stevens",31005,5,31,5,2008,2009
"Stevens",31061,1,31,61,2008,2009
"Stevens",31111,2,31,111,2008,2009
"Stevens",31176,8,31,176,2008,2009
"Stevens",31195,3,31,195,2008,2009
"Stevens",32061,1,32,61,2008,2009
"Stevens",36005,495,36,5,2008,2009
"Stevens",36006,144,36,6,2008,2009
