"xCoords","yCoords","width","colorToUse"
1,6.4,7.86005092440976,"#ffd300"
1.2,6.4,7.86005092440976,"#ffd300"
1.4,6.4,7.86005092440976,"#ffd300"
2,6.4,7.86005092440976,"#ffd300"
1.8,6.4,7.86005092440976,"#ffd300"
1.6,6.4,7.86005092440976,"#ffd300"
1,6.4,0.649848157283194,"#e41a1c"
1.2,5.9,0.649848157283194,"#e41a1c"
1.4,5.9,0.649848157283194,"#e41a1c"
2,1.9,0.649848157283194,"#ffd300"
1.8,2.4,0.649848157283194,"#ffd300"
1.6,2.4,0.649848157283194,"#ffd300"
1,6.4,0.175830603225857,"#f781bf"
1.2,6.2,0.175830603225857,"#f781bf"
1.4,6.2,0.175830603225857,"#f781bf"
2,4.6,0.175830603225857,"#ffd300"
1.8,4.8,0.175830603225857,"#ffd300"
1.6,4.8,0.175830603225857,"#ffd300"
1,6.4,1.15486265273395,"#AAAAAA"
1.2,5.8,1.15486265273395,"#AAAAAA"
1.4,5.8,1.15486265273395,"#AAAAAA"
2,1,1.15486265273395,"#ffd300"
1.8,1.6,1.15486265273395,"#ffd300"
1.6,1.6,1.15486265273395,"#ffd300"
1,6.4,25.2990630827032,"#4daf4a"
1.2,6.3,25.2990630827032,"#4daf4a"
1.4,6.3,25.2990630827032,"#4daf4a"
2,5.5,25.2990630827032,"#ffd300"
1.8,5.6,25.2990630827032,"#ffd300"
1.6,5.6,25.2990630827032,"#ffd300"
1,6.4,0.66193273482449,"#a65628"
1.2,6.1,0.66193273482449,"#a65628"
1.4,6.1,0.66193273482449,"#a65628"
2,3.7,0.66193273482449,"#ffd300"
1.8,4,0.66193273482449,"#ffd300"
1.6,4,0.66193273482449,"#ffd300"
1,6.4,0.689425148730938,"#377eb8"
1.2,6,0.689425148730938,"#377eb8"
1.4,6,0.689425148730938,"#377eb8"
2,2.8,0.689425148730938,"#ffd300"
1.8,3.2,0.689425148730938,"#ffd300"
1.6,3.2,0.689425148730938,"#ffd300"
1,1.9,0.734500622959972,"#ffd300"
1.2,2.4,0.734500622959972,"#ffd300"
1.4,2.4,0.734500622959972,"#ffd300"
2,6.4,0.734500622959972,"#e41a1c"
1.8,5.9,0.734500622959972,"#e41a1c"
1.6,5.9,0.734500622959972,"#e41a1c"
1,1.9,0.00271902994679161,"#e41a1c"
1.2,1.9,0.00271902994679161,"#e41a1c"
1.4,1.9,0.00271902994679161,"#e41a1c"
2,1.9,0.00271902994679161,"#e41a1c"
1.8,1.9,0.00271902994679161,"#e41a1c"
1.6,1.9,0.00271902994679161,"#e41a1c"
1,1.9,0.00108761197871664,"#f781bf"
1.2,2.2,0.00108761197871664,"#f781bf"
1.4,2.2,0.00108761197871664,"#f781bf"
2,4.6,0.00108761197871664,"#e41a1c"
1.8,4.3,0.00108761197871664,"#e41a1c"
1.6,4.3,0.00108761197871664,"#e41a1c"
1,1.9,0.0675527884558448,"#AAAAAA"
1.2,1.8,0.0675527884558448,"#AAAAAA"
1.4,1.8,0.0675527884558448,"#AAAAAA"
2,1,0.0675527884558448,"#e41a1c"
1.8,1.1,0.0675527884558448,"#e41a1c"
1.6,1.1,0.0675527884558448,"#e41a1c"
1,1.9,0.0276736825695679,"#4daf4a"
1.2,2.3,0.0276736825695679,"#4daf4a"
1.4,2.3,0.0276736825695679,"#4daf4a"
2,5.5,0.0276736825695679,"#e41a1c"
1.8,5.1,0.0276736825695679,"#e41a1c"
1.6,5.1,0.0276736825695679,"#e41a1c"
1,1.9,0.0642899525196948,"#a65628"
1.2,2.1,0.0642899525196948,"#a65628"
1.4,2.1,0.0642899525196948,"#a65628"
2,3.7,0.0642899525196948,"#e41a1c"
1.8,3.5,0.0642899525196948,"#e41a1c"
1.6,3.5,0.0642899525196948,"#e41a1c"
1,1.9,0.000906343315597202,"#377eb8"
1.2,2,0.000906343315597202,"#377eb8"
1.4,2,0.000906343315597202,"#377eb8"
2,2.8,0.000906343315597202,"#e41a1c"
