"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Swift",1005,498013,1,5,2008,2009
"Swift",1023,18167,1,23,2008,2009
"Swift",1028,267,1,28,2008,2009
"Swift",1036,3934,1,36,2008,2009
"Swift",1037,97,1,37,2008,2009
"Swift",1043,49,1,43,2008,2009
"Swift",1059,12,1,59,2008,2009
"Swift",1061,26,1,61,2008,2009
"Swift",1111,208,1,111,2008,2009
"Swift",1121,891,1,121,2008,2009
"Swift",1152,6,1,152,2008,2009
"Swift",1176,13625,1,176,2008,2009
"Swift",1190,46,1,190,2008,2009
"Swift",1195,11338,1,195,2008,2009
"Swift",5005,33653,5,5,2008,2009
"Swift",5023,49117,5,23,2008,2009
"Swift",5024,56,5,24,2008,2009
"Swift",5028,113,5,28,2008,2009
"Swift",5036,2125,5,36,2008,2009
"Swift",5037,177,5,37,2008,2009
"Swift",5043,22,5,43,2008,2009
"Swift",5044,2,5,44,2008,2009
"Swift",5058,2,5,58,2008,2009
"Swift",5059,18,5,59,2008,2009
"Swift",5061,49,5,61,2008,2009
"Swift",5111,27,5,111,2008,2009
"Swift",5121,191,5,121,2008,2009
"Swift",5141,147,5,141,2008,2009
"Swift",5142,4,5,142,2008,2009
"Swift",5152,6,5,152,2008,2009
"Swift",5176,12375,5,176,2008,2009
"Swift",5190,40,5,190,2008,2009
"Swift",5195,6049,5,195,2008,2009
"Swift",6005,30,6,5,2008,2009
"Swift",6023,1,6,23,2008,2009
"Swift",6061,1,6,61,2008,2009
"Swift",6131,33,6,131,2008,2009
"Swift",6176,17,6,176,2008,2009
"Swift",6195,7,6,195,2008,2009
"Swift",21005,6,21,5,2008,2009
"Swift",21023,5,21,23,2008,2009
"Swift",21036,4,21,36,2008,2009
"Swift",21176,7,21,176,2008,2009
"Swift",21195,5,21,195,2008,2009
"Swift",23005,26213,23,5,2008,2009
"Swift",23023,1856,23,23,2008,2009
"Swift",23024,244,23,24,2008,2009
"Swift",23028,18,23,28,2008,2009
"Swift",23036,1057,23,36,2008,2009
"Swift",23037,17,23,37,2008,2009
"Swift",23043,7,23,43,2008,2009
"Swift",23058,1,23,58,2008,2009
"Swift",23059,53,23,59,2008,2009
"Swift",23061,8,23,61,2008,2009
"Swift",23111,17,23,111,2008,2009
"Swift",23121,56,23,121,2008,2009
"Swift",23131,85,23,131,2008,2009
"Swift",23141,28,23,141,2008,2009
"Swift",23142,1,23,142,2008,2009
"Swift",23152,1,23,152,2008,2009
"Swift",23176,2347,23,176,2008,2009
"Swift",23190,2,23,190,2008,2009
"Swift",23195,861,23,195,2008,2009
"Swift",24005,93,24,5,2008,2009
"Swift",24023,19,24,23,2008,2009
"Swift",24176,25,24,176,2008,2009
"Swift",24195,9,24,195,2008,2009
"Swift",27176,34,27,176,2008,2009
"Swift",27195,11,27,195,2008,2009
"Swift",28005,297,28,5,2008,2009
"Swift",28023,135,28,23,2008,2009
"Swift",28028,3,28,28,2008,2009
"Swift",28036,362,28,36,2008,2009
"Swift",28037,3,28,37,2008,2009
"Swift",28044,1,28,44,2008,2009
"Swift",28059,5,28,59,2008,2009
"Swift",28141,6,28,141,2008,2009
"Swift",28176,305,28,176,2008,2009
"Swift",28190,1,28,190,2008,2009
"Swift",28195,85,28,195,2008,2009
"Swift",29005,4,29,5,2008,2009
"Swift",31005,8,31,5,2008,2009
"Swift",31023,1,31,23,2008,2009
"Swift",31176,20,31,176,2008,2009
"Swift",31195,4,31,195,2008,2009
"Swift",36005,1629,36,5,2008,2009
"Swift",36023,686,36,23,2008,2009
"Swift",36028,9,36,28,2008,2009
"Swift",36036,17015,36,36,2008,2009
"Swift",36037,123,36,37,2008,2009
"Swift",36061,2,36,61,2008,2009
"Swift",36131,46,36,131,2008,2009
"Swift",36141,22,36,141,2008,2009
"Swift",36152,1,36,152,2008,2009
"Swift",36176,5079,36,176,2008,2009
"Swift",36190,1,36,190,2008,2009
"Swift",36195,1017,36,195,2008,2009
"Swift",37005,68,37,5,2008,2009
"Swift",37023,28,37,23,2008,2009
"Swift",37024,7,37,24,2008,2009
"Swift",37036,87,37,36,2008,2009
"Swift",37037,263,37,37,2008,2009
"Swift",37059,1,37,59,2008,2009
"Swift",37061,2,37,61,2008,2009
"Swift",37141,16,37,141,2008,2009
"Swift",37152,1,37,152,2008,2009
"Swift",37176,1933,37,176,2008,2009
"Swift",37190,1,37,190,2008,2009
"Swift",37195,521,37,195,2008,2009
"Swift",39005,5,39,5,2008,2009
"Swift",41005,10561,41,5,2008,2009
"Swift",41023,2923,41,23,2008,2009
"Swift",41195,82,41,195,2008,2009
"Swift",42005,2149,42,5,2008,2009
"Swift",42023,1512,42,23,2008,2009
"Swift",42061,12,42,61,2008,2009
"Swift",42141,5,42,141,2008,2009
"Swift",42176,704,42,176,2008,2009
"Swift",42195,151,42,195,2008,2009
"Swift",43023,6,43,23,2008,2009
"Swift",43176,82,43,176,2008,2009
"Swift",43195,61,43,195,2008,2009
"Swift",44023,1,44,23,2008,2009
"Swift",44111,1,44,111,2008,2009
"Swift",58005,1,58,5,2008,2009
"Swift",58023,1,58,23,2008,2009
"Swift",58037,1,58,37,2008,2009
"Swift",58176,3,58,176,2008,2009
"Swift",58195,2,58,195,2008,2009
"Swift",59005,1,59,5,2008,2009
"Swift",59036,3,59,36,2008,2009
"Swift",59037,1,59,37,2008,2009
"Swift",59176,16,59,176,2008,2009
"Swift",61005,109,61,5,2008,2009
"Swift",61023,22,61,23,2008,2009
"Swift",61028,2,61,28,2008,2009
"Swift",61036,2,61,36,2008,2009
"Swift",61037,1,61,37,2008,2009
"Swift",61061,2,61,61,2008,2009
"Swift",61111,4,61,111,2008,2009
"Swift",61176,34,61,176,2008,2009
"Swift",61195,21,61,195,2008,2009
"Swift",111005,13,111,5,2008,2009
"Swift",111023,16,111,23,2008,2009
"Swift",111028,2,111,28,2008,2009
"Swift",111044,2,111,44,2008,2009
"Swift",111061,4,111,61,2008,2009
"Swift",111111,31377,111,111,2008,2009
"Swift",111141,176,111,141,2008,2009
"Swift",111142,1,111,142,2008,2009
"Swift",111176,145,111,176,2008,2009
"Swift",111190,16,111,190,2008,2009
"Swift",111195,1402,111,195,2008,2009
"Swift",121005,836,121,5,2008,2009
"Swift",121023,84,121,23,2008,2009
"Swift",121036,23,121,36,2008,2009
"Swift",121041,1,121,41,2008,2009
"Swift",121121,94116,121,121,2008,2009
"Swift",121122,3271,121,122,2008,2009
"Swift",121123,36,121,123,2008,2009
"Swift",121176,7,121,176,2008,2009
"Swift",121195,1,121,195,2008,2009
"Swift",122023,3,122,23,2008,2009
"Swift",122121,1504,122,121,2008,2009
"Swift",122122,11265,122,122,2008,2009
"Swift",122123,458,122,123,2008,2009
"Swift",122176,39,122,176,2008,2009
"Swift",123001,65,123,1,2008,2009
"Swift",123005,5,123,5,2008,2009
"Swift",123061,2,123,61,2008,2009
"Swift",123121,57,123,121,2008,2009
