"xCoords","yCoords","width","colorToUse"
1,6.4,9.76617394322166,"#ffd300"
1.2,6.4,9.76617394322166,"#ffd300"
1.4,6.4,9.76617394322166,"#ffd300"
2,6.4,9.76617394322166,"#ffd300"
1.8,6.4,9.76617394322166,"#ffd300"
1.6,6.4,9.76617394322166,"#ffd300"
1,6.4,0.753156598623172,"#e41a1c"
1.2,5.9,0.753156598623172,"#e41a1c"
1.4,5.9,0.753156598623172,"#e41a1c"
2,1.9,0.753156598623172,"#ffd300"
1.8,2.4,0.753156598623172,"#ffd300"
1.6,2.4,0.753156598623172,"#ffd300"
1,6.4,0.181796420357317,"#f781bf"
1.2,6.2,0.181796420357317,"#f781bf"
1.4,6.2,0.181796420357317,"#f781bf"
2,4.6,0.181796420357317,"#ffd300"
1.8,4.8,0.181796420357317,"#ffd300"
1.6,4.8,0.181796420357317,"#ffd300"
1,6.4,1.3000246307809,"#AAAAAA"
1.2,5.8,1.3000246307809,"#AAAAAA"
1.4,5.8,1.3000246307809,"#AAAAAA"
2,1,1.3000246307809,"#ffd300"
1.8,1.6,1.3000246307809,"#ffd300"
1.6,1.6,1.3000246307809,"#ffd300"
1,6.4,23.0139757731085,"#4daf4a"
1.2,6.3,23.0139757731085,"#4daf4a"
1.4,6.3,23.0139757731085,"#4daf4a"
2,5.5,23.0139757731085,"#ffd300"
1.8,5.6,23.0139757731085,"#ffd300"
1.6,5.6,23.0139757731085,"#ffd300"
1,6.4,0.839526072351648,"#a65628"
1.2,6.1,0.839526072351648,"#a65628"
1.4,6.1,0.839526072351648,"#a65628"
2,3.7,0.839526072351648,"#ffd300"
1.8,4,0.839526072351648,"#ffd300"
1.6,4,0.839526072351648,"#ffd300"
1,6.4,0.869933302802872,"#377eb8"
1.2,6,0.869933302802872,"#377eb8"
1.4,6,0.869933302802872,"#377eb8"
2,2.8,0.869933302802872,"#ffd300"
1.8,3.2,0.869933302802872,"#ffd300"
1.6,3.2,0.869933302802872,"#ffd300"
1,1.9,0.69081715503852,"#ffd300"
1.2,2.4,0.69081715503852,"#ffd300"
1.4,2.4,0.69081715503852,"#ffd300"
2,6.4,0.69081715503852,"#e41a1c"
1.8,5.9,0.69081715503852,"#e41a1c"
1.6,5.9,0.69081715503852,"#e41a1c"
1,1.9,0.0039741972930171,"#e41a1c"
1.2,1.9,0.0039741972930171,"#e41a1c"
1.4,1.9,0.0039741972930171,"#e41a1c"
2,1.9,0.0039741972930171,"#e41a1c"
1.8,1.9,0.0039741972930171,"#e41a1c"
1.6,1.9,0.0039741972930171,"#e41a1c"
1,1.9,0.00115528991076079,"#f781bf"
1.2,2.2,0.00115528991076079,"#f781bf"
1.4,2.2,0.00115528991076079,"#f781bf"
2,4.6,0.00115528991076079,"#e41a1c"
1.8,4.3,0.00115528991076079,"#e41a1c"
1.6,4.3,0.00115528991076079,"#e41a1c"
1,1.9,0.0498623125484355,"#AAAAAA"
1.2,1.8,0.0498623125484355,"#AAAAAA"
1.4,1.8,0.0498623125484355,"#AAAAAA"
2,1,0.0498623125484355,"#e41a1c"
1.8,1.1,0.0498623125484355,"#e41a1c"
1.6,1.1,0.0498623125484355,"#e41a1c"
1,1.9,0.0993087207289972,"#4daf4a"
1.2,2.3,0.0993087207289972,"#4daf4a"
1.4,2.3,0.0993087207289972,"#4daf4a"
2,5.5,0.0993087207289972,"#e41a1c"
1.8,5.1,0.0993087207289972,"#e41a1c"
1.6,5.1,0.0993087207289972,"#e41a1c"
1,1.9,0.0698719338028124,"#a65628"
1.2,2.1,0.0698719338028124,"#a65628"
1.4,2.1,0.0698719338028124,"#a65628"
2,3.7,0.0698719338028124,"#e41a1c"
1.8,3.5,0.0698719338028124,"#e41a1c"
1.6,3.5,0.0698719338028124,"#e41a1c"
1,1.9,0.00115528991076079,"#377eb8"
1.2,2,0.00115528991076079,"#377eb8"
1.4,2,0.00115528991076079,"#377eb8"
2,2.8,0.00115528991076079,"#e41a1c"
1.8,2.7,0.00115528991076079,"#e41a1c"
1.6,2.7,0.00115528991076079,"#e41a1c"
1,4.6,0.181519150778735,"#ffd300"
1.2,4.8,0.181519150778735,"#ffd300"
1.4,4.8,0.181519150778735,"#ffd300"
2,6.4,0.181519150778735,"#f781bf"
1.8,6.2,0.181519150778735,"#f781bf"
1.6,6.2,0.181519150778735,"#f781bf"
1,4.6,0.000462115964304314,"#e41a1c"
1.2,4.3,0.000462115964304314,"#e41a1c"
1.4,4.3,0.000462115964304314,"#e41a1c"
2,1.9,0.000462115964304314,"#f781bf"
1.8,2.2,0.000462115964304314,"#f781bf"
1.6,2.2,0.000462115964304314,"#f781bf"
1,4.6,0.91794715149409,"#f781bf"
1.2,4.6,0.91794715149409,"#f781bf"
1.4,4.6,0.91794715149409,"#f781bf"
2,4.6,0.91794715149409,"#f781bf"
1.8,4.6,0.91794715149409,"#f781bf"
1.6,4.6,0.91794715149409,"#f781bf"
1,4.6,0.296493602697648,"#AAAAAA"
1.2,4.2,0.296493602697648,"#AAAAAA"
1.4,4.2,0.296493602697648,"#AAAAAA"
2,1,0.296493602697648,"#f781bf"
1.8,1.4,0.296493602697648,"#f781bf"
1.6,1.4,0.296493602697648,"#f781bf"
1,4.6,0.0784210791424422,"#4daf4a"
1.2,4.7,0.0784210791424422,"#4daf4a"
1.4,4.7,0.0784210791424422,"#4daf4a"
2,5.5,0.0784210791424422,"#f781bf"
1.8,5.4,0.0784210791424422,"#f781bf"
1.6,5.4,0.0784210791424422,"#f781bf"
1,4.6,0.0329950798513281,"#a65628"
1.2,4.5,0.0329950798513281,"#a65628"
1.4,4.5,0.0329950798513281,"#a65628"
2,3.7,0.0329950798513281,"#f781bf"
1.8,3.8,0.0329950798513281,"#f781bf"
1.6,3.8,0.0329950798513281,"#f781bf"
1,4.6,0.000739385542886903,"#377eb8"
1.2,4.4,0.000739385542886903,"#377eb8"
1.4,4.4,0.000739385542886903,"#377eb8"
2,2.8,0.000739385542886903,"#f781bf"
1.8,3,0.000739385542886903,"#f781bf"
1.6,3,0.000739385542886903,"#f781bf"
1,1,1.11212827969476,"#ffd300"
1.2,1.6,1.11212827969476,"#ffd300"
1.4,1.6,1.11212827969476,"#ffd300"
2,6.4,1.11212827969476,"#AAAAAA"
1.8,5.8,1.11212827969476,"#AAAAAA"
1.6,5.8,1.11212827969476,"#AAAAAA"
1,1,0.0130316701933817,"#e41a1c"
1.2,1.1,0.0130316701933817,"#e41a1c"
1.4,1.1,0.0130316701933817,"#e41a1c"
2,1.9,0.0130316701933817,"#AAAAAA"
1.8,1.8,0.0130316701933817,"#AAAAAA"
1.6,1.8,0.0130316701933817,"#AAAAAA"
1,1,0.271539340625215,"#f781bf"
1.2,1.4,0.271539340625215,"#f781bf"
1.4,1.4,0.271539340625215,"#f781bf"
2,4.6,0.271539340625215,"#AAAAAA"
1.8,4.2,0.271539340625215,"#AAAAAA"
1.6,4.2,0.271539340625215,"#AAAAAA"
1,1,26.6305877329469,"#AAAAAA"
1.2,1,26.6305877329469,"#AAAAAA"
1.4,1,26.6305877329469,"#AAAAAA"
2,1,26.6305877329469,"#AAAAAA"
1.8,1,26.6305877329469,"#AAAAAA"
1.6,1,26.6305877329469,"#AAAAAA"
1,1,0.825939863001101,"#4daf4a"
1.2,1.5,0.825939863001101,"#4daf4a"
1.4,1.5,0.825939863001101,"#4daf4a"
2,5.5,0.825939863001101,"#AAAAAA"
