"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Todd",1005,92389,1,5,2008,2009
"Todd",1023,15841,1,23,2008,2009
"Todd",1028,7062,1,28,2008,2009
"Todd",1036,3973,1,36,2008,2009
"Todd",1037,735,1,37,2008,2009
"Todd",1043,498,1,43,2008,2009
"Todd",1059,1,1,59,2008,2009
"Todd",1061,114,1,61,2008,2009
"Todd",1111,29,1,111,2008,2009
"Todd",1121,141,1,121,2008,2009
"Todd",1152,143,1,152,2008,2009
"Todd",1176,43511,1,176,2008,2009
"Todd",1190,80,1,190,2008,2009
"Todd",1195,2038,1,195,2008,2009
"Todd",5005,24533,5,5,2008,2009
"Todd",5023,27681,5,23,2008,2009
"Todd",5024,137,5,24,2008,2009
"Todd",5028,4617,5,28,2008,2009
"Todd",5036,2513,5,36,2008,2009
"Todd",5037,803,5,37,2008,2009
"Todd",5043,4299,5,43,2008,2009
"Todd",5058,19,5,58,2008,2009
"Todd",5059,1,5,59,2008,2009
"Todd",5061,172,5,61,2008,2009
"Todd",5111,17,5,111,2008,2009
"Todd",5121,59,5,121,2008,2009
"Todd",5141,948,5,141,2008,2009
"Todd",5142,102,5,142,2008,2009
"Todd",5152,91,5,152,2008,2009
"Todd",5176,27010,5,176,2008,2009
"Todd",5190,40,5,190,2008,2009
"Todd",5195,1223,5,195,2008,2009
"Todd",6005,754,6,5,2008,2009
"Todd",6023,1018,6,23,2008,2009
"Todd",6061,12,6,61,2008,2009
"Todd",6131,57,6,131,2008,2009
"Todd",6176,482,6,176,2008,2009
"Todd",6190,3,6,190,2008,2009
"Todd",6195,21,6,195,2008,2009
"Todd",21005,48,21,5,2008,2009
"Todd",21023,389,21,23,2008,2009
"Todd",21028,38,21,28,2008,2009
"Todd",21036,49,21,36,2008,2009
"Todd",21037,11,21,37,2008,2009
"Todd",21061,1,21,61,2008,2009
"Todd",21141,1,21,141,2008,2009
"Todd",21176,95,21,176,2008,2009
"Todd",21195,6,21,195,2008,2009
"Todd",23005,14564,23,5,2008,2009
"Todd",23023,4591,23,23,2008,2009
"Todd",23024,842,23,24,2008,2009
"Todd",23028,1292,23,28,2008,2009
"Todd",23036,2885,23,36,2008,2009
"Todd",23037,1365,23,37,2008,2009
"Todd",23043,314,23,43,2008,2009
"Todd",23044,3,23,44,2008,2009
"Todd",23058,23,23,58,2008,2009
"Todd",23061,16,23,61,2008,2009
"Todd",23111,4,23,111,2008,2009
"Todd",23121,11,23,121,2008,2009
"Todd",23131,56,23,131,2008,2009
"Todd",23141,134,23,141,2008,2009
"Todd",23142,14,23,142,2008,2009
"Todd",23152,7,23,152,2008,2009
"Todd",23176,10136,23,176,2008,2009
"Todd",23190,15,23,190,2008,2009
"Todd",23195,226,23,195,2008,2009
"Todd",24005,61,24,5,2008,2009
"Todd",24023,128,24,23,2008,2009
"Todd",24028,30,24,28,2008,2009
"Todd",24036,15,24,36,2008,2009
"Todd",24037,33,24,37,2008,2009
"Todd",24061,4,24,61,2008,2009
"Todd",24131,1,24,131,2008,2009
"Todd",24141,2,24,141,2008,2009
"Todd",24176,325,24,176,2008,2009
"Todd",24195,18,24,195,2008,2009
"Todd",27176,403,27,176,2008,2009
"Todd",27195,4,27,195,2008,2009
"Todd",28005,1162,28,5,2008,2009
"Todd",28023,655,28,23,2008,2009
"Todd",28028,435,28,28,2008,2009
"Todd",28036,1895,28,36,2008,2009
"Todd",28037,440,28,37,2008,2009
"Todd",28058,11,28,58,2008,2009
"Todd",28061,8,28,61,2008,2009
"Todd",28141,68,28,141,2008,2009
"Todd",28176,3785,28,176,2008,2009
"Todd",28190,5,28,190,2008,2009
"Todd",28195,68,28,195,2008,2009
"Todd",31005,1,31,5,2008,2009
"Todd",31023,1,31,23,2008,2009
"Todd",31037,1,31,37,2008,2009
"Todd",31176,11,31,176,2008,2009
"Todd",36005,1967,36,5,2008,2009
"Todd",36006,18,36,6,2008,2009
"Todd",36023,624,36,23,2008,2009
"Todd",36028,290,36,28,2008,2009
"Todd",36036,41695,36,36,2008,2009
"Todd",36037,2594,36,37,2008,2009
"Todd",36058,14,36,58,2008,2009
"Todd",36061,52,36,61,2008,2009
"Todd",36131,14,36,131,2008,2009
"Todd",36141,604,36,141,2008,2009
"Todd",36142,63,36,142,2008,2009
"Todd",36152,17,36,152,2008,2009
"Todd",36176,30750,36,176,2008,2009
"Todd",36190,33,36,190,2008,2009
"Todd",36195,276,36,195,2008,2009
"Todd",37005,1217,37,5,2008,2009
"Todd",37023,341,37,23,2008,2009
"Todd",37024,90,37,24,2008,2009
"Todd",37028,315,37,28,2008,2009
"Todd",37036,3202,37,36,2008,2009
"Todd",37037,4993,37,37,2008,2009
"Todd",37058,53,37,58,2008,2009
"Todd",37059,2,37,59,2008,2009
"Todd",37061,52,37,61,2008,2009
"Todd",37141,959,37,141,2008,2009
"Todd",37142,304,37,142,2008,2009
"Todd",37152,48,37,152,2008,2009
"Todd",37176,21556,37,176,2008,2009
"Todd",37190,157,37,190,2008,2009
