"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,97900,3.4741752382507,270167,9.58741063935116,259621,9.21316495944725
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,1120,0.0397454164130826,270167,9.58741063935116,3237,0.114871350829597
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,3973,0.140989767329623,270167,9.58741063935116,125268,4.44538287788753
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,58874,2.08926039812842,270167,9.58741063935116,2204858,78.2437494122469
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,92389,3.27860649731097,270167,9.58741063935116,164217,5.82756522063142
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,15841,0.562149233392538,270167,9.58741063935116,60567,2.14933985347426
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,70,0.00248408852581766,270167,9.58741063935116,167,0.00592632548302214
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,629,0.0223213097534187,1879,0.0666800334287342,259621,9.21316495944725
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,9,0.000319382810462271,1879,0.0666800334287342,3237,0.114871350829597
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,24,0.000851687494566056,1879,0.0666800334287342,125268,4.44538287788753
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,815,0.0289218878363057,1879,0.0666800334287342,2204858,78.2437494122469
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,254,0.0090136926508241,1879,0.0666800334287342,164217,5.82756522063142
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,148,0.00525207288315735,1879,0.0666800334287342,60567,2.14933985347426
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,14092,0.500082507226036,127732,4.53282279399631,259621,9.21316495944725
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,64,0.00227116665217615,127732,4.53282279399631,3237,0.114871350829597
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,74344,2.63824396233412,127732,4.53282279399631,125268,4.44538287788753
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,35078,1.24481224726617,127732,4.53282279399631,2204858,78.2437494122469
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,3184,0.112990540945763,127732,4.53282279399631,164217,5.82756522063142
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,965,0.0342449346773435,127732,4.53282279399631,60567,2.14933985347426
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,5,0.000177434894701262,127732,4.53282279399631,167,0.00592632548302214
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,58826,2.08755702313928,2195178,77.9002354561053,259621,9.21316495944725
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,1187,0.0421230440020795,2195178,77.9002354561053,3237,0.114871350829597
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,41524,1.47356131351504,2195178,77.9002354561053,125268,4.44538287788753
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,2053067,72.8571453919271,2195178,77.9002354561053,2204858,78.2437494122469
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,29193,1.03597137620279,2195178,77.9002354561053,164217,5.82756522063142
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,11337,0.402315880245641,2195178,77.9002354561053,60567,2.14933985347426
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,44,0.0015614270733711,2195178,77.9002354561053,167,0.00592632548302214
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,74850,2.65620037367789,171095,6.07164466178248,259621,9.21316495944725
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,574,0.0203695259117048,171095,6.07164466178248,3237,0.114871350829597
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,2513,0.0891787780768541,171095,6.07164466178248,125268,4.44538287788753
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,40903,1.45152389959314,171095,6.07164466178248,2204858,78.2437494122469
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,24533,0.870602054341211,171095,6.07164466178248,164217,5.82756522063142
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,27681,0.982315064045125,171095,6.07164466178248,60567,2.14933985347426
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,41,0.00145496613655035,171095,6.07164466178248,167,0.00592632548302214
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,13244,0.469989549084702,51647,1.83279600132721,259621,9.21316495944725
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,283,0.0100428150400914,51647,1.83279600132721,3237,0.114871350829597
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,2885,0.102379934242628,51647,1.83279600132721,125268,4.44538287788753
