"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Traverse",0,922,0,0,2008,2009
"Traverse",1005,436807,1,5,2008,2009
"Traverse",1023,5247,1,23,2008,2009
"Traverse",1028,8,1,28,2008,2009
"Traverse",1036,353,1,36,2008,2009
"Traverse",1037,23,1,37,2008,2009
"Traverse",1043,9,1,43,2008,2009
"Traverse",1044,5,1,44,2008,2009
"Traverse",1059,5,1,59,2008,2009
"Traverse",1061,8790,1,61,2008,2009
"Traverse",1111,166,1,111,2008,2009
"Traverse",1121,593,1,121,2008,2009
"Traverse",1152,7,1,152,2008,2009
"Traverse",1176,3544,1,176,2008,2009
"Traverse",1190,2,1,190,2008,2009
"Traverse",1195,6287,1,195,2008,2009
"Traverse",5005,109981,5,5,2008,2009
"Traverse",5023,107912,5,23,2008,2009
"Traverse",5024,35,5,24,2008,2009
"Traverse",5028,25,5,28,2008,2009
"Traverse",5036,995,5,36,2008,2009
"Traverse",5037,42,5,37,2008,2009
"Traverse",5043,5,5,43,2008,2009
"Traverse",5044,9,5,44,2008,2009
"Traverse",5059,11,5,59,2008,2009
"Traverse",5061,624,5,61,2008,2009
"Traverse",5111,97,5,111,2008,2009
"Traverse",5121,433,5,121,2008,2009
"Traverse",5141,63,5,141,2008,2009
"Traverse",5152,6,5,152,2008,2009
"Traverse",5176,12209,5,176,2008,2009
"Traverse",5190,27,5,190,2008,2009
"Traverse",5195,12264,5,195,2008,2009
"Traverse",6005,3969,6,5,2008,2009
"Traverse",6023,721,6,23,2008,2009
"Traverse",6061,28,6,61,2008,2009
"Traverse",6176,49,6,176,2008,2009
"Traverse",6195,94,6,195,2008,2009
"Traverse",21005,17,21,5,2008,2009
"Traverse",21023,49,21,23,2008,2009
"Traverse",21176,2,21,176,2008,2009
"Traverse",21190,1,21,190,2008,2009
"Traverse",23005,61814,23,5,2008,2009
"Traverse",23023,6108,23,23,2008,2009
"Traverse",23024,53,23,24,2008,2009
"Traverse",23028,2,23,28,2008,2009
"Traverse",23036,506,23,36,2008,2009
"Traverse",23037,23,23,37,2008,2009
"Traverse",23044,1,23,44,2008,2009
"Traverse",23059,2,23,59,2008,2009
"Traverse",23061,213,23,61,2008,2009
"Traverse",23111,55,23,111,2008,2009
"Traverse",23121,231,23,121,2008,2009
"Traverse",23131,10,23,131,2008,2009
"Traverse",23141,18,23,141,2008,2009
"Traverse",23152,3,23,152,2008,2009
"Traverse",23176,4021,23,176,2008,2009
"Traverse",23190,1,23,190,2008,2009
"Traverse",23195,2011,23,195,2008,2009
"Traverse",24005,40,24,5,2008,2009
"Traverse",24023,387,24,23,2008,2009
"Traverse",24036,22,24,36,2008,2009
"Traverse",24059,3,24,59,2008,2009
"Traverse",24061,63,24,61,2008,2009
"Traverse",24131,2,24,131,2008,2009
"Traverse",24176,137,24,176,2008,2009
"Traverse",24195,103,24,195,2008,2009
"Traverse",27195,1,27,195,2008,2009
"Traverse",28005,1,28,5,2008,2009
"Traverse",28023,1,28,23,2008,2009
"Traverse",28036,1,28,36,2008,2009
"Traverse",28141,2,28,141,2008,2009
"Traverse",28176,5,28,176,2008,2009
"Traverse",28190,1,28,190,2008,2009
"Traverse",28195,2,28,195,2008,2009
"Traverse",36005,664,36,5,2008,2009
"Traverse",36006,14,36,6,2008,2009
"Traverse",36023,351,36,23,2008,2009
"Traverse",36036,4858,36,36,2008,2009
"Traverse",36037,25,36,37,2008,2009
"Traverse",36059,1,36,59,2008,2009
"Traverse",36061,5,36,61,2008,2009
"Traverse",36131,3,36,131,2008,2009
"Traverse",36141,5,36,141,2008,2009
"Traverse",36142,1,36,142,2008,2009
"Traverse",36176,1398,36,176,2008,2009
"Traverse",36190,2,36,190,2008,2009
"Traverse",36195,403,36,195,2008,2009
"Traverse",37005,5,37,5,2008,2009
"Traverse",37036,116,37,36,2008,2009
"Traverse",37061,3,37,61,2008,2009
"Traverse",37141,1,37,141,2008,2009
"Traverse",37176,43,37,176,2008,2009
"Traverse",37195,22,37,195,2008,2009
"Traverse",41005,19378,41,5,2008,2009
"Traverse",41023,1560,41,23,2008,2009
"Traverse",41195,151,41,195,2008,2009
"Traverse",42005,721,42,5,2008,2009
"Traverse",42023,49,42,23,2008,2009
"Traverse",42061,2,42,61,2008,2009
"Traverse",42141,3,42,141,2008,2009
"Traverse",42176,95,42,176,2008,2009
"Traverse",42195,29,42,195,2008,2009
"Traverse",44195,1,44,195,2008,2009
"Traverse",59141,1,59,141,2008,2009
"Traverse",59176,4,59,176,2008,2009
"Traverse",59195,1,59,195,2008,2009
"Traverse",61005,2378,61,5,2008,2009
"Traverse",61023,4,61,23,2008,2009
"Traverse",61036,4,61,36,2008,2009
"Traverse",61111,5,61,111,2008,2009
"Traverse",61176,52,61,176,2008,2009
"Traverse",61195,27,61,195,2008,2009
"Traverse",111005,51,111,5,2008,2009
"Traverse",111023,56,111,23,2008,2009
"Traverse",111037,4,111,37,2008,2009
"Traverse",111044,6,111,44,2008,2009
"Traverse",111061,54,111,61,2008,2009
"Traverse",111111,47055,111,111,2008,2009
"Traverse",111141,34,111,141,2008,2009
"Traverse",111176,62,111,176,2008,2009
"Traverse",111190,25,111,190,2008,2009
"Traverse",111195,1592,111,195,2008,2009
"Traverse",121005,1187,121,5,2008,2009
"Traverse",121023,248,121,23,2008,2009
"Traverse",121041,27,121,41,2008,2009
"Traverse",121059,5,121,59,2008,2009
"Traverse",121061,17,121,61,2008,2009
"Traverse",121121,71760,121,121,2008,2009
"Traverse",121122,1158,121,122,2008,2009
"Traverse",121123,28,121,123,2008,2009
"Traverse",121176,7,121,176,2008,2009
"Traverse",121195,2,121,195,2008,2009
"Traverse",122059,2,122,59,2008,2009
"Traverse",122121,711,122,121,2008,2009
"Traverse",122122,4815,122,122,2008,2009
"Traverse",122123,125,122,123,2008,2009
"Traverse",122176,9,122,176,2008,2009
"Traverse",123001,1,123,1,2008,2009
"Traverse",123061,2,123,61,2008,2009
"Traverse",123121,101,123,121,2008,2009
"Traverse",123122,266,123,122,2008,2009
"Traverse",123123,1610,123,123,2008,2009
"Traverse",123124,21,123,124,2008,2009
"Traverse",124122,1,124,122,2008,2009
"Traverse",124123,184,124,123,2008,2009
"Traverse",124124,94,124,124,2008,2009
"Traverse",131005,39,131,5,2008,2009
"Traverse",131023,6,131,23,2008,2009
"Traverse",131061,2,131,61,2008,2009
"Traverse",131176,79,131,176,2008,2009
"Traverse",131195,23,131,195,2008,2009
"Traverse",141005,65,141,5,2008,2009
"Traverse",141023,10,141,23,2008,2009
"Traverse",141028,1,141,28,2008,2009
"Traverse",141036,4,141,36,2008,2009
"Traverse",141037,6,141,37,2008,2009
"Traverse",141061,8,141,61,2008,2009
"Traverse",141111,152,141,111,2008,2009
"Traverse",141141,11157,141,141,2008,2009
"Traverse",141142,13,141,142,2008,2009
"Traverse",141152,2,141,152,2008,2009
"Traverse",141176,6,141,176,2008,2009
"Traverse",141190,1153,141,190,2008,2009
"Traverse",141195,67,141,195,2008,2009
"Traverse",142005,1,142,5,2008,2009
"Traverse",142141,32,142,141,2008,2009
"Traverse",142176,2,142,176,2008,2009
"Traverse",142190,9,142,190,2008,2009
"Traverse",152005,1,152,5,2008,2009
"Traverse",152141,8,152,141,2008,2009
"Traverse",152176,1,152,176,2008,2009
"Traverse",152195,2,152,195,2008,2009
"Traverse",176001,1717,176,1,2008,2009
"Traverse",176005,2709,176,5,2008,2009
"Traverse",176006,190,176,6,2008,2009
"Traverse",176023,1800,176,23,2008,2009
"Traverse",176024,17,176,24,2008,2009
"Traverse",176027,1,176,27,2008,2009
"Traverse",176036,1640,176,36,2008,2009
"Traverse",176037,149,176,37,2008,2009
"Traverse",176044,4,176,44,2008,2009
"Traverse",176059,7,176,59,2008,2009
"Traverse",176061,180,176,61,2008,2009
"Traverse",176111,38,176,111,2008,2009
"Traverse",176131,32,176,131,2008,2009
"Traverse",176141,21,176,141,2008,2009
"Traverse",176142,2,176,142,2008,2009
"Traverse",176152,4,176,152,2008,2009
"Traverse",176176,37062,176,176,2008,2009
"Traverse",176190,11,176,190,2008,2009
"Traverse",176195,15808,176,195,2008,2009
"Traverse",190005,11,190,5,2008,2009
"Traverse",190036,2,190,36,2008,2009
"Traverse",190037,1,190,37,2008,2009
"Traverse",190061,1,190,61,2008,2009
"Traverse",190111,90,190,111,2008,2009
"Traverse",190141,827,190,141,2008,2009
"Traverse",190143,1,190,143,2008,2009
"Traverse",190176,3,190,176,2008,2009
"Traverse",190190,811,190,190,2008,2009
"Traverse",190195,15,190,195,2008,2009
"Traverse",195001,1574,195,1,2008,2009
"Traverse",195005,2524,195,5,2008,2009
"Traverse",195006,49,195,6,2008,2009
"Traverse",195021,1,195,21,2008,2009
"Traverse",195023,1272,195,23,2008,2009
"Traverse",195024,15,195,24,2008,2009
"Traverse",195036,431,195,36,2008,2009
"Traverse",195037,60,195,37,2008,2009
"Traverse",195044,2,195,44,2008,2009
"Traverse",195059,11,195,59,2008,2009
"Traverse",195061,172,195,61,2008,2009
"Traverse",195111,1676,195,111,2008,2009
"Traverse",195131,5,195,131,2008,2009
"Traverse",195141,38,195,141,2008,2009
"Traverse",195142,1,195,142,2008,2009
"Traverse",195152,13,195,152,2008,2009
"Traverse",195176,18365,195,176,2008,2009
"Traverse",195190,14,195,190,2008,2009
"Traverse",195195,43126,195,195,2008,2009
"Traverse",1001,42500,1,1,2008,2009
"Traverse",1006,11640,1,6,2008,2009
"Traverse",1021,4,1,21,2008,2009
"Traverse",1024,1,1,24,2008,2009
"Traverse",1041,10149,1,41,2008,2009
"Traverse",1042,1648,1,42,2008,2009
"Traverse",1141,76,1,141,2008,2009
"Traverse",5001,430168,5,1,2008,2009
"Traverse",5006,10634,5,6,2008,2009
"Traverse",5021,297,5,21,2008,2009
"Traverse",5041,5305,5,41,2008,2009
"Traverse",5042,155,5,42,2008,2009
"Traverse",5123,2,5,123,2008,2009
"Traverse",6001,3068,6,1,2008,2009
"Traverse",6006,42,6,6,2008,2009
"Traverse",6024,1,6,24,2008,2009
"Traverse",6028,4,6,28,2008,2009
"Traverse",6036,3,6,36,2008,2009
"Traverse",6041,32,6,41,2008,2009
"Traverse",6111,2,6,111,2008,2009
"Traverse",21041,1,21,41,2008,2009
"Traverse",23001,28537,23,1,2008,2009
"Traverse",23006,815,23,6,2008,2009
"Traverse",23021,12,23,21,2008,2009
"Traverse",23041,21974,23,41,2008,2009
"Traverse",23042,1329,23,42,2008,2009
"Traverse",23123,1,23,123,2008,2009
"Traverse",24001,4,24,1,2008,2009
"Traverse",24006,336,24,6,2008,2009
"Traverse",24024,109,24,24,2008,2009
"Traverse",24041,1,24,41,2008,2009
"Traverse",24042,2,24,42,2008,2009
"Traverse",24121,2,24,121,2008,2009
"Traverse",28001,2,28,1,2008,2009
"Traverse",36001,752,36,1,2008,2009
"Traverse",36024,2,36,24,2008,2009
"Traverse",36041,2,36,41,2008,2009
"Traverse",36042,1,36,42,2008,2009
"Traverse",36121,5,36,121,2008,2009
"Traverse",37001,37,37,1,2008,2009
"Traverse",37041,1,37,41,2008,2009
"Traverse",41001,15805,41,1,2008,2009
"Traverse",41006,19,41,6,2008,2009
"Traverse",41021,3,41,21,2008,2009
"Traverse",41024,2,41,24,2008,2009
"Traverse",41036,9,41,36,2008,2009
"Traverse",41041,96,41,41,2008,2009
"Traverse",41042,6,41,42,2008,2009
"Traverse",41061,6,41,61,2008,2009
"Traverse",41111,7,41,111,2008,2009
"Traverse",41121,10,41,121,2008,2009
"Traverse",41176,69,41,176,2008,2009
"Traverse",42001,1615,42,1,2008,2009
"Traverse",42024,2,42,24,2008,2009
"Traverse",42036,2,42,36,2008,2009
"Traverse",42041,3,42,41,2008,2009
"Traverse",42042,2,42,42,2008,2009
"Traverse",58001,1,58,1,2008,2009
"Traverse",61001,12,61,1,2008,2009
"Traverse",61006,1,61,6,2008,2009
"Traverse",61041,1,61,41,2008,2009
"Traverse",111001,7,111,1,2008,2009
"Traverse",111006,1,111,6,2008,2009
"Traverse",111041,1,111,41,2008,2009
"Traverse",141143,3,141,143,2008,2009
"Traverse",142111,13,142,111,2008,2009
"Traverse",176041,54,176,41,2008,2009
"Traverse",176042,6,176,42,2008,2009
"Traverse",190001,5,190,1,2008,2009
"Traverse",195041,48,195,41,2008,2009
"Traverse",195042,2,195,42,2008,2009
"Traverse",5027,1,5,27,2008,2009
"Traverse",5039,12,5,39,2008,2009
"Traverse",5131,39,5,131,2008,2009
"Traverse",23039,8,23,39,2008,2009
"Traverse",27006,3,27,6,2008,2009
"Traverse",42131,1,42,131,2008,2009
"Traverse",59006,3,59,6,2008,2009
"Traverse",122005,52,122,5,2008,2009
"Traverse",124121,1,124,121,2008,2009
"Traverse",141001,31,141,1,2008,2009
"Traverse",142001,2,142,1,2008,2009
"Traverse",176039,2,176,39,2008,2009
"Traverse",195122,21,195,122,2008,2009
"Traverse",1039,7,1,39,2008,2009
"Traverse",5122,2,5,122,2008,2009
"Traverse",121001,1076,121,1,2008,2009
"Traverse",121124,4,121,124,2008,2009
"Traverse",122195,1,122,195,2008,2009
"Traverse",131006,1,131,6,2008,2009
"Traverse",131042,2,131,42,2008,2009
"Traverse",131123,2,131,123,2008,2009
"Traverse",131131,26,131,131,2008,2009
"Traverse",152044,1,152,44,2008,2009
"Traverse",176123,2,176,123,2008,2009
"Traverse",195123,6,195,123,2008,2009
"Traverse",1131,1,1,131,2008,2009
"Traverse",111121,1,111,121,2008,2009
"Traverse",121131,1,121,131,2008,2009
"Traverse",122131,1,122,131,2008,2009
"Traverse",131001,4,131,1,2008,2009
"Traverse",1012,1,1,12,2008,2009
"Traverse",5004,2,5,4,2008,2009
"Traverse",41044,2,41,44,2008,2009
"Traverse",1004,1,1,4,2008,2009
"Traverse",23004,1,23,4,2008,2009
"Traverse",6123,1,6,123,2008,2009
"Traverse",241001,94,241,1,2008,2009
"Traverse",121006,1,121,6,2008,2009
"Traverse",0,922,0,0,2009,2010
"Traverse",1176,3541,1,176,2009,2010
"Traverse",1195,2427,1,195,2009,2010
"Traverse",5001,432712,5,1,2009,2010
"Traverse",5005,98357,5,5,2009,2010
"Traverse",5006,9654,5,6,2009,2010
"Traverse",5021,6,5,21,2009,2010
"Traverse",5023,81224,5,23,2009,2010
"Traverse",5024,13,5,24,2009,2010
"Traverse",5028,48,5,28,2009,2010
"Traverse",5036,416,5,36,2009,2010
"Traverse",5037,9,5,37,2009,2010
"Traverse",5042,65,5,42,2009,2010
"Traverse",5044,2,5,44,2009,2010
"Traverse",5059,1,5,59,2009,2010
"Traverse",5061,35,5,61,2009,2010
"Traverse",5063,1,5,63,2009,2010
"Traverse",5111,60,5,111,2009,2010
"Traverse",5121,1348,5,121,2009,2010
"Traverse",5131,32,5,131,2009,2010
"Traverse",5141,73,5,141,2009,2010
"Traverse",5142,1,5,142,2009,2010
"Traverse",5152,1,5,152,2009,2010
"Traverse",5176,8822,5,176,2009,2010
"Traverse",5190,8,5,190,2009,2010
"Traverse",5195,3938,5,195,2009,2010
"Traverse",6176,144,6,176,2009,2010
"Traverse",6195,72,6,195,2009,2010
"Traverse",21195,4,21,195,2009,2010
"Traverse",23001,20725,23,1,2009,2010
"Traverse",23005,68957,23,5,2009,2010
"Traverse",23006,1704,23,6,2009,2010
"Traverse",23021,311,23,21,2009,2010
"Traverse",23023,2730,23,23,2009,2010
"Traverse",23024,358,23,24,2009,2010
"Traverse",23028,18,23,28,2009,2010
"Traverse",23036,536,23,36,2009,2010
"Traverse",23037,4,23,37,2009,2010
"Traverse",23042,584,23,42,2009,2010
"Traverse",23061,11,23,61,2009,2010
"Traverse",23063,1,23,63,2009,2010
"Traverse",23111,89,23,111,2009,2010
"Traverse",23121,202,23,121,2009,2010
"Traverse",23131,5,23,131,2009,2010
"Traverse",23141,4,23,141,2009,2010
"Traverse",23152,2,23,152,2009,2010
"Traverse",23176,3922,23,176,2009,2010
"Traverse",23190,2,23,190,2009,2010
"Traverse",23195,1198,23,195,2009,2010
"Traverse",24005,40,24,5,2009,2010
"Traverse",24006,12,24,6,2009,2010
"Traverse",24023,10,24,23,2009,2010
"Traverse",24176,38,24,176,2009,2010
"Traverse",24195,13,24,195,2009,2010
"Traverse",28005,12,28,5,2009,2010
"Traverse",28023,9,28,23,2009,2010
"Traverse",28024,6,28,24,2009,2010
"Traverse",28036,1,28,36,2009,2010
"Traverse",28176,2,28,176,2009,2010
"Traverse",36005,492,36,5,2009,2010
"Traverse",36006,55,36,6,2009,2010
"Traverse",36023,259,36,23,2009,2010
"Traverse",36024,23,36,24,2009,2010
"Traverse",36036,3965,36,36,2009,2010
