"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Wabasha",0,294,0,0,2008,2009
"Wabasha",1005,119565,1,5,2008,2009
"Wabasha",1023,134,1,23,2008,2009
"Wabasha",1028,3621,1,28,2008,2009
"Wabasha",1036,3673,1,36,2008,2009
"Wabasha",1037,83,1,37,2008,2009
"Wabasha",1059,5,1,59,2008,2009
"Wabasha",1061,19,1,61,2008,2009
"Wabasha",1111,224,1,111,2008,2009
"Wabasha",1121,740,1,121,2008,2009
"Wabasha",1152,8,1,152,2008,2009
"Wabasha",1176,50016,1,176,2008,2009
"Wabasha",1190,7,1,190,2008,2009
"Wabasha",1195,348,1,195,2008,2009
"Wabasha",5005,10538,5,5,2008,2009
"Wabasha",5023,31,5,23,2008,2009
"Wabasha",5024,51,5,24,2008,2009
"Wabasha",5028,1008,5,28,2008,2009
"Wabasha",5036,1449,5,36,2008,2009
"Wabasha",5037,19,5,37,2008,2009
"Wabasha",5044,2,5,44,2008,2009
"Wabasha",5059,3,5,59,2008,2009
"Wabasha",5061,17,5,61,2008,2009
"Wabasha",5111,52,5,111,2008,2009
"Wabasha",5121,193,5,121,2008,2009
"Wabasha",5141,51,5,141,2008,2009
"Wabasha",5152,3,5,152,2008,2009
"Wabasha",5176,22701,5,176,2008,2009
"Wabasha",5190,2,5,190,2008,2009
"Wabasha",5195,153,5,195,2008,2009
"Wabasha",21005,6,21,5,2008,2009
"Wabasha",21036,283,21,36,2008,2009
"Wabasha",21176,122,21,176,2008,2009
"Wabasha",23005,176,23,5,2008,2009
"Wabasha",23023,13,23,23,2008,2009
"Wabasha",23024,5,23,24,2008,2009
"Wabasha",23028,15,23,28,2008,2009
"Wabasha",23036,107,23,36,2008,2009
"Wabasha",23037,5,23,37,2008,2009
"Wabasha",23111,4,23,111,2008,2009
"Wabasha",23131,9,23,131,2008,2009
"Wabasha",23141,1,23,141,2008,2009
"Wabasha",23152,2,23,152,2008,2009
"Wabasha",23176,594,23,176,2008,2009
"Wabasha",23195,1,23,195,2008,2009
"Wabasha",24023,1,24,23,2008,2009
"Wabasha",24028,3,24,28,2008,2009
"Wabasha",24176,20,24,176,2008,2009
"Wabasha",24195,3,24,195,2008,2009
"Wabasha",27176,5,27,176,2008,2009
"Wabasha",28005,18,28,5,2008,2009
"Wabasha",28023,2,28,23,2008,2009
"Wabasha",28028,19,28,28,2008,2009
"Wabasha",28036,1213,28,36,2008,2009
"Wabasha",28037,7,28,37,2008,2009
"Wabasha",28141,1,28,141,2008,2009
"Wabasha",28176,798,28,176,2008,2009
"Wabasha",28195,5,28,195,2008,2009
"Wabasha",36005,710,36,5,2008,2009
"Wabasha",36023,1,36,23,2008,2009
"Wabasha",36028,54,36,28,2008,2009
"Wabasha",36036,15385,36,36,2008,2009
"Wabasha",36037,149,36,37,2008,2009
"Wabasha",36044,1,36,44,2008,2009
"Wabasha",36131,4,36,131,2008,2009
"Wabasha",36141,65,36,141,2008,2009
"Wabasha",36176,20451,36,176,2008,2009
"Wabasha",36190,5,36,190,2008,2009
"Wabasha",36195,28,36,195,2008,2009
"Wabasha",37005,526,37,5,2008,2009
"Wabasha",37023,421,37,23,2008,2009
"Wabasha",37024,121,37,24,2008,2009
"Wabasha",37028,31,37,28,2008,2009
"Wabasha",37036,181,37,36,2008,2009
"Wabasha",37037,21,37,37,2008,2009
"Wabasha",37061,12,37,61,2008,2009
"Wabasha",37111,1,37,111,2008,2009
"Wabasha",37141,2,37,141,2008,2009
"Wabasha",37152,1,37,152,2008,2009
"Wabasha",37176,2139,37,176,2008,2009
"Wabasha",37195,7,37,195,2008,2009
"Wabasha",42005,64,42,5,2008,2009
"Wabasha",42176,54,42,176,2008,2009
"Wabasha",59005,4,59,5,2008,2009
"Wabasha",59036,2,59,36,2008,2009
"Wabasha",59111,1,59,111,2008,2009
"Wabasha",59176,10,59,176,2008,2009
"Wabasha",61036,5,61,36,2008,2009
"Wabasha",61141,7,61,141,2008,2009
"Wabasha",61176,20,61,176,2008,2009
"Wabasha",61195,1,61,195,2008,2009
"Wabasha",111005,78,111,5,2008,2009
"Wabasha",111023,4,111,23,2008,2009
"Wabasha",111028,6,111,28,2008,2009
"Wabasha",111037,3,111,37,2008,2009
"Wabasha",111111,69570,111,111,2008,2009
"Wabasha",111141,431,111,141,2008,2009
"Wabasha",111142,8,111,142,2008,2009
"Wabasha",111152,4,111,152,2008,2009
"Wabasha",111176,982,111,176,2008,2009
"Wabasha",111190,1068,111,190,2008,2009
"Wabasha",111195,2005,111,195,2008,2009
"Wabasha",121005,192,121,5,2008,2009
"Wabasha",121036,33,121,36,2008,2009
"Wabasha",121121,51579,121,121,2008,2009
"Wabasha",121122,2036,121,122,2008,2009
"Wabasha",121123,71,121,123,2008,2009
"Wabasha",121176,209,121,176,2008,2009
"Wabasha",121195,2,121,195,2008,2009
"Wabasha",122121,1266,122,121,2008,2009
"Wabasha",122122,18144,122,122,2008,2009
"Wabasha",122123,297,122,123,2008,2009
"Wabasha",122176,5,122,176,2008,2009
"Wabasha",123005,17,123,5,2008,2009
"Wabasha",123023,3,123,23,2008,2009
"Wabasha",123036,1,123,36,2008,2009
"Wabasha",123121,42,123,121,2008,2009
"Wabasha",123122,140,123,122,2008,2009
"Wabasha",123123,3109,123,123,2008,2009
"Wabasha",123124,22,123,124,2008,2009
"Wabasha",123176,72,123,176,2008,2009
"Wabasha",123195,2,123,195,2008,2009
"Wabasha",124122,21,124,122,2008,2009
"Wabasha",124123,79,124,123,2008,2009
"Wabasha",124124,1002,124,124,2008,2009
"Wabasha",131005,32,131,5,2008,2009
"Wabasha",131111,5,131,111,2008,2009
"Wabasha",131176,97,131,176,2008,2009
"Wabasha",131190,1,131,190,2008,2009
"Wabasha",131195,1,131,195,2008,2009
"Wabasha",141005,91,141,5,2008,2009
"Wabasha",141023,1,141,23,2008,2009
"Wabasha",141028,1,141,28,2008,2009
"Wabasha",141036,64,141,36,2008,2009
"Wabasha",141037,7,141,37,2008,2009
"Wabasha",141061,5,141,61,2008,2009
