"xCoords","yCoords","width","colorToUse"
1,6.4,8.64786143674691,"#ffd300"
1.2,6.4,8.64786143674691,"#ffd300"
1.4,6.4,8.64786143674691,"#ffd300"
2,6.4,8.64786143674691,"#ffd300"
1.8,6.4,8.64786143674691,"#ffd300"
1.6,6.4,8.64786143674691,"#ffd300"
1,6.4,0.00113925060095469,"#e41a1c"
1.2,5.9,0.00113925060095469,"#e41a1c"
1.4,5.9,0.00113925060095469,"#e41a1c"
2,1.9,0.00113925060095469,"#ffd300"
1.8,2.4,0.00113925060095469,"#ffd300"
1.6,2.4,0.00113925060095469,"#ffd300"
1,6.4,0.23247041429481,"#f781bf"
1.2,6.2,0.23247041429481,"#f781bf"
1.4,6.2,0.23247041429481,"#f781bf"
2,4.6,0.23247041429481,"#ffd300"
1.8,4.8,0.23247041429481,"#ffd300"
1.6,4.8,0.23247041429481,"#ffd300"
1,6.4,3.83307193861211,"#AAAAAA"
1.2,5.8,3.83307193861211,"#AAAAAA"
1.4,5.8,3.83307193861211,"#AAAAAA"
2,1,3.83307193861211,"#ffd300"
1.8,1.6,3.83307193861211,"#ffd300"
1.6,1.6,3.83307193861211,"#ffd300"
1,6.4,7.56747211684154,"#4daf4a"
1.2,6.3,7.56747211684154,"#4daf4a"
1.4,6.3,7.56747211684154,"#4daf4a"
2,5.5,7.56747211684154,"#ffd300"
1.8,5.6,7.56747211684154,"#ffd300"
1.6,5.6,7.56747211684154,"#ffd300"
1,6.4,0.00848108780710715,"#a65628"
1.2,6.1,0.00848108780710715,"#a65628"
1.4,6.1,0.00848108780710715,"#a65628"
2,3.7,0.00848108780710715,"#ffd300"
1.8,4,0.00848108780710715,"#ffd300"
1.6,4,0.00848108780710715,"#ffd300"
1,1.9,0.00221520950185635,"#ffd300"
1.2,2.4,0.00221520950185635,"#ffd300"
1.4,2.4,0.00221520950185635,"#ffd300"
2,6.4,0.00221520950185635,"#e41a1c"
1.8,5.9,0.00221520950185635,"#e41a1c"
1.6,5.9,0.00221520950185635,"#e41a1c"
1,1.9,0.000126583400106077,"#f781bf"
1.2,2.2,0.000126583400106077,"#f781bf"
1.4,2.2,0.000126583400106077,"#f781bf"
2,4.6,0.000126583400106077,"#e41a1c"
1.8,4.3,0.000126583400106077,"#e41a1c"
1.6,4.3,0.000126583400106077,"#e41a1c"
1,1.9,0.00683550360572815,"#AAAAAA"
1.2,1.8,0.00683550360572815,"#AAAAAA"
1.4,1.8,0.00683550360572815,"#AAAAAA"
2,1,0.00683550360572815,"#e41a1c"
1.8,1.1,0.00683550360572815,"#e41a1c"
1.6,1.1,0.00683550360572815,"#e41a1c"
1,1.9,0.00405066880339446,"#4daf4a"
1.2,2.3,0.00405066880339446,"#4daf4a"
1.4,2.3,0.00405066880339446,"#4daf4a"
2,5.5,0.00405066880339446,"#e41a1c"
1.8,5.1,0.00405066880339446,"#e41a1c"
1.6,5.1,0.00405066880339446,"#e41a1c"
1,4.6,0.634879043232029,"#ffd300"
1.2,4.8,0.634879043232029,"#ffd300"
1.4,4.8,0.634879043232029,"#ffd300"
2,6.4,0.634879043232029,"#f781bf"
1.8,6.2,0.634879043232029,"#f781bf"
1.6,6.2,0.634879043232029,"#f781bf"
1,4.6,0.000126583400106077,"#e41a1c"
1.2,4.3,0.000126583400106077,"#e41a1c"
1.4,4.3,0.000126583400106077,"#e41a1c"
2,1.9,0.000126583400106077,"#f781bf"
1.8,2.2,0.000126583400106077,"#f781bf"
1.6,2.2,0.000126583400106077,"#f781bf"
1,4.6,1.14165568555671,"#f781bf"
1.2,4.6,1.14165568555671,"#f781bf"
1.4,4.6,1.14165568555671,"#f781bf"
2,4.6,1.14165568555671,"#f781bf"
1.8,4.6,1.14165568555671,"#f781bf"
1.6,4.6,1.14165568555671,"#f781bf"
1,4.6,1.33880933122192,"#AAAAAA"
1.2,4.2,1.33880933122192,"#AAAAAA"
1.4,4.2,1.33880933122192,"#AAAAAA"
2,1,1.33880933122192,"#f781bf"
1.8,1.4,1.33880933122192,"#f781bf"
1.6,1.4,1.33880933122192,"#f781bf"
1,4.6,0.0782285412655555,"#4daf4a"
1.2,4.7,0.0782285412655555,"#4daf4a"
1.4,4.7,0.0782285412655555,"#4daf4a"
2,5.5,0.0782285412655555,"#f781bf"
1.8,5.4,0.0782285412655555,"#f781bf"
1.6,5.4,0.0782285412655555,"#f781bf"
1,4.6,0.0267090974223822,"#a65628"
1.2,4.5,0.0267090974223822,"#a65628"
1.4,4.5,0.0267090974223822,"#a65628"
2,3.7,0.0267090974223822,"#f781bf"
1.8,3.8,0.0267090974223822,"#f781bf"
1.6,3.8,0.0267090974223822,"#f781bf"
1,1,4.03636487918247,"#ffd300"
1.2,1.6,4.03636487918247,"#ffd300"
1.4,1.6,4.03636487918247,"#ffd300"
2,6.4,4.03636487918247,"#AAAAAA"
1.8,5.8,4.03636487918247,"#AAAAAA"
1.6,5.8,4.03636487918247,"#AAAAAA"
1,1,0.00620258660519777,"#e41a1c"
1.2,1.1,0.00620258660519777,"#e41a1c"
1.4,1.1,0.00620258660519777,"#e41a1c"
2,1.9,0.00620258660519777,"#AAAAAA"
1.8,1.8,0.00620258660519777,"#AAAAAA"
1.6,1.8,0.00620258660519777,"#AAAAAA"
1,1,1.71317973703564,"#f781bf"
1.2,1.4,1.71317973703564,"#f781bf"
1.4,1.4,1.71317973703564,"#f781bf"
2,4.6,1.71317973703564,"#AAAAAA"
1.8,4.2,1.71317973703564,"#AAAAAA"
1.6,4.2,1.71317973703564,"#AAAAAA"
1,1,59.4435646898137,"#AAAAAA"
1.2,1,59.4435646898137,"#AAAAAA"
1.4,1,59.4435646898137,"#AAAAAA"
2,1,59.4435646898137,"#AAAAAA"
1.8,1,59.4435646898137,"#AAAAAA"
1.6,1,59.4435646898137,"#AAAAAA"
1,1,1.26773275206236,"#4daf4a"
1.2,1.5,1.26773275206236,"#4daf4a"
1.4,1.5,1.26773275206236,"#4daf4a"
2,5.5,1.26773275206236,"#AAAAAA"
1.8,5,1.26773275206236,"#AAAAAA"
1.6,5,1.26773275206236,"#AAAAAA"
1,1,0.0331648508277921,"#a65628"
1.2,1.3,0.0331648508277921,"#a65628"
