"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Wadena",1005,23394,1,5,2008,2009
"Wadena",1023,3711,1,23,2008,2009
"Wadena",1028,2279,1,28,2008,2009
"Wadena",1036,636,1,36,2008,2009
"Wadena",1037,101,1,37,2008,2009
"Wadena",1043,1225,1,43,2008,2009
"Wadena",1044,1,1,44,2008,2009
"Wadena",1061,44,1,61,2008,2009
"Wadena",1111,8,1,111,2008,2009
"Wadena",1121,11,1,121,2008,2009
"Wadena",1152,46,1,152,2008,2009
"Wadena",1176,7100,1,176,2008,2009
"Wadena",1190,29,1,190,2008,2009
"Wadena",1195,373,1,195,2008,2009
"Wadena",5005,6056,5,5,2008,2009
"Wadena",5023,7193,5,23,2008,2009
"Wadena",5024,24,5,24,2008,2009
"Wadena",5028,1565,5,28,2008,2009
"Wadena",5036,535,5,36,2008,2009
"Wadena",5037,427,5,37,2008,2009
"Wadena",5043,4360,5,43,2008,2009
"Wadena",5058,2,5,58,2008,2009
"Wadena",5059,2,5,59,2008,2009
"Wadena",5061,133,5,61,2008,2009
"Wadena",5111,19,5,111,2008,2009
"Wadena",5121,15,5,121,2008,2009
"Wadena",5141,129,5,141,2008,2009
"Wadena",5142,14,5,142,2008,2009
"Wadena",5152,18,5,152,2008,2009
"Wadena",5176,5423,5,176,2008,2009
"Wadena",5190,27,5,190,2008,2009
"Wadena",5195,347,5,195,2008,2009
"Wadena",6005,759,6,5,2008,2009
"Wadena",6023,1208,6,23,2008,2009
"Wadena",6061,43,6,61,2008,2009
"Wadena",6131,26,6,131,2008,2009
"Wadena",6176,502,6,176,2008,2009
"Wadena",6190,4,6,190,2008,2009
"Wadena",6195,17,6,195,2008,2009
"Wadena",21005,292,21,5,2008,2009
"Wadena",21023,57,21,23,2008,2009
"Wadena",21028,38,21,28,2008,2009
"Wadena",21036,15,21,36,2008,2009
"Wadena",21037,6,21,37,2008,2009
"Wadena",21061,1,21,61,2008,2009
"Wadena",21141,1,21,141,2008,2009
"Wadena",21176,138,21,176,2008,2009
"Wadena",21195,5,21,195,2008,2009
"Wadena",23005,2551,23,5,2008,2009
"Wadena",23023,1083,23,23,2008,2009
"Wadena",23024,50,23,24,2008,2009
"Wadena",23028,795,23,28,2008,2009
"Wadena",23036,639,23,36,2008,2009
"Wadena",23037,194,23,37,2008,2009
"Wadena",23043,571,23,43,2008,2009
"Wadena",23044,1,23,44,2008,2009
"Wadena",23058,4,23,58,2008,2009
"Wadena",23061,46,23,61,2008,2009
"Wadena",23111,2,23,111,2008,2009
"Wadena",23121,9,23,121,2008,2009
"Wadena",23131,36,23,131,2008,2009
"Wadena",23141,60,23,141,2008,2009
"Wadena",23142,8,23,142,2008,2009
"Wadena",23152,13,23,152,2008,2009
"Wadena",23176,3235,23,176,2008,2009
"Wadena",23190,6,23,190,2008,2009
"Wadena",23195,270,23,195,2008,2009
"Wadena",24005,15,24,5,2008,2009
"Wadena",24023,30,24,23,2008,2009
"Wadena",24028,3,24,28,2008,2009
"Wadena",24036,10,24,36,2008,2009
"Wadena",24037,10,24,37,2008,2009
"Wadena",24058,1,24,58,2008,2009
"Wadena",24061,4,24,61,2008,2009
"Wadena",24111,1,24,111,2008,2009
"Wadena",24131,11,24,131,2008,2009
"Wadena",24176,111,24,176,2008,2009
"Wadena",24195,18,24,195,2008,2009
"Wadena",27176,803,27,176,2008,2009
"Wadena",27195,24,27,195,2008,2009
"Wadena",28005,1597,28,5,2008,2009
"Wadena",28023,952,28,23,2008,2009
"Wadena",28028,558,28,28,2008,2009
"Wadena",28036,1688,28,36,2008,2009
"Wadena",28037,323,28,37,2008,2009
"Wadena",28058,3,28,58,2008,2009
"Wadena",28061,61,28,61,2008,2009
"Wadena",28141,316,28,141,2008,2009
"Wadena",28176,3581,28,176,2008,2009
