"xCoords","yCoords","width","colorToUse"
1,6.4,1.6844542666253,"#ffd300"
1.2,6.4,1.6844542666253,"#ffd300"
1.4,6.4,1.6844542666253,"#ffd300"
2,6.4,1.6844542666253,"#ffd300"
1.8,6.4,1.6844542666253,"#ffd300"
1.6,6.4,1.6844542666253,"#ffd300"
1,6.4,0.324366506647562,"#e41a1c"
1.2,5.9,0.324366506647562,"#e41a1c"
1.4,5.9,0.324366506647562,"#e41a1c"
2,1.9,0.324366506647562,"#ffd300"
1.8,2.4,0.324366506647562,"#ffd300"
1.6,2.4,0.324366506647562,"#ffd300"
1,6.4,0.0406817389524452,"#f781bf"
1.2,6.2,0.0406817389524452,"#f781bf"
1.4,6.2,0.0406817389524452,"#f781bf"
2,4.6,0.0406817389524452,"#ffd300"
1.8,4.8,0.0406817389524452,"#ffd300"
1.6,4.8,0.0406817389524452,"#ffd300"
1,6.4,0.811907724093376,"#AAAAAA"
1.2,5.8,0.811907724093376,"#AAAAAA"
1.4,5.8,0.811907724093376,"#AAAAAA"
2,1,0.811907724093376,"#ffd300"
1.8,1.6,0.811907724093376,"#ffd300"
1.6,1.6,0.811907724093376,"#ffd300"
1,6.4,1.49639717146777,"#4daf4a"
1.2,6.3,1.49639717146777,"#4daf4a"
1.4,6.3,1.49639717146777,"#4daf4a"
2,5.5,1.49639717146777,"#ffd300"
1.8,5.6,1.49639717146777,"#ffd300"
1.6,5.6,1.49639717146777,"#ffd300"
1,6.4,0.237374108887617,"#a65628"
1.2,6.1,0.237374108887617,"#a65628"
1.4,6.1,0.237374108887617,"#a65628"
2,3.7,0.237374108887617,"#ffd300"
1.8,4,0.237374108887617,"#ffd300"
1.6,4,0.237374108887617,"#ffd300"
1,6.4,0.000575684985176112,"#377eb8"
1.2,6,0.000575684985176112,"#377eb8"
1.4,6,0.000575684985176112,"#377eb8"
2,2.8,0.000575684985176112,"#ffd300"
1.8,3.2,0.000575684985176112,"#ffd300"
1.6,3.2,0.000575684985176112,"#ffd300"
1,1.9,0.0730480281190133,"#ffd300"
1.2,2.4,0.0730480281190133,"#ffd300"
1.4,2.4,0.0730480281190133,"#ffd300"
2,6.4,0.0730480281190133,"#e41a1c"
