"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Waseca",1005,355970,1,5,2008,2009
"Waseca",1023,407,1,23,2008,2009
"Waseca",1028,210,1,28,2008,2009
"Waseca",1036,100,1,36,2008,2009
"Waseca",1037,8,1,37,2008,2009
"Waseca",1059,1,1,59,2008,2009
"Waseca",1061,2,1,61,2008,2009
"Waseca",1111,154,1,111,2008,2009
"Waseca",1121,1371,1,121,2008,2009
"Waseca",1152,4,1,152,2008,2009
"Waseca",1176,11771,1,176,2008,2009
"Waseca",1190,59,1,190,2008,2009
"Waseca",1195,1943,1,195,2008,2009
"Waseca",5005,33261,5,5,2008,2009
"Waseca",5023,461,5,23,2008,2009
"Waseca",5024,43,5,24,2008,2009
"Waseca",5028,234,5,28,2008,2009
"Waseca",5036,172,5,36,2008,2009
"Waseca",5037,14,5,37,2008,2009
"Waseca",5061,2,5,61,2008,2009
"Waseca",5111,121,5,111,2008,2009
"Waseca",5121,521,5,121,2008,2009
"Waseca",5141,208,5,141,2008,2009
"Waseca",5142,3,5,142,2008,2009
"Waseca",5152,2,5,152,2008,2009
"Waseca",5176,7230,5,176,2008,2009
"Waseca",5190,11,5,190,2008,2009
"Waseca",5195,597,5,195,2008,2009
"Waseca",21005,4,21,5,2008,2009
"Waseca",21176,6,21,176,2008,2009
"Waseca",23005,322,23,5,2008,2009
"Waseca",23023,15,23,23,2008,2009
"Waseca",23024,7,23,24,2008,2009
"Waseca",23036,104,23,36,2008,2009
"Waseca",23111,1,23,111,2008,2009
"Waseca",23176,915,23,176,2008,2009
"Waseca",23195,10,23,195,2008,2009
"Waseca",24131,2,24,131,2008,2009
"Waseca",24176,6,24,176,2008,2009
"Waseca",28005,124,28,5,2008,2009
"Waseca",28023,6,28,23,2008,2009
"Waseca",28036,70,28,36,2008,2009
"Waseca",28037,2,28,37,2008,2009
"Waseca",28141,2,28,141,2008,2009
"Waseca",28176,274,28,176,2008,2009
"Waseca",28195,4,28,195,2008,2009
"Waseca",36005,245,36,5,2008,2009
"Waseca",36023,7,36,23,2008,2009
"Waseca",36028,13,36,28,2008,2009
"Waseca",36036,807,36,36,2008,2009
"Waseca",36037,17,36,37,2008,2009
"Waseca",36059,2,36,59,2008,2009
"Waseca",36131,2,36,131,2008,2009
"Waseca",36141,14,36,141,2008,2009
"Waseca",36152,2,36,152,2008,2009
"Waseca",36176,3668,36,176,2008,2009
"Waseca",36195,69,36,195,2008,2009
"Waseca",37005,14,37,5,2008,2009
"Waseca",37023,1,37,23,2008,2009
"Waseca",37036,12,37,36,2008,2009
"Waseca",37111,1,37,111,2008,2009
"Waseca",37176,173,37,176,2008,2009
"Waseca",37195,13,37,195,2008,2009
"Waseca",42005,5,42,5,2008,2009
"Waseca",42176,1,42,176,2008,2009
"Waseca",43176,9,43,176,2008,2009
"Waseca",43195,2,43,195,2008,2009
"Waseca",59005,6,59,5,2008,2009
"Waseca",59036,3,59,36,2008,2009
"Waseca",59111,1,59,111,2008,2009
"Waseca",59141,9,59,141,2008,2009
"Waseca",59176,43,59,176,2008,2009
"Waseca",59195,1,59,195,2008,2009
"Waseca",61005,2,61,5,2008,2009
"Waseca",61141,4,61,141,2008,2009
"Waseca",61176,16,61,176,2008,2009
"Waseca",61195,2,61,195,2008,2009
"Waseca",111005,103,111,5,2008,2009
"Waseca",111023,26,111,23,2008,2009
"Waseca",111028,3,111,28,2008,2009
"Waseca",111111,24757,111,111,2008,2009
"Waseca",111141,118,111,141,2008,2009
"Waseca",111152,2,111,152,2008,2009
"Waseca",111176,201,111,176,2008,2009
"Waseca",111190,54,111,190,2008,2009
"Waseca",111195,982,111,195,2008,2009
"Waseca",121005,281,121,5,2008,2009
"Waseca",121121,63574,121,121,2008,2009
"Waseca",121122,1491,121,122,2008,2009
"Waseca",121123,56,121,123,2008,2009
"Waseca",121176,26,121,176,2008,2009
"Waseca",121195,1,121,195,2008,2009
"Waseca",122121,1164,122,121,2008,2009
"Waseca",122122,13585,122,122,2008,2009
"Waseca",122123,655,122,123,2008,2009
"Waseca",122176,25,122,176,2008,2009
"Waseca",123001,1,123,1,2008,2009
"Waseca",123005,4,123,5,2008,2009
"Waseca",123023,2,123,23,2008,2009
"Waseca",123121,158,123,121,2008,2009
"Waseca",123122,317,123,122,2008,2009
"Waseca",123123,3645,123,123,2008,2009
"Waseca",123124,127,123,124,2008,2009
"Waseca",123176,48,123,176,2008,2009
"Waseca",124023,4,124,23,2008,2009
"Waseca",124122,19,124,122,2008,2009
"Waseca",124123,104,124,123,2008,2009
"Waseca",124124,1313,124,124,2008,2009
"Waseca",131005,81,131,5,2008,2009
"Waseca",131028,1,131,28,2008,2009
"Waseca",131176,89,131,176,2008,2009
"Waseca",131195,2,131,195,2008,2009
"Waseca",141005,160,141,5,2008,2009
"Waseca",141024,4,141,24,2008,2009
"Waseca",141036,2,141,36,2008,2009
"Waseca",141059,5,141,59,2008,2009
"Waseca",141111,314,141,111,2008,2009
"Waseca",141121,3,141,121,2008,2009
"Waseca",141141,27301,141,141,2008,2009
"Waseca",141142,46,141,142,2008,2009
"Waseca",141152,300,141,152,2008,2009
"Waseca",141176,1559,141,176,2008,2009
"Waseca",141190,5485,141,190,2008,2009
"Waseca",141195,485,141,195,2008,2009
"Waseca",142141,15,142,141,2008,2009
"Waseca",142176,2,142,176,2008,2009
"Waseca",152005,1,152,5,2008,2009
"Waseca",152141,334,152,141,2008,2009
"Waseca",152152,29,152,152,2008,2009
"Waseca",152176,67,152,176,2008,2009
"Waseca",152190,55,152,190,2008,2009
"Waseca",152195,8,152,195,2008,2009
"Waseca",176001,9925,176,1,2008,2009
"Waseca",176005,8675,176,5,2008,2009
"Waseca",176021,3,176,21,2008,2009
"Waseca",176023,88,176,23,2008,2009
"Waseca",176024,42,176,24,2008,2009
"Waseca",176028,44,176,28,2008,2009
"Waseca",176036,1198,176,36,2008,2009
"Waseca",176037,64,176,37,2008,2009
"Waseca",176053,246,176,53,2008,2009
"Waseca",176059,6,176,59,2008,2009
"Waseca",176061,3,176,61,2008,2009
"Waseca",176111,157,176,111,2008,2009
"Waseca",176121,10,176,121,2008,2009
"Waseca",176131,33,176,131,2008,2009
"Waseca",176141,2805,176,141,2008,2009
"Waseca",176142,13,176,142,2008,2009
"Waseca",176152,172,176,152,2008,2009
"Waseca",176176,88178,176,176,2008,2009
"Waseca",176190,132,176,190,2008,2009
"Waseca",176195,8075,176,195,2008,2009
"Waseca",190005,11,190,5,2008,2009
"Waseca",190036,1,190,36,2008,2009
"Waseca",190111,20,190,111,2008,2009
"Waseca",190141,8237,190,141,2008,2009
"Waseca",190142,13,190,142,2008,2009
"Waseca",190152,51,190,152,2008,2009
"Waseca",190176,549,190,176,2008,2009
"Waseca",190190,5960,190,190,2008,2009
"Waseca",190195,164,190,195,2008,2009
"Waseca",195001,1240,195,1,2008,2009
"Waseca",195005,671,195,5,2008,2009
"Waseca",195021,2,195,21,2008,2009
"Waseca",195023,8,195,23,2008,2009
"Waseca",195024,3,195,24,2008,2009
"Waseca",195028,12,195,28,2008,2009
"Waseca",195036,33,195,36,2008,2009
"Waseca",195037,6,195,37,2008,2009
"Waseca",195059,1,195,59,2008,2009
"Waseca",195061,3,195,61,2008,2009
"Waseca",195111,567,195,111,2008,2009
"Waseca",195131,10,195,131,2008,2009
"Waseca",195141,434,195,141,2008,2009
"Waseca",195152,21,195,152,2008,2009
"Waseca",195176,8094,195,176,2008,2009
"Waseca",195190,103,195,190,2008,2009
"Waseca",195195,11829,195,195,2008,2009
"Waseca",1001,151196,1,1,2008,2009
"Waseca",1021,35,1,21,2008,2009
"Waseca",1024,16,1,24,2008,2009
"Waseca",1042,1,1,42,2008,2009
"Waseca",1141,275,1,141,2008,2009
"Waseca",5001,331674,5,1,2008,2009
"Waseca",5021,11,5,21,2008,2009
"Waseca",5042,2,5,42,2008,2009
"Waseca",6001,1,6,1,2008,2009
"Waseca",23001,1058,23,1,2008,2009
"Waseca",23021,2,23,21,2008,2009
"Waseca",24001,48,24,1,2008,2009
"Waseca",28001,97,28,1,2008,2009
"Waseca",28024,2,28,24,2008,2009
"Waseca",36001,1112,36,1,2008,2009
"Waseca",36021,3,36,21,2008,2009
"Waseca",36042,1,36,42,2008,2009
"Waseca",36111,8,36,111,2008,2009
"Waseca",37001,13,37,1,2008,2009
"Waseca",42001,1,42,1,2008,2009
"Waseca",43005,1,43,5,2008,2009
"Waseca",59001,1,59,1,2008,2009
"Waseca",59121,2,59,121,2008,2009
"Waseca",61001,2,61,1,2008,2009
"Waseca",111001,835,111,1,2008,2009
"Waseca",111024,1,111,24,2008,2009
"Waseca",122124,4,122,124,2008,2009
"Waseca",131036,1,131,36,2008,2009
"Waseca",142111,1,142,111,2008,2009
"Waseca",152001,5,152,1,2008,2009
"Waseca",190001,8,190,1,2008,2009
"Waseca",1122,38,1,122,2008,2009
"Waseca",1142,1,1,142,2008,2009
"Waseca",5027,5,5,27,2008,2009
"Waseca",5131,28,5,131,2008,2009
"Waseca",42131,2,42,131,2008,2009
"Waseca",61131,3,61,131,2008,2009
"Waseca",122005,5,122,5,2008,2009
"Waseca",123111,1,123,111,2008,2009
"Waseca",123131,2,123,131,2008,2009
"Waseca",131024,3,131,24,2008,2009
"Waseca",141001,107,141,1,2008,2009
"Waseca",1123,14,1,123,2008,2009
"Waseca",5122,6,5,122,2008,2009
"Waseca",28131,1,28,131,2008,2009
"Waseca",36053,15,36,53,2008,2009
"Waseca",111131,1,111,131,2008,2009
"Waseca",121001,671,121,1,2008,2009
"Waseca",121124,5,121,124,2008,2009
"Waseca",122195,1,122,195,2008,2009
"Waseca",131131,75,131,131,2008,2009
"Waseca",141122,3,141,122,2008,2009
"Waseca",176122,8,176,122,2008,2009
"Waseca",195053,9,195,53,2008,2009
"Waseca",1131,6,1,131,2008,2009
"Waseca",12131,6,12,131,2008,2009
"Waseca",12176,148,12,176,2008,2009
"Waseca",111012,6,111,12,2008,2009
"Waseca",121131,2,121,131,2008,2009
"Waseca",122131,2,122,131,2008,2009
"Waseca",122141,3,122,141,2008,2009
"Waseca",124131,2,124,131,2008,2009
"Waseca",131001,14,131,1,2008,2009
"Waseca",142121,8,142,121,2008,2009
"Waseca",176004,1,176,4,2008,2009
"Waseca",176012,92,176,12,2008,2009
"Waseca",53005,691,53,5,2008,2009
"Waseca",53023,8,53,23,2008,2009
"Waseca",53176,365,53,176,2008,2009
"Waseca",53195,42,53,195,2008,2009
"Waseca",1012,2367,1,12,2008,2009
"Waseca",1027,4,1,27,2008,2009
"Waseca",5012,4517,5,12,2008,2009
"Waseca",5053,1149,5,53,2008,2009
"Waseca",28053,3,28,53,2008,2009
"Waseca",37053,1,37,53,2008,2009
"Waseca",53131,12,53,131,2008,2009
"Waseca",176124,1,176,124,2008,2009
"Waseca",195012,6,195,12,2008,2009
"Waseca",23053,25,23,53,2008,2009
"Waseca",42053,3,42,53,2008,2009
"Waseca",1004,1,1,4,2008,2009
"Waseca",53028,12,53,28,2008,2009
"Waseca",23012,5,23,12,2008,2009
"Waseca",1053,3293,1,53,2008,2009
"Waseca",53001,2506,53,1,2008,2009
"Waseca",53037,1,53,37,2008,2009
"Waseca",131053,10,131,53,2008,2009
"Waseca",36012,4,36,12,2008,2009
"Waseca",53024,3,53,24,2008,2009
"Waseca",111053,20,111,53,2008,2009
"Waseca",123024,2,123,24,2008,2009
"Waseca",12001,7110,12,1,2008,2009
"Waseca",12005,3663,12,5,2008,2009
"Waseca",12023,1,12,23,2008,2009
"Waseca",27012,1,27,12,2008,2009
"Waseca",28012,3,28,12,2008,2009
"Waseca",21053,1,21,53,2008,2009
"Waseca",12053,414,12,53,2008,2009
"Waseca",123053,1,123,53,2008,2009
"Waseca",12028,5,12,28,2008,2009
"Waseca",12195,18,12,195,2008,2009
"Waseca",54176,3,54,176,2008,2009
"Waseca",12036,6,12,36,2008,2009
"Waseca",53021,1,53,21,2008,2009
"Waseca",53042,1,53,42,2008,2009
"Waseca",53053,285,53,53,2008,2009
"Waseca",12024,3,12,24,2008,2009
"Waseca",24053,3,24,53,2008,2009
"Waseca",12012,1523,12,12,2008,2009
"Waseca",53111,7,53,111,2008,2009
"Waseca",53012,172,53,12,2008,2009
"Waseca",12123,1,12,123,2008,2009
"Waseca",131012,3,131,12,2008,2009
"Waseca",59122,1,59,122,2008,2009
"Waseca",1047,1,1,47,2008,2009
"Waseca",54005,12,54,5,2008,2009
"Waseca",141012,1,141,12,2008,2009
"Waseca",54001,4,54,1,2008,2009
"Waseca",54012,2,54,12,2008,2009
"Waseca",54053,4,54,53,2008,2009
"Waseca",206005,1,206,5,2008,2009
"Waseca",1176,11727,1,176,2009,2010
"Waseca",1195,1496,1,195,2009,2010
"Waseca",5001,340970,5,1,2009,2010
"Waseca",5005,35611,5,5,2009,2010
"Waseca",5021,4,5,21,2009,2010
"Waseca",5023,584,5,23,2009,2010
"Waseca",5028,152,5,28,2009,2010
"Waseca",5036,250,5,36,2009,2010
"Waseca",5037,45,5,37,2009,2010
"Waseca",5042,134,5,42,2009,2010
"Waseca",5044,7,5,44,2009,2010
"Waseca",5059,27,5,59,2009,2010
"Waseca",5061,2,5,61,2009,2010
"Waseca",5063,2,5,63,2009,2010
"Waseca",5111,52,5,111,2009,2010
"Waseca",5121,4842,5,121,2009,2010
"Waseca",5131,127,5,131,2009,2010
"Waseca",5141,122,5,141,2009,2010
"Waseca",5142,1,5,142,2009,2010
"Waseca",5152,3,5,152,2009,2010
"Waseca",5176,11244,5,176,2009,2010
"Waseca",5190,11,5,190,2009,2010
"Waseca",5195,926,5,195,2009,2010
"Waseca",21195,2,21,195,2009,2010
"Waseca",23001,332,23,1,2009,2010
"Waseca",23005,389,23,5,2009,2010
"Waseca",23023,2,23,23,2009,2010
"Waseca",23028,4,23,28,2009,2010
"Waseca",23036,48,23,36,2009,2010
"Waseca",23037,2,23,37,2009,2010
"Waseca",23111,24,23,111,2009,2010
"Waseca",23121,20,23,121,2009,2010
"Waseca",23176,188,23,176,2009,2010
"Waseca",23195,15,23,195,2009,2010
"Waseca",24005,4,24,5,2009,2010
"Waseca",24141,2,24,141,2009,2010
"Waseca",24176,59,24,176,2009,2010
"Waseca",24190,1,24,190,2009,2010
"Waseca",24195,5,24,195,2009,2010
"Waseca",28005,26,28,5,2009,2010
"Waseca",28036,130,28,36,2009,2010
"Waseca",28037,6,28,37,2009,2010
"Waseca",28111,1,28,111,2009,2010
"Waseca",28176,123,28,176,2009,2010
"Waseca",28195,16,28,195,2009,2010
"Waseca",36005,55,36,5,2009,2010
"Waseca",36023,4,36,23,2009,2010
"Waseca",36024,2,36,24,2009,2010
"Waseca",36036,763,36,36,2009,2010
"Waseca",36037,25,36,37,2009,2010
"Waseca",36059,1,36,59,2009,2010
"Waseca",36061,2,36,61,2009,2010
"Waseca",36111,1,36,111,2009,2010
"Waseca",36121,49,36,121,2009,2010
"Waseca",36141,1,36,141,2009,2010
"Waseca",36152,1,36,152,2009,2010
"Waseca",36176,1115,36,176,2009,2010
"Waseca",36195,26,36,195,2009,2010
"Waseca",37001,13,37,1,2009,2010
"Waseca",37005,8,37,5,2009,2010
"Waseca",37036,11,37,36,2009,2010
"Waseca",37037,2,37,37,2009,2010
"Waseca",37059,1,37,59,2009,2010
"Waseca",37111,1,37,111,2009,2010
"Waseca",37121,1,37,121,2009,2010
"Waseca",37176,70,37,176,2009,2010
"Waseca",37195,3,37,195,2009,2010
"Waseca",53195,76,53,195,2009,2010
"Waseca",59141,8,59,141,2009,2010
"Waseca",59176,6,59,176,2009,2010
"Waseca",61005,1,61,5,2009,2010
"Waseca",61121,1,61,121,2009,2010
"Waseca",61176,3,61,176,2009,2010
"Waseca",111005,10,111,5,2009,2010
"Waseca",111023,2,111,23,2009,2010
"Waseca",111028,2,111,28,2009,2010
"Waseca",111037,1,111,37,2009,2010
"Waseca",111044,1,111,44,2009,2010
"Waseca",111111,23522,111,111,2009,2010
"Waseca",111121,17,111,121,2009,2010
"Waseca",111141,237,111,141,2009,2010
"Waseca",111142,1,111,142,2009,2010
"Waseca",111176,874,111,176,2009,2010
"Waseca",111190,52,111,190,2009,2010
"Waseca",111195,1185,111,195,2009,2010
"Waseca",121005,2315,121,5,2009,2010
"Waseca",121021,1,121,21,2009,2010
"Waseca",121023,15,121,23,2009,2010
"Waseca",121028,23,121,28,2009,2010
"Waseca",121036,68,121,36,2009,2010
"Waseca",121037,16,121,37,2009,2010
"Waseca",121042,6,121,42,2009,2010
"Waseca",121059,6,121,59,2009,2010
"Waseca",121061,1,121,61,2009,2010
"Waseca",121063,1,121,63,2009,2010
