"xCoords","yCoords","width","colorToUse"
1,6.4,12.1438961251754,"#ffd300"
1.2,6.4,12.1438961251754,"#ffd300"
1.4,6.4,12.1438961251754,"#ffd300"
2,6.4,12.1438961251754,"#ffd300"
1.8,6.4,12.1438961251754,"#ffd300"
1.6,6.4,12.1438961251754,"#ffd300"
1,6.4,8.03188981532276e-05,"#e41a1c"
1.2,5.9,8.03188981532276e-05,"#e41a1c"
1.4,5.9,8.03188981532276e-05,"#e41a1c"
2,1.9,8.03188981532276e-05,"#ffd300"
1.8,2.4,8.03188981532276e-05,"#ffd300"
1.6,2.4,8.03188981532276e-05,"#ffd300"
1,6.4,0.00803188981532276,"#f781bf"
1.2,6.2,0.00803188981532276,"#f781bf"
1.4,6.2,0.00803188981532276,"#f781bf"
2,4.6,0.00803188981532276,"#ffd300"
1.8,4.8,0.00803188981532276,"#ffd300"
1.6,4.8,0.00803188981532276,"#ffd300"
1,6.4,1.73279990875773,"#AAAAAA"
1.2,5.8,1.73279990875773,"#AAAAAA"
1.4,5.8,1.73279990875773,"#AAAAAA"
2,1,1.73279990875773,"#ffd300"
1.8,1.6,1.73279990875773,"#ffd300"
1.6,1.6,1.73279990875773,"#ffd300"
1,6.4,28.5911181756044,"#4daf4a"
1.2,6.3,28.5911181756044,"#4daf4a"
1.4,6.3,28.5911181756044,"#4daf4a"
2,5.5,28.5911181756044,"#ffd300"
1.8,5.6,28.5911181756044,"#ffd300"
1.6,5.6,28.5911181756044,"#ffd300"
1,6.4,0.0326897915483636,"#a65628"
1.2,6.1,0.0326897915483636,"#a65628"
1.4,6.1,0.0326897915483636,"#a65628"
2,3.7,0.0326897915483636,"#ffd300"
1.8,4,0.0326897915483636,"#ffd300"
1.6,4,0.0326897915483636,"#ffd300"
1,1.9,8.03188981532276e-05,"#ffd300"
1.2,2.4,8.03188981532276e-05,"#ffd300"
1.4,2.4,8.03188981532276e-05,"#ffd300"
2,6.4,8.03188981532276e-05,"#e41a1c"
1.8,5.9,8.03188981532276e-05,"#e41a1c"
1.6,5.9,8.03188981532276e-05,"#e41a1c"
1,1.9,0.000481913388919365,"#AAAAAA"
1.2,1.8,0.000481913388919365,"#AAAAAA"
1.4,1.8,0.000481913388919365,"#AAAAAA"
2,1,0.000481913388919365,"#e41a1c"
1.8,1.1,0.000481913388919365,"#e41a1c"
1.6,1.1,0.000481913388919365,"#e41a1c"
1,1.9,0.000401594490766138,"#4daf4a"
1.2,2.3,0.000401594490766138,"#4daf4a"
1.4,2.3,0.000401594490766138,"#4daf4a"
2,5.5,0.000401594490766138,"#e41a1c"
1.8,5.1,0.000401594490766138,"#e41a1c"
1.6,5.1,0.000401594490766138,"#e41a1c"
1,4.6,0.090358760422381,"#ffd300"
1.2,4.8,0.090358760422381,"#ffd300"
1.4,4.8,0.090358760422381,"#ffd300"
2,6.4,0.090358760422381,"#f781bf"
1.8,6.2,0.090358760422381,"#f781bf"
1.6,6.2,0.090358760422381,"#f781bf"
1,4.6,8.03188981532276e-05,"#e41a1c"
1.2,4.3,8.03188981532276e-05,"#e41a1c"
1.4,4.3,8.03188981532276e-05,"#e41a1c"
2,1.9,8.03188981532276e-05,"#f781bf"
1.8,2.2,8.03188981532276e-05,"#f781bf"
1.6,2.2,8.03188981532276e-05,"#f781bf"
1,4.6,0.0808811304403002,"#f781bf"
1.2,4.6,0.0808811304403002,"#f781bf"
1.4,4.6,0.0808811304403002,"#f781bf"
2,4.6,0.0808811304403002,"#f781bf"
1.8,4.6,0.0808811304403002,"#f781bf"
1.6,4.6,0.0808811304403002,"#f781bf"
1,4.6,0.30657723425087,"#AAAAAA"
1.2,4.2,0.30657723425087,"#AAAAAA"
1.4,4.2,0.30657723425087,"#AAAAAA"
2,1,0.30657723425087,"#f781bf"
1.8,1.4,0.30657723425087,"#f781bf"
1.6,1.4,0.30657723425087,"#f781bf"
1,4.6,0.0208025946216859,"#4daf4a"
1.2,4.7,0.0208025946216859,"#4daf4a"
1.4,4.7,0.0208025946216859,"#4daf4a"
2,5.5,0.0208025946216859,"#f781bf"
1.8,5.4,0.0208025946216859,"#f781bf"
1.6,5.4,0.0208025946216859,"#f781bf"
1,4.6,0.000642551185225821,"#a65628"
1.2,4.5,0.000642551185225821,"#a65628"
1.4,4.5,0.000642551185225821,"#a65628"
2,3.7,0.000642551185225821,"#f781bf"
1.8,3.8,0.000642551185225821,"#f781bf"
1.6,3.8,0.000642551185225821,"#f781bf"
1,1,1.81319912580911,"#ffd300"
1.2,1.6,1.81319912580911,"#ffd300"
1.4,1.6,1.81319912580911,"#ffd300"
2,6.4,1.81319912580911,"#AAAAAA"
1.8,5.8,1.81319912580911,"#AAAAAA"
1.6,5.8,1.81319912580911,"#AAAAAA"
1,1,8.03188981532276e-05,"#e41a1c"
1.2,1.1,8.03188981532276e-05,"#e41a1c"
1.4,1.1,8.03188981532276e-05,"#e41a1c"
2,1.9,8.03188981532276e-05,"#AAAAAA"
1.8,1.8,8.03188981532276e-05,"#AAAAAA"
1.6,1.8,8.03188981532276e-05,"#AAAAAA"
1,1,0.105539032173341,"#f781bf"
1.2,1.4,0.105539032173341,"#f781bf"
1.4,1.4,0.105539032173341,"#f781bf"
2,4.6,0.105539032173341,"#AAAAAA"
1.8,4.2,0.105539032173341,"#AAAAAA"
1.6,4.2,0.105539032173341,"#AAAAAA"
1,1,23.1555367430847,"#AAAAAA"
1.2,1,23.1555367430847,"#AAAAAA"
1.4,1,23.1555367430847,"#AAAAAA"
2,1,23.1555367430847,"#AAAAAA"
1.8,1,23.1555367430847,"#AAAAAA"
1.6,1,23.1555367430847,"#AAAAAA"
1,1,1.16430274762919,"#4daf4a"
1.2,1.5,1.16430274762919,"#4daf4a"
1.4,1.5,1.16430274762919,"#4daf4a"
2,5.5,1.16430274762919,"#AAAAAA"
1.8,5,1.16430274762919,"#AAAAAA"
1.6,5,1.16430274762919,"#AAAAAA"
1,1,0.0114856024359115,"#a65628"
1.2,1.3,0.0114856024359115,"#a65628"
1.4,1.3,0.0114856024359115,"#a65628"
2,3.7,0.0114856024359115,"#AAAAAA"
1.8,3.4,0.0114856024359115,"#AAAAAA"
1.6,3.4,0.0114856024359115,"#AAAAAA"
1,5.5,26.6396902260736,"#ffd300"
1.2,5.6,26.6396902260736,"#ffd300"
1.4,5.6,26.6396902260736,"#ffd300"
2,6.4,26.6396902260736,"#4daf4a"
1.8,6.3,26.6396902260736,"#4daf4a"
1.6,6.3,26.6396902260736,"#4daf4a"
1,5.5,0.000160637796306455,"#e41a1c"
1.2,5.1,0.000160637796306455,"#e41a1c"
1.4,5.1,0.000160637796306455,"#e41a1c"
2,1.9,0.000160637796306455,"#4daf4a"
1.8,2.3,0.000160637796306455,"#4daf4a"
1.6,2.3,0.000160637796306455,"#4daf4a"
1,5.5,0.0138148504823551,"#f781bf"
1.2,5.4,0.0138148504823551,"#f781bf"
1.4,5.4,0.0138148504823551,"#f781bf"
2,4.6,0.0138148504823551,"#4daf4a"
1.8,4.7,0.0138148504823551,"#4daf4a"
1.6,4.7,0.0138148504823551,"#4daf4a"
1,5.5,1.18084844064875,"#AAAAAA"
1.2,5,1.18084844064875,"#AAAAAA"
1.4,5,1.18084844064875,"#AAAAAA"
2,1,1.18084844064875,"#4daf4a"
1.8,1.5,1.18084844064875,"#4daf4a"
1.6,1.5,1.18084844064875,"#4daf4a"
1,5.5,2.6714868714745,"#4daf4a"
1.2,5.5,2.6714868714745,"#4daf4a"
1.4,5.5,2.6714868714745,"#4daf4a"
2,5.5,2.6714868714745,"#4daf4a"
1.8,5.5,2.6714868714745,"#4daf4a"
1.6,5.5,2.6714868714745,"#4daf4a"
1,5.5,0.0370270120486379,"#a65628"
1.2,5.3,0.0370270120486379,"#a65628"
1.4,5.3,0.0370270120486379,"#a65628"
2,3.7,0.0370270120486379,"#4daf4a"
1.8,3.9,0.0370270120486379,"#4daf4a"
1.6,3.9,0.0370270120486379,"#4daf4a"
1,3.7,0.0849773942461148,"#ffd300"
1.2,4,0.0849773942461148,"#ffd300"
1.4,4,0.0849773942461148,"#ffd300"
2,6.4,0.0849773942461148,"#a65628"
1.8,6.1,0.0849773942461148,"#a65628"
1.6,6.1,0.0849773942461148,"#a65628"
1,3.7,0.00835316540793567,"#f781bf"
1.2,3.8,0.00835316540793567,"#f781bf"
1.4,3.8,0.00835316540793567,"#f781bf"
2,4.6,0.00835316540793567,"#a65628"
1.8,4.5,0.00835316540793567,"#a65628"
1.6,4.5,0.00835316540793567,"#a65628"
1,3.7,0.0775077367178646,"#AAAAAA"
1.2,3.4,0.0775077367178646,"#AAAAAA"
1.4,3.4,0.0775077367178646,"#AAAAAA"
2,1,0.0775077367178646,"#a65628"
1.8,1.3,0.0775077367178646,"#a65628"
1.6,1.3,0.0775077367178646,"#a65628"
1,3.7,0.0258626852053393,"#4daf4a"
1.2,3.9,0.0258626852053393,"#4daf4a"
1.4,3.9,0.0258626852053393,"#4daf4a"
2,5.5,0.0258626852053393,"#a65628"
1.8,5.3,0.0258626852053393,"#a65628"
1.6,5.3,0.0258626852053393,"#a65628"
1,3.7,0.00120478347229841,"#a65628"
1.2,3.7,0.00120478347229841,"#a65628"
1.4,3.7,0.00120478347229841,"#a65628"
2,3.7,0.00120478347229841,"#a65628"
1.8,3.7,0.00120478347229841,"#a65628"
1.6,3.7,0.00120478347229841,"#a65628"
2,6.4,11.5441549126652,"#ffd300"
2.2,6.4,11.5441549126652,"#ffd300"
2.4,6.4,11.5441549126652,"#ffd300"
3,6.4,11.5441549126652,"#ffd300"
2.8,6.4,11.5441549126652,"#ffd300"
2.6,6.4,11.5441549126652,"#ffd300"
2,6.4,0.0199994056401537,"#e41a1c"
2.2,5.9,0.0199994056401537,"#e41a1c"
2.4,5.9,0.0199994056401537,"#e41a1c"
3,1.9,0.0199994056401537,"#ffd300"
2.8,2.4,0.0199994056401537,"#ffd300"
2.6,2.4,0.0199994056401537,"#ffd300"
2,6.4,0.0181520709826294,"#f781bf"
2.2,6.2,0.0181520709826294,"#f781bf"
2.4,6.2,0.0181520709826294,"#f781bf"
3,4.6,0.0181520709826294,"#ffd300"
2.8,4.8,0.0181520709826294,"#ffd300"
2.6,4.8,0.0181520709826294,"#ffd300"
2,6.4,1.99921769393199,"#AAAAAA"
2.2,5.8,1.99921769393199,"#AAAAAA"
2.4,5.8,1.99921769393199,"#AAAAAA"
3,1,1.99921769393199,"#ffd300"
2.8,1.6,1.99921769393199,"#ffd300"
2.6,1.6,1.99921769393199,"#ffd300"
2,6.4,27.1773449303113,"#4daf4a"
2.2,6.3,27.1773449303113,"#4daf4a"
2.4,6.3,27.1773449303113,"#4daf4a"
3,5.5,27.1773449303113,"#ffd300"
2.8,5.6,27.1773449303113,"#ffd300"
2.6,5.6,27.1773449303113,"#ffd300"
2,6.4,0.0133329370934358,"#a65628"
2.2,6.1,0.0133329370934358,"#a65628"
2.4,6.1,0.0133329370934358,"#a65628"
3,3.7,0.0133329370934358,"#ffd300"
2.8,4,0.0133329370934358,"#ffd300"
