"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Washington",0,271,0,0,2008,2009
"Washington",1005,44369,1,5,2008,2009
"Washington",1023,252,1,23,2008,2009
"Washington",1028,403,1,28,2008,2009
"Washington",1036,230,1,36,2008,2009
"Washington",1037,16,1,37,2008,2009
"Washington",1043,5,1,43,2008,2009
"Washington",1044,1,1,44,2008,2009
"Washington",1059,2,1,59,2008,2009
"Washington",1061,1,1,61,2008,2009
"Washington",1111,50,1,111,2008,2009
"Washington",1121,292,1,121,2008,2009
"Washington",1152,6,1,152,2008,2009
"Washington",1176,6515,1,176,2008,2009
"Washington",1195,214,1,195,2008,2009
"Washington",5005,8474,5,5,2008,2009
"Washington",5023,306,5,23,2008,2009
"Washington",5024,75,5,24,2008,2009
"Washington",5028,232,5,28,2008,2009
"Washington",5036,181,5,36,2008,2009
"Washington",5037,12,5,37,2008,2009
"Washington",5043,1,5,43,2008,2009
"Washington",5044,4,5,44,2008,2009
"Washington",5059,38,5,59,2008,2009
"Washington",5061,7,5,61,2008,2009
"Washington",5111,41,5,111,2008,2009
"Washington",5121,138,5,121,2008,2009
"Washington",5141,53,5,141,2008,2009
"Washington",5152,8,5,152,2008,2009
"Washington",5176,6754,5,176,2008,2009
"Washington",5190,1,5,190,2008,2009
"Washington",5195,61,5,195,2008,2009
"Washington",21005,1,21,5,2008,2009
"Washington",21176,17,21,176,2008,2009
"Washington",23005,329,23,5,2008,2009
"Washington",23023,54,23,23,2008,2009
"Washington",23024,42,23,24,2008,2009
"Washington",23028,15,23,28,2008,2009
"Washington",23036,120,23,36,2008,2009
"Washington",23037,5,23,37,2008,2009
"Washington",23059,1,23,59,2008,2009
"Washington",23111,2,23,111,2008,2009
"Washington",23121,6,23,121,2008,2009
"Washington",23131,4,23,131,2008,2009
"Washington",23152,2,23,152,2008,2009
"Washington",23176,414,23,176,2008,2009
"Washington",23195,5,23,195,2008,2009
"Washington",24005,24,24,5,2008,2009
"Washington",24023,1,24,23,2008,2009
"Washington",24028,2,24,28,2008,2009
"Washington",24037,1,24,37,2008,2009
"Washington",24059,2,24,59,2008,2009
"Washington",24111,3,24,111,2008,2009
"Washington",24176,61,24,176,2008,2009
"Washington",24195,4,24,195,2008,2009
"Washington",27176,59,27,176,2008,2009
"Washington",27195,1,27,195,2008,2009
"Washington",28005,20,28,5,2008,2009
"Washington",28023,1,28,23,2008,2009
"Washington",28028,1,28,28,2008,2009
"Washington",28036,158,28,36,2008,2009
"Washington",28044,2,28,44,2008,2009
"Washington",28176,130,28,176,2008,2009
"Washington",36005,95,36,5,2008,2009
"Washington",36023,134,36,23,2008,2009
"Washington",36028,21,36,28,2008,2009
"Washington",36036,3339,36,36,2008,2009
"Washington",36037,382,36,37,2008,2009
"Washington",36131,5,36,131,2008,2009
"Washington",36141,68,36,141,2008,2009
"Washington",36152,3,36,152,2008,2009
"Washington",36176,4521,36,176,2008,2009
"Washington",36195,4,36,195,2008,2009
"Washington",37005,22,37,5,2008,2009
"Washington",37023,3,37,23,2008,2009
"Washington",37024,3,37,24,2008,2009
"Washington",37036,69,37,36,2008,2009
"Washington",37037,35,37,37,2008,2009
"Washington",37111,1,37,111,2008,2009
"Washington",37141,10,37,141,2008,2009
"Washington",37152,2,37,152,2008,2009
"Washington",37176,433,37,176,2008,2009
"Washington",37195,3,37,195,2008,2009
"Washington",42005,13,42,5,2008,2009
"Washington",42023,1,42,23,2008,2009
"Washington",42141,1,42,141,2008,2009
"Washington",42176,7,42,176,2008,2009
"Washington",43023,5,43,23,2008,2009
"Washington",43176,7,43,176,2008,2009
"Washington",44005,111,44,5,2008,2009
"Washington",59005,1,59,5,2008,2009
"Washington",59036,1,59,36,2008,2009
