"xCoords","yCoords","width","colorToUse"
1,6.4,2.10781843545798,"#ffd300"
1.2,6.4,2.10781843545798,"#ffd300"
1.4,6.4,2.10781843545798,"#ffd300"
2,6.4,2.10781843545798,"#ffd300"
1.8,6.4,2.10781843545798,"#ffd300"
1.6,6.4,2.10781843545798,"#ffd300"
1,6.4,8.22050011878623e-05,"#e41a1c"
1.2,5.9,8.22050011878623e-05,"#e41a1c"
1.4,5.9,8.22050011878623e-05,"#e41a1c"
2,1.9,8.22050011878623e-05,"#ffd300"
1.8,2.4,8.22050011878623e-05,"#ffd300"
1.6,2.4,8.22050011878623e-05,"#ffd300"
1,6.4,0.0189071502732083,"#f781bf"
1.2,6.2,0.0189071502732083,"#f781bf"
1.4,6.2,0.0189071502732083,"#f781bf"
2,4.6,0.0189071502732083,"#ffd300"
1.8,4.8,0.0189071502732083,"#ffd300"
1.6,4.8,0.0189071502732083,"#ffd300"
1,6.4,0.66832665965732,"#AAAAAA"
1.2,5.8,0.66832665965732,"#AAAAAA"
1.4,5.8,0.66832665965732,"#AAAAAA"
2,1,0.66832665965732,"#ffd300"
1.8,1.6,0.66832665965732,"#ffd300"
1.6,1.6,0.66832665965732,"#ffd300"
1,6.4,3.64735369770426,"#4daf4a"
1.2,6.3,3.64735369770426,"#4daf4a"
1.4,6.3,3.64735369770426,"#4daf4a"
2,5.5,3.64735369770426,"#ffd300"
1.8,5.6,3.64735369770426,"#ffd300"
1.6,5.6,3.64735369770426,"#ffd300"
1,6.4,0.0207156602993413,"#a65628"
1.2,6.1,0.0207156602993413,"#a65628"
1.4,6.1,0.0207156602993413,"#a65628"
2,3.7,0.0207156602993413,"#ffd300"
1.8,4,0.0207156602993413,"#ffd300"
1.6,4,0.0207156602993413,"#ffd300"
1,1.9,0.000822050011878623,"#ffd300"
1.2,2.4,0.000822050011878623,"#ffd300"
1.4,2.4,0.000822050011878623,"#ffd300"
2,6.4,0.000822050011878623,"#e41a1c"
1.8,5.9,0.000822050011878623,"#e41a1c"
1.6,5.9,0.000822050011878623,"#e41a1c"
1,1.9,0.000986460014254347,"#AAAAAA"
1.2,1.8,0.000986460014254347,"#AAAAAA"
1.4,1.8,0.000986460014254347,"#AAAAAA"
2,1,0.000986460014254347,"#e41a1c"
1.8,1.1,0.000986460014254347,"#e41a1c"
1.6,1.1,0.000986460014254347,"#e41a1c"
1,1.9,0.00106866501544221,"#4daf4a"
1.2,2.3,0.00106866501544221,"#4daf4a"
1.4,2.3,0.00106866501544221,"#4daf4a"
2,5.5,0.00106866501544221,"#e41a1c"
1.8,5.1,0.00106866501544221,"#e41a1c"
1.6,5.1,0.00106866501544221,"#e41a1c"
1,1.9,8.22050011878623e-05,"#a65628"
