"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Watonwan",1005,439816,1,5,2008,2009
"Watonwan",1023,360,1,23,2008,2009
"Watonwan",1028,74,1,28,2008,2009
"Watonwan",1036,236,1,36,2008,2009
"Watonwan",1037,10,1,37,2008,2009
"Watonwan",1061,20,1,61,2008,2009
"Watonwan",1111,164,1,111,2008,2009
"Watonwan",1121,1060,1,121,2008,2009
"Watonwan",1176,3306,1,176,2008,2009
"Watonwan",1190,3,1,190,2008,2009
"Watonwan",1195,6031,1,195,2008,2009
"Watonwan",5005,29377,5,5,2008,2009
"Watonwan",5023,725,5,23,2008,2009
"Watonwan",5024,96,5,24,2008,2009
"Watonwan",5028,214,5,28,2008,2009
"Watonwan",5036,250,5,36,2008,2009
"Watonwan",5037,6,5,37,2008,2009
"Watonwan",5061,2,5,61,2008,2009
"Watonwan",5111,18,5,111,2008,2009
"Watonwan",5121,478,5,121,2008,2009
"Watonwan",5141,45,5,141,2008,2009
"Watonwan",5152,1,5,152,2008,2009
"Watonwan",5176,2771,5,176,2008,2009
"Watonwan",5190,3,5,190,2008,2009
"Watonwan",5195,3388,5,195,2008,2009
"Watonwan",21005,2,21,5,2008,2009
"Watonwan",21023,1,21,23,2008,2009
"Watonwan",21028,1,21,28,2008,2009
"Watonwan",21176,10,21,176,2008,2009
"Watonwan",21195,5,21,195,2008,2009
"Watonwan",23005,377,23,5,2008,2009
"Watonwan",23023,42,23,23,2008,2009
"Watonwan",23024,6,23,24,2008,2009
"Watonwan",23028,2,23,28,2008,2009
"Watonwan",23036,26,23,36,2008,2009
"Watonwan",23061,1,23,61,2008,2009
"Watonwan",23121,25,23,121,2008,2009
"Watonwan",23131,9,23,131,2008,2009
"Watonwan",23176,88,23,176,2008,2009
"Watonwan",23195,65,23,195,2008,2009
"Watonwan",24005,223,24,5,2008,2009
"Watonwan",24023,53,24,23,2008,2009
"Watonwan",24028,3,24,28,2008,2009
"Watonwan",24036,16,24,36,2008,2009
"Watonwan",24131,1,24,131,2008,2009
"Watonwan",24176,35,24,176,2008,2009
"Watonwan",24195,62,24,195,2008,2009
"Watonwan",27176,1,27,176,2008,2009
"Watonwan",28005,625,28,5,2008,2009
"Watonwan",28023,14,28,23,2008,2009
"Watonwan",28028,2,28,28,2008,2009
"Watonwan",28036,24,28,36,2008,2009
"Watonwan",28037,1,28,37,2008,2009
"Watonwan",28061,1,28,61,2008,2009
