"xCoords","yCoords","width","colorToUse"
1,6.4,8.57718103835189,"#ffd300"
1.2,6.4,8.57718103835189,"#ffd300"
1.4,6.4,8.57718103835189,"#ffd300"
2,6.4,8.57718103835189,"#ffd300"
1.8,6.4,8.57718103835189,"#ffd300"
1.6,6.4,8.57718103835189,"#ffd300"
1,6.4,0.000158034805585582,"#e41a1c"
1.2,5.9,0.000158034805585582,"#e41a1c"
1.4,5.9,0.000158034805585582,"#e41a1c"
2,1.9,0.000158034805585582,"#ffd300"
1.8,2.4,0.000158034805585582,"#ffd300"
1.6,2.4,0.000158034805585582,"#ffd300"
1,6.4,0.0186481070590987,"#f781bf"
1.2,6.2,0.0186481070590987,"#f781bf"
1.4,6.2,0.0186481070590987,"#f781bf"
2,4.6,0.0186481070590987,"#ffd300"
1.8,4.8,0.0186481070590987,"#ffd300"
1.6,4.8,0.0186481070590987,"#ffd300"
1,6.4,0.955399417167637,"#AAAAAA"
1.2,5.8,0.955399417167637,"#AAAAAA"
1.4,5.8,0.955399417167637,"#AAAAAA"
2,1,0.955399417167637,"#ffd300"
1.8,1.6,0.955399417167637,"#ffd300"
1.6,1.6,0.955399417167637,"#ffd300"
1,6.4,34.7531180267142,"#4daf4a"
1.2,6.3,34.7531180267142,"#4daf4a"
1.4,6.3,34.7531180267142,"#4daf4a"
2,5.5,34.7531180267142,"#ffd300"
1.8,5.6,34.7531180267142,"#ffd300"
1.6,5.6,34.7531180267142,"#ffd300"
1,6.4,0.0284462650054048,"#a65628"
1.2,6.1,0.0284462650054048,"#a65628"
1.4,6.1,0.0284462650054048,"#a65628"
2,3.7,0.0284462650054048,"#ffd300"
1.8,4,0.0284462650054048,"#ffd300"
1.6,4,0.0284462650054048,"#ffd300"
1,6.4,0.0214137161568464,"#377eb8"
1.2,6,0.0214137161568464,"#377eb8"
1.4,6,0.0214137161568464,"#377eb8"
2,2.8,0.0214137161568464,"#ffd300"
1.8,3.2,0.0214137161568464,"#ffd300"
1.6,3.2,0.0214137161568464,"#ffd300"
1,1.9,0.00292364390333327,"#ffd300"
1.2,2.4,0.00292364390333327,"#ffd300"
1.4,2.4,0.00292364390333327,"#ffd300"
2,6.4,0.00292364390333327,"#e41a1c"
1.8,5.9,0.00292364390333327,"#e41a1c"
1.6,5.9,0.00292364390333327,"#e41a1c"
1,1.9,0.00102722623630628,"#AAAAAA"
1.2,1.8,0.00102722623630628,"#AAAAAA"
1.4,1.8,0.00102722623630628,"#AAAAAA"
2,1,0.00102722623630628,"#e41a1c"
1.8,1.1,0.00102722623630628,"#e41a1c"
1.6,1.1,0.00102722623630628,"#e41a1c"
1,1.9,0.00237052208378373,"#4daf4a"
1.2,2.3,0.00237052208378373,"#4daf4a"
1.4,2.3,0.00237052208378373,"#4daf4a"
2,5.5,0.00237052208378373,"#e41a1c"
1.8,5.1,0.00237052208378373,"#e41a1c"
1.6,5.1,0.00237052208378373,"#e41a1c"
1,1.9,0.000237052208378373,"#a65628"
1.2,2.1,0.000237052208378373,"#a65628"
1.4,2.1,0.000237052208378373,"#a65628"
2,3.7,0.000237052208378373,"#e41a1c"
1.8,3.5,0.000237052208378373,"#e41a1c"
1.6,3.5,0.000237052208378373,"#e41a1c"
1,1.9,7.90174027927911e-05,"#377eb8"
1.2,2,7.90174027927911e-05,"#377eb8"
1.4,2,7.90174027927911e-05,"#377eb8"
2,2.8,7.90174027927911e-05,"#e41a1c"
1.8,2.7,7.90174027927911e-05,"#e41a1c"
1.6,2.7,7.90174027927911e-05,"#e41a1c"
1,4.6,0.0256806559076571,"#ffd300"
1.2,4.8,0.0256806559076571,"#ffd300"
1.4,4.8,0.0256806559076571,"#ffd300"
2,6.4,0.0256806559076571,"#f781bf"
1.8,6.2,0.0256806559076571,"#f781bf"
1.6,6.2,0.0256806559076571,"#f781bf"
1,4.6,0.0997989797272951,"#f781bf"
1.2,4.6,0.0997989797272951,"#f781bf"
1.4,4.6,0.0997989797272951,"#f781bf"
2,4.6,0.0997989797272951,"#f781bf"
1.8,4.6,0.0997989797272951,"#f781bf"
1.6,4.6,0.0997989797272951,"#f781bf"
1,4.6,0.124373391995853,"#AAAAAA"
1.2,4.2,0.124373391995853,"#AAAAAA"
1.4,4.2,0.124373391995853,"#AAAAAA"
2,1,0.124373391995853,"#f781bf"
1.8,1.4,0.124373391995853,"#f781bf"
1.6,1.4,0.124373391995853,"#f781bf"
1,4.6,0.0271819865607201,"#4daf4a"
1.2,4.7,0.0271819865607201,"#4daf4a"
1.4,4.7,0.0271819865607201,"#4daf4a"
2,5.5,0.0271819865607201,"#f781bf"
1.8,5.4,0.0271819865607201,"#f781bf"
1.6,5.4,0.0271819865607201,"#f781bf"
1,4.6,0.000869191430720702,"#a65628"
1.2,4.5,0.000869191430720702,"#a65628"
1.4,4.5,0.000869191430720702,"#a65628"
2,3.7,0.000869191430720702,"#f781bf"
1.8,3.8,0.000869191430720702,"#f781bf"
1.6,3.8,0.000869191430720702,"#f781bf"
1,1,0.768839329173857,"#ffd300"
1.2,1.6,0.768839329173857,"#ffd300"
1.4,1.6,0.768839329173857,"#ffd300"
