"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Wilkin",0,949,0,0,2008,2009
"Wilkin",1005,279928,1,5,2008,2009
"Wilkin",1023,13142,1,23,2008,2009
"Wilkin",1036,349,1,36,2008,2009
"Wilkin",1037,46,1,37,2008,2009
"Wilkin",1043,3,1,43,2008,2009
"Wilkin",1044,7,1,44,2008,2009
"Wilkin",1059,42,1,59,2008,2009
"Wilkin",1061,25359,1,61,2008,2009
"Wilkin",1111,435,1,111,2008,2009
"Wilkin",1121,248,1,121,2008,2009
"Wilkin",1152,3,1,152,2008,2009
"Wilkin",1176,1933,1,176,2008,2009
"Wilkin",1190,58,1,190,2008,2009
"Wilkin",1195,2897,1,195,2008,2009
"Wilkin",5005,111711,5,5,2008,2009
"Wilkin",5023,365532,5,23,2008,2009
"Wilkin",5024,56,5,24,2008,2009
"Wilkin",5028,4,5,28,2008,2009
"Wilkin",5031,9,5,31,2008,2009
"Wilkin",5036,1307,5,36,2008,2009
"Wilkin",5037,121,5,37,2008,2009
"Wilkin",5043,43,5,43,2008,2009
"Wilkin",5044,10,5,44,2008,2009
"Wilkin",5059,168,5,59,2008,2009
"Wilkin",5061,6222,5,61,2008,2009
"Wilkin",5111,408,5,111,2008,2009
"Wilkin",5121,299,5,121,2008,2009
"Wilkin",5141,180,5,141,2008,2009
"Wilkin",5142,2,5,142,2008,2009
"Wilkin",5152,1,5,152,2008,2009
"Wilkin",5176,5312,5,176,2008,2009
"Wilkin",5190,121,5,190,2008,2009
"Wilkin",5195,4408,5,195,2008,2009
"Wilkin",6005,2047,6,5,2008,2009
"Wilkin",6023,4111,6,23,2008,2009
"Wilkin",6059,5,6,59,2008,2009
"Wilkin",6061,129,6,61,2008,2009
"Wilkin",6176,55,6,176,2008,2009
"Wilkin",6195,70,6,195,2008,2009
"Wilkin",21005,201,21,5,2008,2009
"Wilkin",21023,14,21,23,2008,2009
"Wilkin",21036,2,21,36,2008,2009
"Wilkin",21061,6,21,61,2008,2009
"Wilkin",21141,3,21,141,2008,2009
"Wilkin",21176,4,21,176,2008,2009
"Wilkin",21195,1,21,195,2008,2009
"Wilkin",23005,246383,23,5,2008,2009
"Wilkin",23023,22847,23,23,2008,2009
"Wilkin",23024,58,23,24,2008,2009
"Wilkin",23028,9,23,28,2008,2009
"Wilkin",23031,2,23,31,2008,2009
"Wilkin",23036,1648,23,36,2008,2009
"Wilkin",23037,103,23,37,2008,2009
"Wilkin",23043,38,23,43,2008,2009
"Wilkin",23044,2,23,44,2008,2009
"Wilkin",23059,91,23,59,2008,2009
"Wilkin",23061,6280,23,61,2008,2009
"Wilkin",23111,434,23,111,2008,2009
"Wilkin",23121,1150,23,121,2008,2009
"Wilkin",23131,63,23,131,2008,2009
"Wilkin",23141,156,23,141,2008,2009
"Wilkin",23142,3,23,142,2008,2009
"Wilkin",23152,1,23,152,2008,2009
"Wilkin",23176,4707,23,176,2008,2009
"Wilkin",23190,86,23,190,2008,2009
"Wilkin",23195,4111,23,195,2008,2009
"Wilkin",24005,127,24,5,2008,2009
"Wilkin",24023,95,24,23,2008,2009
"Wilkin",24036,18,24,36,2008,2009
"Wilkin",24037,1,24,37,2008,2009
"Wilkin",24061,29,24,61,2008,2009
"Wilkin",24111,3,24,111,2008,2009
"Wilkin",24176,157,24,176,2008,2009
"Wilkin",24190,2,24,190,2008,2009
"Wilkin",24195,116,24,195,2008,2009
"Wilkin",27176,1,27,176,2008,2009
"Wilkin",27195,1,27,195,2008,2009
"Wilkin",28005,14,28,5,2008,2009
"Wilkin",28023,5,28,23,2008,2009
"Wilkin",28036,1,28,36,2008,2009
"Wilkin",28141,1,28,141,2008,2009
"Wilkin",28176,6,28,176,2008,2009
"Wilkin",28190,1,28,190,2008,2009
"Wilkin",28195,7,28,195,2008,2009
"Wilkin",31005,74,31,5,2008,2009
"Wilkin",31023,4,31,23,2008,2009
"Wilkin",31037,1,31,37,2008,2009
"Wilkin",31061,21,31,61,2008,2009
"Wilkin",31111,2,31,111,2008,2009
"Wilkin",31141,2,31,141,2008,2009
"Wilkin",31176,42,31,176,2008,2009
"Wilkin",31190,3,31,190,2008,2009
"Wilkin",31195,24,31,195,2008,2009
"Wilkin",32061,1,32,61,2008,2009
"Wilkin",36005,2533,36,5,2008,2009
"Wilkin",36006,27,36,6,2008,2009
"Wilkin",36023,807,36,23,2008,2009
"Wilkin",36028,1,36,28,2008,2009
"Wilkin",36031,1,36,31,2008,2009
"Wilkin",36036,7744,36,36,2008,2009
"Wilkin",36037,138,36,37,2008,2009
"Wilkin",36059,24,36,59,2008,2009
"Wilkin",36061,573,36,61,2008,2009
"Wilkin",36141,33,36,141,2008,2009
"Wilkin",36142,2,36,142,2008,2009
"Wilkin",36176,3117,36,176,2008,2009
"Wilkin",36190,34,36,190,2008,2009
"Wilkin",36195,797,36,195,2008,2009
"Wilkin",37005,46,37,5,2008,2009
"Wilkin",37023,30,37,23,2008,2009
"Wilkin",37024,1,37,24,2008,2009
"Wilkin",37036,33,37,36,2008,2009
"Wilkin",37037,10,37,37,2008,2009
"Wilkin",37061,11,37,61,2008,2009
"Wilkin",37111,5,37,111,2008,2009
"Wilkin",37141,2,37,141,2008,2009
"Wilkin",37176,179,37,176,2008,2009
"Wilkin",37195,101,37,195,2008,2009
"Wilkin",41005,106705,41,5,2008,2009
"Wilkin",41023,27789,41,23,2008,2009
"Wilkin",41195,227,41,195,2008,2009
"Wilkin",42005,917,42,5,2008,2009
"Wilkin",42023,1312,42,23,2008,2009
"Wilkin",42059,7,42,59,2008,2009
"Wilkin",42061,298,42,61,2008,2009
"Wilkin",42141,11,42,141,2008,2009
"Wilkin",42176,32,42,176,2008,2009
"Wilkin",42190,4,42,190,2008,2009
"Wilkin",42195,37,42,195,2008,2009
"Wilkin",43023,4,43,23,2008,2009
"Wilkin",59005,30,59,5,2008,2009
"Wilkin",59023,6,59,23,2008,2009
"Wilkin",59036,33,59,36,2008,2009
"Wilkin",59037,3,59,37,2008,2009
"Wilkin",59059,2,59,59,2008,2009
"Wilkin",59061,6,59,61,2008,2009
"Wilkin",59111,2,59,111,2008,2009
"Wilkin",59131,1,59,131,2008,2009
"Wilkin",59141,1,59,141,2008,2009
"Wilkin",59142,1,59,142,2008,2009
