"xCoords","yCoords","width","colorToUse"
1,6.4,0.698059384740693,"#ffd300"
1.2,6.4,0.698059384740693,"#ffd300"
1.4,6.4,0.698059384740693,"#ffd300"
2,6.4,0.698059384740693,"#ffd300"
1.8,6.4,0.698059384740693,"#ffd300"
1.6,6.4,0.698059384740693,"#ffd300"
1,6.4,0.0109093447320577,"#e41a1c"
1.2,5.9,0.0109093447320577,"#e41a1c"
1.4,5.9,0.0109093447320577,"#e41a1c"
2,1.9,0.0109093447320577,"#ffd300"
1.8,2.4,0.0109093447320577,"#ffd300"
1.6,2.4,0.0109093447320577,"#ffd300"
1,6.4,0.0161328869130853,"#f781bf"
1.2,6.2,0.0161328869130853,"#f781bf"
1.4,6.2,0.0161328869130853,"#f781bf"
2,4.6,0.0161328869130853,"#ffd300"
1.8,4.8,0.0161328869130853,"#ffd300"
1.6,4.8,0.0161328869130853,"#ffd300"
1,6.4,1.49906415388093,"#AAAAAA"
1.2,5.8,1.49906415388093,"#AAAAAA"
1.4,5.8,1.49906415388093,"#AAAAAA"
2,1,1.49906415388093,"#ffd300"
1.8,1.6,1.49906415388093,"#ffd300"
1.6,1.6,1.49906415388093,"#ffd300"
1,6.4,12.9399620854045,"#4daf4a"
1.2,6.3,12.9399620854045,"#4daf4a"
1.4,6.3,12.9399620854045,"#4daf4a"
2,5.5,12.9399620854045,"#ffd300"
1.8,5.6,12.9399620854045,"#ffd300"
1.6,5.6,12.9399620854045,"#ffd300"
1,6.4,0.607502578257214,"#a65628"
1.2,6.1,0.607502578257214,"#a65628"
1.4,6.1,0.607502578257214,"#a65628"
2,3.7,0.607502578257214,"#ffd300"
1.8,4,0.607502578257214,"#ffd300"
1.6,4,0.607502578257214,"#ffd300"
1,6.4,0.385201566323038,"#377eb8"
1.2,6,0.385201566323038,"#377eb8"
1.4,6,0.385201566323038,"#377eb8"
2,2.8,0.385201566323038,"#ffd300"
1.8,3.2,0.385201566323038,"#ffd300"
1.6,3.2,0.385201566323038,"#ffd300"
1,1.9,0.0280592044591484,"#ffd300"
1.2,2.4,0.0280592044591484,"#ffd300"
1.4,2.4,0.0280592044591484,"#ffd300"
2,6.4,0.0280592044591484,"#e41a1c"
1.8,5.9,0.0280592044591484,"#e41a1c"
1.6,5.9,0.0280592044591484,"#e41a1c"
1,1.9,9.24520740004891e-05,"#e41a1c"
1.2,1.9,9.24520740004891e-05,"#e41a1c"
1.4,1.9,9.24520740004891e-05,"#e41a1c"
2,1.9,9.24520740004891e-05,"#e41a1c"
1.8,1.9,9.24520740004891e-05,"#e41a1c"
1.6,1.9,9.24520740004891e-05,"#e41a1c"
1,1.9,0.00050848640700269,"#f781bf"
1.2,2.2,0.00050848640700269,"#f781bf"
1.4,2.2,0.00050848640700269,"#f781bf"
