"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Winona",0,771,0,0,2008,2009
"Winona",1005,82671,1,5,2008,2009
"Winona",1023,41,1,23,2008,2009
"Winona",1028,1983,1,28,2008,2009
"Winona",1036,7778,1,36,2008,2009
"Winona",1037,13,1,37,2008,2009
"Winona",1059,1,1,59,2008,2009
"Winona",1111,22,1,111,2008,2009
"Winona",1121,321,1,121,2008,2009
"Winona",1152,1,1,152,2008,2009
"Winona",1176,42888,1,176,2008,2009
"Winona",1190,2,1,190,2008,2009
"Winona",1195,63,1,195,2008,2009
"Winona",5005,5214,5,5,2008,2009
"Winona",5023,15,5,23,2008,2009
"Winona",5024,1,5,24,2008,2009
"Winona",5028,603,5,28,2008,2009
"Winona",5036,1171,5,36,2008,2009
"Winona",5111,7,5,111,2008,2009
"Winona",5121,84,5,121,2008,2009
"Winona",5141,35,5,141,2008,2009
"Winona",5176,13381,5,176,2008,2009
"Winona",5195,9,5,195,2008,2009
"Winona",21036,105,21,36,2008,2009
"Winona",21176,2,21,176,2008,2009
"Winona",23005,45,23,5,2008,2009
"Winona",23036,92,23,36,2008,2009
"Winona",23176,136,23,176,2008,2009
"Winona",24176,1,24,176,2008,2009
"Winona",28005,1,28,5,2008,2009
"Winona",28028,1,28,28,2008,2009
"Winona",28036,620,28,36,2008,2009
"Winona",28037,2,28,37,2008,2009
"Winona",28176,231,28,176,2008,2009
"Winona",36005,1563,36,5,2008,2009
"Winona",36023,1,36,23,2008,2009
"Winona",36028,62,36,28,2008,2009
"Winona",36036,22586,36,36,2008,2009
"Winona",36037,28,36,37,2008,2009
"Winona",36131,3,36,131,2008,2009
"Winona",36141,66,36,141,2008,2009
"Winona",36176,19069,36,176,2008,2009
"Winona",36195,6,36,195,2008,2009
"Winona",37005,3,37,5,2008,2009
"Winona",37028,2,37,28,2008,2009
"Winona",37036,26,37,36,2008,2009
"Winona",37037,2,37,37,2008,2009
"Winona",37141,4,37,141,2008,2009
"Winona",37176,76,37,176,2008,2009
"Winona",37190,1,37,190,2008,2009
"Winona",42005,87,42,5,2008,2009
"Winona",42176,101,42,176,2008,2009
"Winona",59005,1,59,5,2008,2009
"Winona",59036,2,59,36,2008,2009
"Winona",59042,2,59,42,2008,2009
"Winona",59131,2,59,131,2008,2009
"Winona",59176,11,59,176,2008,2009
"Winona",59195,2,59,195,2008,2009
"Winona",61036,2,61,36,2008,2009
"Winona",61111,3,61,111,2008,2009
"Winona",61141,18,61,141,2008,2009
"Winona",61176,28,61,176,2008,2009
"Winona",61190,1,61,190,2008,2009
"Winona",61195,2,61,195,2008,2009
"Winona",111005,64,111,5,2008,2009
"Winona",111023,1,111,23,2008,2009
"Winona",111037,2,111,37,2008,2009
"Winona",111111,40807,111,111,2008,2009
"Winona",111141,36,111,141,2008,2009
"Winona",111142,13,111,142,2008,2009
"Winona",111176,177,111,176,2008,2009
"Winona",111190,1409,111,190,2008,2009
"Winona",111195,2352,111,195,2008,2009
"Winona",121005,248,121,5,2008,2009
"Winona",121036,45,121,36,2008,2009
"Winona",121121,70155,121,121,2008,2009
"Winona",121122,2020,121,122,2008,2009
"Winona",121123,244,121,123,2008,2009
"Winona",121176,17,121,176,2008,2009
"Winona",122121,1449,122,121,2008,2009
"Winona",122122,32129,122,122,2008,2009
"Winona",122123,325,122,123,2008,2009
"Winona",122176,13,122,176,2008,2009
"Winona",123005,10,123,5,2008,2009
"Winona",123036,1,123,36,2008,2009
"Winona",123121,78,123,121,2008,2009
"Winona",123122,536,123,122,2008,2009
"Winona",123123,10385,123,123,2008,2009
"Winona",123124,34,123,124,2008,2009
"Winona",123176,26,123,176,2008,2009
"Winona",124122,74,124,122,2008,2009
"Winona",124123,370,124,123,2008,2009
"Winona",124124,3381,124,124,2008,2009
"Winona",131005,7,131,5,2008,2009
"Winona",131111,5,131,111,2008,2009
"Winona",131141,2,131,141,2008,2009
"Winona",131176,100,131,176,2008,2009
"Winona",131190,5,131,190,2008,2009
"Winona",131195,3,131,195,2008,2009
"Winona",141005,59,141,5,2008,2009
"Winona",141028,3,141,28,2008,2009
"Winona",141036,174,141,36,2008,2009
"Winona",141037,6,141,37,2008,2009
"Winona",141061,4,141,61,2008,2009
"Winona",141111,83,141,111,2008,2009
"Winona",141121,114,141,121,2008,2009
"Winona",141141,632877,141,141,2008,2009
