"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Wright",1005,217956,1,5,2008,2009
"Wright",1023,4746,1,23,2008,2009
"Wright",1028,378,1,28,2008,2009
"Wright",1036,1959,1,36,2008,2009
"Wright",1037,145,1,37,2008,2009
"Wright",1043,45,1,43,2008,2009
"Wright",1059,4,1,59,2008,2009
"Wright",1061,24,1,61,2008,2009
"Wright",1111,194,1,111,2008,2009
"Wright",1121,230,1,121,2008,2009
"Wright",1152,38,1,152,2008,2009
"Wright",1176,19652,1,176,2008,2009
"Wright",1190,5,1,190,2008,2009
"Wright",1195,2662,1,195,2008,2009
"Wright",5005,55780,5,5,2008,2009
"Wright",5023,28132,5,23,2008,2009
"Wright",5024,109,5,24,2008,2009
"Wright",5028,1028,5,28,2008,2009
"Wright",5036,2307,5,36,2008,2009
"Wright",5037,69,5,37,2008,2009
"Wright",5043,131,5,43,2008,2009
"Wright",5058,1,5,58,2008,2009
"Wright",5059,11,5,59,2008,2009
"Wright",5061,174,5,61,2008,2009
"Wright",5111,93,5,111,2008,2009
"Wright",5121,283,5,121,2008,2009
"Wright",5141,485,5,141,2008,2009
"Wright",5142,4,5,142,2008,2009
"Wright",5152,36,5,152,2008,2009
"Wright",5176,21621,5,176,2008,2009
"Wright",5190,10,5,190,2008,2009
"Wright",5195,760,5,195,2008,2009
"Wright",6005,1,6,5,2008,2009
"Wright",6023,2,6,23,2008,2009
"Wright",6176,6,6,176,2008,2009
"Wright",6195,3,6,195,2008,2009
"Wright",21005,56,21,5,2008,2009
"Wright",21023,41,21,23,2008,2009
"Wright",21036,52,21,36,2008,2009
"Wright",21061,1,21,61,2008,2009
"Wright",21176,130,21,176,2008,2009
"Wright",21195,1,21,195,2008,2009
"Wright",23005,15060,23,5,2008,2009
"Wright",23023,3346,23,23,2008,2009
"Wright",23024,256,23,24,2008,2009
"Wright",23028,53,23,28,2008,2009
"Wright",23036,1599,23,36,2008,2009
"Wright",23037,13,23,37,2008,2009
"Wright",23043,17,23,43,2008,2009
"Wright",23061,40,23,61,2008,2009
"Wright",23111,35,23,111,2008,2009
"Wright",23121,77,23,121,2008,2009
"Wright",23131,50,23,131,2008,2009
"Wright",23141,1,23,141,2008,2009
"Wright",23152,2,23,152,2008,2009
"Wright",23176,4934,23,176,2008,2009
"Wright",23195,68,23,195,2008,2009
"Wright",24005,225,24,5,2008,2009
"Wright",24023,69,24,23,2008,2009
"Wright",24028,1,24,28,2008,2009
"Wright",24036,85,24,36,2008,2009
"Wright",24111,3,24,111,2008,2009
"Wright",24131,3,24,131,2008,2009
"Wright",24176,216,24,176,2008,2009
"Wright",24195,8,24,195,2008,2009
"Wright",27176,812,27,176,2008,2009
"Wright",27195,16,27,195,2008,2009
"Wright",28005,437,28,5,2008,2009
"Wright",28023,80,28,23,2008,2009
"Wright",28028,1,28,28,2008,2009
"Wright",28036,205,28,36,2008,2009
"Wright",28037,2,28,37,2008,2009
"Wright",28061,1,28,61,2008,2009
"Wright",28141,2,28,141,2008,2009
"Wright",28176,268,28,176,2008,2009
"Wright",28195,8,28,195,2008,2009
"Wright",36005,1123,36,5,2008,2009
"Wright",36023,189,36,23,2008,2009
"Wright",36028,10,36,28,2008,2009
"Wright",36036,26217,36,36,2008,2009
"Wright",36037,68,36,37,2008,2009
"Wright",36059,3,36,59,2008,2009
"Wright",36061,5,36,61,2008,2009
"Wright",36131,5,36,131,2008,2009
"Wright",36141,407,36,141,2008,2009
"Wright",36142,2,36,142,2008,2009
"Wright",36152,60,36,152,2008,2009
"Wright",36176,18713,36,176,2008,2009
"Wright",36190,15,36,190,2008,2009
"Wright",36195,258,36,195,2008,2009
"Wright",37005,83,37,5,2008,2009
"Wright",37023,32,37,23,2008,2009
"Wright",37024,3,37,24,2008,2009
"Wright",37036,160,37,36,2008,2009
"Wright",37037,19,37,37,2008,2009
"Wright",37059,1,37,59,2008,2009
"Wright",37061,3,37,61,2008,2009
"Wright",37111,9,37,111,2008,2009
"Wright",37141,84,37,141,2008,2009
"Wright",37152,5,37,152,2008,2009
"Wright",37176,1739,37,176,2008,2009
"Wright",37190,1,37,190,2008,2009
"Wright",37195,64,37,195,2008,2009
"Wright",41005,12,41,5,2008,2009
"Wright",41023,10,41,23,2008,2009
"Wright",41195,2,41,195,2008,2009
"Wright",42005,35,42,5,2008,2009
"Wright",42023,43,42,23,2008,2009
"Wright",42061,3,42,61,2008,2009
"Wright",42141,1,42,141,2008,2009
"Wright",42176,83,42,176,2008,2009
"Wright",42195,5,42,195,2008,2009
"Wright",43176,13,43,176,2008,2009
"Wright",43195,2,43,195,2008,2009
"Wright",44111,1,44,111,2008,2009
"Wright",44141,2,44,141,2008,2009
"Wright",44195,1,44,195,2008,2009
"Wright",59023,3,59,23,2008,2009
"Wright",59036,3,59,36,2008,2009
"Wright",59059,3,59,59,2008,2009
"Wright",59111,8,59,111,2008,2009
"Wright",59131,1,59,131,2008,2009
"Wright",59141,1,59,141,2008,2009
"Wright",59176,85,59,176,2008,2009
"Wright",59195,6,59,195,2008,2009
"Wright",61005,82,61,5,2008,2009
"Wright",61023,65,61,23,2008,2009
"Wright",61028,2,61,28,2008,2009
"Wright",61036,3,61,36,2008,2009
"Wright",61059,11,61,59,2008,2009
"Wright",61061,11,61,61,2008,2009
"Wright",61111,12,61,111,2008,2009
"Wright",61141,1,61,141,2008,2009
"Wright",61176,311,61,176,2008,2009
"Wright",61195,11,61,195,2008,2009
"Wright",111005,92,111,5,2008,2009
"Wright",111023,50,111,23,2008,2009
"Wright",111028,3,111,28,2008,2009
"Wright",111037,10,111,37,2008,2009
"Wright",111044,1,111,44,2008,2009
"Wright",111061,3,111,61,2008,2009
"Wright",111111,162330,111,111,2008,2009
"Wright",111141,654,111,141,2008,2009
"Wright",111142,4,111,142,2008,2009
"Wright",111152,29,111,152,2008,2009
"Wright",111176,1631,111,176,2008,2009
"Wright",111190,8,111,190,2008,2009
"Wright",111195,3927,111,195,2008,2009
"Wright",121005,447,121,5,2008,2009
"Wright",121023,21,121,23,2008,2009
"Wright",121036,8,121,36,2008,2009
"Wright",121061,6,121,61,2008,2009
"Wright",121121,94362,121,121,2008,2009
"Wright",121122,5221,121,122,2008,2009
"Wright",121123,643,121,123,2008,2009
"Wright",121176,647,121,176,2008,2009
"Wright",121195,8,121,195,2008,2009
"Wright",122023,11,122,23,2008,2009
"Wright",122061,16,122,61,2008,2009
"Wright",122121,4384,122,121,2008,2009
"Wright",122122,61763,122,122,2008,2009
"Wright",122123,2747,122,123,2008,2009
"Wright",122176,384,122,176,2008,2009
"Wright",123001,8,123,1,2008,2009
"Wright",123005,64,123,5,2008,2009
"Wright",123023,112,123,23,2008,2009
"Wright",123028,21,123,28,2008,2009
"Wright",123036,14,123,36,2008,2009
"Wright",123061,48,123,61,2008,2009
"Wright",123121,328,123,121,2008,2009
"Wright",123122,3082,123,122,2008,2009
"Wright",123123,27626,123,123,2008,2009
"Wright",123124,925,123,124,2008,2009
"Wright",123176,1079,123,176,2008,2009
"Wright",123195,46,123,195,2008,2009
"Wright",124023,5,124,23,2008,2009
"Wright",124061,1,124,61,2008,2009
"Wright",124122,176,124,122,2008,2009
"Wright",124123,473,124,123,2008,2009
"Wright",124124,6802,124,124,2008,2009
"Wright",124176,11,124,176,2008,2009
"Wright",124195,4,124,195,2008,2009
"Wright",131005,38,131,5,2008,2009
"Wright",131023,14,131,23,2008,2009
"Wright",131028,4,131,28,2008,2009
"Wright",131061,17,131,61,2008,2009
"Wright",131111,1,131,111,2008,2009
"Wright",131141,2,131,141,2008,2009
"Wright",131176,183,131,176,2008,2009
"Wright",131195,5,131,195,2008,2009
"Wright",141005,1301,141,5,2008,2009
"Wright",141023,2,141,23,2008,2009
"Wright",141028,50,141,28,2008,2009
"Wright",141036,309,141,36,2008,2009
"Wright",141037,12,141,37,2008,2009
"Wright",141043,3,141,43,2008,2009
"Wright",141058,2,141,58,2008,2009
"Wright",141059,1,141,59,2008,2009
"Wright",141111,4707,141,111,2008,2009
"Wright",141121,71,141,121,2008,2009
"Wright",141131,1,141,131,2008,2009
"Wright",141141,259662,141,141,2008,2009
"Wright",141142,1450,141,142,2008,2009
"Wright",141152,5357,141,152,2008,2009
"Wright",141176,13615,141,176,2008,2009
"Wright",141190,802,141,190,2008,2009
"Wright",141195,6298,141,195,2008,2009
"Wright",142005,19,142,5,2008,2009
"Wright",142023,1,142,23,2008,2009
"Wright",142036,5,142,36,2008,2009
"Wright",142037,1,142,37,2008,2009
"Wright",142058,1,142,58,2008,2009
"Wright",142141,993,142,141,2008,2009
"Wright",142142,525,142,142,2008,2009
"Wright",142152,21,142,152,2008,2009
"Wright",142176,269,142,176,2008,2009
"Wright",142190,7,142,190,2008,2009
"Wright",142195,70,142,195,2008,2009
"Wright",152005,6,152,5,2008,2009
"Wright",152141,4103,152,141,2008,2009
"Wright",152142,26,152,142,2008,2009
"Wright",152152,386,152,152,2008,2009
"Wright",152176,874,152,176,2008,2009
"Wright",152190,9,152,190,2008,2009
"Wright",152195,158,152,195,2008,2009
"Wright",176001,23436,176,1,2008,2009
"Wright",176005,19262,176,5,2008,2009
"Wright",176006,4,176,6,2008,2009
"Wright",176021,27,176,21,2008,2009
"Wright",176023,4729,176,23,2008,2009
"Wright",176024,186,176,24,2008,2009
"Wright",176027,1144,176,27,2008,2009
"Wright",176028,222,176,28,2008,2009
"Wright",176036,14246,176,36,2008,2009
"Wright",176037,1630,176,37,2008,2009
"Wright",176053,27,176,53,2008,2009
"Wright",176058,2,176,58,2008,2009
"Wright",176059,49,176,59,2008,2009
"Wright",176061,162,176,61,2008,2009
"Wright",176111,777,176,111,2008,2009
"Wright",176121,1152,176,121,2008,2009
"Wright",176131,295,176,131,2008,2009
"Wright",176141,15828,176,141,2008,2009
"Wright",176142,234,176,142,2008,2009
"Wright",176152,2384,176,152,2008,2009
"Wright",176176,428101,176,176,2008,2009
"Wright",176190,46,176,190,2008,2009
"Wright",176195,25445,176,195,2008,2009
"Wright",190005,1,190,5,2008,2009
"Wright",190028,1,190,28,2008,2009
"Wright",190036,2,190,36,2008,2009
"Wright",190111,36,190,111,2008,2009
"Wright",190141,571,190,141,2008,2009
"Wright",190142,23,190,142,2008,2009
"Wright",190143,1,190,143,2008,2009
"Wright",190152,11,190,152,2008,2009
"Wright",190176,51,190,176,2008,2009
"Wright",190190,21,190,190,2008,2009
"Wright",190195,71,190,195,2008,2009
"Wright",195001,2811,195,1,2008,2009
"Wright",195005,978,195,5,2008,2009
"Wright",195006,1,195,6,2008,2009
"Wright",195023,120,195,23,2008,2009
"Wright",195024,2,195,24,2008,2009
"Wright",195027,8,195,27,2008,2009
"Wright",195028,6,195,28,2008,2009
"Wright",195036,199,195,36,2008,2009
"Wright",195037,53,195,37,2008,2009
"Wright",195059,2,195,59,2008,2009
"Wright",195061,2,195,61,2008,2009
"Wright",195111,3222,195,111,2008,2009
"Wright",195131,3,195,131,2008,2009
"Wright",195141,5869,195,141,2008,2009
"Wright",195142,28,195,142,2008,2009
"Wright",195152,437,195,152,2008,2009
"Wright",195176,23909,195,176,2008,2009
"Wright",195190,41,195,190,2008,2009
"Wright",195195,49842,195,195,2008,2009
"Wright",1001,53185,1,1,2008,2009
"Wright",1021,32,1,21,2008,2009
"Wright",1024,33,1,24,2008,2009
"Wright",1041,103,1,41,2008,2009
"Wright",1042,11,1,42,2008,2009
"Wright",1141,789,1,141,2008,2009
"Wright",5001,226761,5,1,2008,2009
"Wright",5021,111,5,21,2008,2009
"Wright",5041,101,5,41,2008,2009
"Wright",5042,12,5,42,2008,2009
"Wright",5123,121,5,123,2008,2009
"Wright",21001,70,21,1,2008,2009
"Wright",23001,7715,23,1,2008,2009
"Wright",23021,4,23,21,2008,2009
"Wright",23041,15,23,41,2008,2009
"Wright",23042,9,23,42,2008,2009
"Wright",23123,30,23,123,2008,2009
"Wright",24001,106,24,1,2008,2009
"Wright",24024,8,24,24,2008,2009
"Wright",24041,4,24,41,2008,2009
"Wright",24042,1,24,42,2008,2009
"Wright",24121,4,24,121,2008,2009
"Wright",27005,182,27,5,2008,2009
"Wright",27023,52,27,23,2008,2009
"Wright",27024,8,27,24,2008,2009
"Wright",27036,33,27,36,2008,2009
"Wright",27037,7,27,37,2008,2009
"Wright",27061,6,27,61,2008,2009
"Wright",27111,7,27,111,2008,2009
"Wright",28001,382,28,1,2008,2009
"Wright",28024,6,28,24,2008,2009
"Wright",28111,1,28,111,2008,2009
"Wright",36001,7256,36,1,2008,2009
"Wright",36024,24,36,24,2008,2009
"Wright",36041,1,36,41,2008,2009
"Wright",36042,2,36,42,2008,2009
"Wright",36043,1,36,43,2008,2009
"Wright",36111,11,36,111,2008,2009
"Wright",36121,36,36,121,2008,2009
"Wright",37001,56,37,1,2008,2009
"Wright",41001,8,41,1,2008,2009
"Wright",41036,3,41,36,2008,2009
"Wright",41041,1,41,41,2008,2009
"Wright",41111,2,41,111,2008,2009
"Wright",41176,22,41,176,2008,2009
"Wright",42001,53,42,1,2008,2009
"Wright",42021,1,42,21,2008,2009
"Wright",42024,1,42,24,2008,2009
"Wright",42028,1,42,28,2008,2009
"Wright",42036,6,42,36,2008,2009
"Wright",42041,2,42,41,2008,2009
"Wright",42111,1,42,111,2008,2009
"Wright",43005,4,43,5,2008,2009
"Wright",43036,6,43,36,2008,2009
"Wright",59001,1,59,1,2008,2009
"Wright",59121,2,59,121,2008,2009
"Wright",61001,14,61,1,2008,2009
"Wright",61021,3,61,21,2008,2009
"Wright",111001,603,111,1,2008,2009
"Wright",111036,37,111,36,2008,2009
"Wright",111041,89,111,41,2008,2009
"Wright",111143,1,111,143,2008,2009
"Wright",122124,62,122,124,2008,2009
"Wright",131036,2,131,36,2008,2009
"Wright",141143,38,141,143,2008,2009
"Wright",142111,54,142,111,2008,2009
"Wright",142143,3,142,143,2008,2009
"Wright",143141,16,143,141,2008,2009
"Wright",143142,1,143,142,2008,2009
"Wright",152001,6,152,1,2008,2009
"Wright",152036,8,152,36,2008,2009
"Wright",152111,7,152,111,2008,2009
"Wright",176041,139,176,41,2008,2009
"Wright",176042,18,176,42,2008,2009
"Wright",176043,38,176,43,2008,2009
"Wright",190001,5,190,1,2008,2009
"Wright",195041,25,195,41,2008,2009
"Wright",195042,1,195,42,2008,2009
"Wright",195043,2,195,43,2008,2009
"Wright",1122,142,1,122,2008,2009
"Wright",1142,6,1,142,2008,2009
"Wright",5027,332,5,27,2008,2009
"Wright",5131,204,5,131,2008,2009
"Wright",23027,206,23,27,2008,2009
"Wright",23122,21,23,122,2008,2009
"Wright",24027,11,24,27,2008,2009
"Wright",27001,55,27,1,2008,2009
"Wright",27027,427,27,27,2008,2009
"Wright",27028,2,27,28,2008,2009
"Wright",27141,3,27,141,2008,2009
"Wright",27152,1,27,152,2008,2009
"Wright",28121,2,28,121,2008,2009
"Wright",36027,89,36,27,2008,2009
"Wright",37027,27,37,27,2008,2009
"Wright",37121,17,37,121,2008,2009
"Wright",42131,6,42,131,2008,2009
"Wright",42152,1,42,152,2008,2009
"Wright",44176,2,44,176,2008,2009
"Wright",61121,3,61,121,2008,2009
"Wright",61131,66,61,131,2008,2009
"Wright",121111,4,121,111,2008,2009
"Wright",122005,76,122,5,2008,2009
"Wright",123111,14,123,111,2008,2009
"Wright",123131,206,123,131,2008,2009
"Wright",124121,34,124,121,2008,2009
"Wright",141001,1754,141,1,2008,2009
"Wright",142001,10,142,1,2008,2009
"Wright",143195,1,143,195,2008,2009
"Wright",195121,12,195,121,2008,2009
"Wright",195122,14,195,122,2008,2009
"Wright",1123,27,1,123,2008,2009
"Wright",1124,6,1,124,2008,2009
"Wright",5122,141,5,122,2008,2009
"Wright",28123,1,28,123,2008,2009
"Wright",37131,2,37,131,2008,2009
"Wright",37143,1,37,143,2008,2009
"Wright",61043,1,61,43,2008,2009
"Wright",61123,20,61,123,2008,2009
"Wright",121001,615,121,1,2008,2009
"Wright",121037,2,121,37,2008,2009
"Wright",121124,30,121,124,2008,2009
"Wright",121141,24,121,141,2008,2009
"Wright",122001,78,122,1,2008,2009
"Wright",122190,1,122,190,2008,2009
"Wright",122195,5,122,195,2008,2009
"Wright",131121,1,131,121,2008,2009
"Wright",131122,3,131,122,2008,2009
"Wright",131123,52,131,123,2008,2009
"Wright",131131,86,131,131,2008,2009
"Wright",131143,1,131,143,2008,2009
"Wright",141042,14,141,42,2008,2009
"Wright",141122,15,141,122,2008,2009
"Wright",141123,45,141,123,2008,2009
"Wright",143028,1,143,28,2008,2009
"Wright",143111,1,143,111,2008,2009
"Wright",143176,3,143,176,2008,2009
"Wright",152123,2,152,123,2008,2009
"Wright",152143,3,152,143,2008,2009
"Wright",176122,553,176,122,2008,2009
"Wright",176123,310,176,123,2008,2009
"Wright",176143,14,176,143,2008,2009
"Wright",190121,1,190,121,2008,2009
"Wright",190122,1,190,122,2008,2009
"Wright",195123,15,195,123,2008,2009
"Wright",1131,30,1,131,2008,2009
"Wright",5124,11,5,124,2008,2009
"Wright",12111,13,12,111,2008,2009
"Wright",12121,3,12,121,2008,2009
"Wright",12131,15,12,131,2008,2009
"Wright",12176,255,12,176,2008,2009
"Wright",28027,6,28,27,2008,2009
"Wright",53121,3,53,121,2008,2009
"Wright",111012,14,111,12,2008,2009
"Wright",111121,272,111,121,2008,2009
"Wright",121012,2,121,12,2008,2009
"Wright",121131,5,121,131,2008,2009
"Wright",121142,1,121,142,2008,2009
"Wright",121152,3,121,152,2008,2009
"Wright",122131,85,122,131,2008,2009
"Wright",122141,21,122,141,2008,2009
"Wright",122142,3,122,142,2008,2009
"Wright",122143,1,122,143,2008,2009
"Wright",123037,2,123,37,2008,2009
"Wright",123141,10,123,141,2008,2009
"Wright",123142,1,123,142,2008,2009
"Wright",123152,3,123,152,2008,2009
"Wright",123190,1,123,190,2008,2009
"Wright",124131,2,124,131,2008,2009
"Wright",131001,6,131,1,2008,2009
"Wright",142028,15,142,28,2008,2009
"Wright",142121,7,142,121,2008,2009
"Wright",176004,2,176,4,2008,2009
"Wright",176012,57,176,12,2008,2009
"Wright",190123,1,190,123,2008,2009
"Wright",243176,16,243,176,2008,2009
"Wright",27021,1,27,21,2008,2009
"Wright",27042,4,27,42,2008,2009
"Wright",36122,6,36,122,2008,2009
"Wright",42043,1,42,43,2008,2009
"Wright",42121,3,42,121,2008,2009
"Wright",53005,75,53,5,2008,2009
"Wright",53023,42,53,23,2008,2009
"Wright",53176,226,53,176,2008,2009
"Wright",53195,8,53,195,2008,2009
"Wright",1012,91,1,12,2008,2009
"Wright",1027,243,1,27,2008,2009
"Wright",1058,4,1,58,2008,2009
"Wright",5012,203,5,12,2008,2009
"Wright",5053,27,5,53,2008,2009
