"xCoords","yCoords","width","colorToUse"
1,6.4,2.58617252301711,"#ffd300"
1.2,6.4,2.58617252301711,"#ffd300"
1.4,6.4,2.58617252301711,"#ffd300"
2,6.4,2.58617252301711,"#ffd300"
1.8,6.4,2.58617252301711,"#ffd300"
1.6,6.4,2.58617252301711,"#ffd300"
1,6.4,0.000534885733819463,"#e41a1c"
1.2,5.9,0.000534885733819463,"#e41a1c"
1.4,5.9,0.000534885733819463,"#e41a1c"
2,1.9,0.000534885733819463,"#ffd300"
1.8,2.4,0.000534885733819463,"#ffd300"
1.6,2.4,0.000534885733819463,"#ffd300"
1,6.4,0.0952582865956663,"#f781bf"
1.2,6.2,0.0952582865956663,"#f781bf"
1.4,6.2,0.0952582865956663,"#f781bf"
2,4.6,0.0952582865956663,"#ffd300"
1.8,4.8,0.0952582865956663,"#ffd300"
1.6,4.8,0.0952582865956663,"#ffd300"
1,6.4,1.20592419988388,"#AAAAAA"
1.2,5.8,1.20592419988388,"#AAAAAA"
1.4,5.8,1.20592419988388,"#AAAAAA"
2,1,1.20592419988388,"#ffd300"
1.8,1.6,1.20592419988388,"#ffd300"
1.6,1.6,1.20592419988388,"#ffd300"
1,6.4,10.5983231818505,"#4daf4a"
1.2,6.3,10.5983231818505,"#4daf4a"
1.4,6.3,10.5983231818505,"#4daf4a"
2,5.5,10.5983231818505,"#ffd300"
1.8,5.6,10.5983231818505,"#ffd300"
1.6,5.6,10.5983231818505,"#ffd300"
1,6.4,0.230778881155198,"#a65628"
1.2,6.1,0.230778881155198,"#a65628"
1.4,6.1,0.230778881155198,"#a65628"
2,3.7,0.230778881155198,"#ffd300"
1.8,4,0.230778881155198,"#ffd300"
1.6,4,0.230778881155198,"#ffd300"
1,6.4,0.00500847550758225,"#377eb8"
1.2,6,0.00500847550758225,"#377eb8"
1.4,6,0.00500847550758225,"#377eb8"
2,2.8,0.00500847550758225,"#ffd300"
1.8,3.2,0.00500847550758225,"#ffd300"
1.6,3.2,0.00500847550758225,"#ffd300"
1,1.9,0.00257717671749378,"#ffd300"
1.2,2.4,0.00257717671749378,"#ffd300"
1.4,2.4,0.00257717671749378,"#ffd300"
2,6.4,0.00257717671749378,"#e41a1c"
1.8,5.9,0.00257717671749378,"#e41a1c"
1.6,5.9,0.00257717671749378,"#e41a1c"
1,1.9,0.000291755854810616,"#f781bf"
1.2,2.2,0.000291755854810616,"#f781bf"
1.4,2.2,0.000291755854810616,"#f781bf"
2,4.6,0.000291755854810616,"#e41a1c"
1.8,4.3,0.000291755854810616,"#e41a1c"
1.6,4.3,0.000291755854810616,"#e41a1c"
1,1.9,0.00607824697522118,"#AAAAAA"
1.2,1.8,0.00607824697522118,"#AAAAAA"
1.4,1.8,0.00607824697522118,"#AAAAAA"
2,1,0.00607824697522118,"#e41a1c"
1.8,1.1,0.00607824697522118,"#e41a1c"
1.6,1.1,0.00607824697522118,"#e41a1c"
1,1.9,0.00170190915306193,"#4daf4a"
1.2,2.3,0.00170190915306193,"#4daf4a"
1.4,2.3,0.00170190915306193,"#4daf4a"
2,5.5,0.00170190915306193,"#e41a1c"
1.8,5.1,0.00170190915306193,"#e41a1c"
1.6,5.1,0.00170190915306193,"#e41a1c"
1,1.9,0.00209091695947608,"#a65628"
1.2,2.1,0.00209091695947608,"#a65628"
1.4,2.1,0.00209091695947608,"#a65628"
2,3.7,0.00209091695947608,"#e41a1c"
1.8,3.5,0.00209091695947608,"#e41a1c"
1.6,3.5,0.00209091695947608,"#e41a1c"
1,1.9,9.72519516035388e-05,"#377eb8"
1.2,2,9.72519516035388e-05,"#377eb8"
1.4,2,9.72519516035388e-05,"#377eb8"
2,2.8,9.72519516035388e-05,"#e41a1c"
1.8,2.7,9.72519516035388e-05,"#e41a1c"
1.6,2.7,9.72519516035388e-05,"#e41a1c"
1,4.6,0.355553135062538,"#ffd300"
1.2,4.8,0.355553135062538,"#ffd300"
1.4,4.8,0.355553135062538,"#ffd300"
2,6.4,0.355553135062538,"#f781bf"
1.8,6.2,0.355553135062538,"#f781bf"
1.6,6.2,0.355553135062538,"#f781bf"
1,4.6,9.72519516035388e-05,"#e41a1c"
1.2,4.3,9.72519516035388e-05,"#e41a1c"
1.4,4.3,9.72519516035388e-05,"#e41a1c"
2,1.9,9.72519516035388e-05,"#f781bf"
1.8,2.2,9.72519516035388e-05,"#f781bf"
1.6,2.2,9.72519516035388e-05,"#f781bf"
1,4.6,1.37922717764139,"#f781bf"
1.2,4.6,1.37922717764139,"#f781bf"
1.4,4.6,1.37922717764139,"#f781bf"
2,4.6,1.37922717764139,"#f781bf"
1.8,4.6,1.37922717764139,"#f781bf"
1.6,4.6,1.37922717764139,"#f781bf"
1,4.6,0.9590987467141,"#AAAAAA"
1.2,4.2,0.9590987467141,"#AAAAAA"
1.4,4.2,0.9590987467141,"#AAAAAA"
2,1,0.9590987467141,"#f781bf"
1.8,1.4,0.9590987467141,"#f781bf"
1.6,1.4,0.9590987467141,"#f781bf"
1,4.6,0.0586429268169339,"#4daf4a"
1.2,4.7,0.0586429268169339,"#4daf4a"
1.4,4.7,0.0586429268169339,"#4daf4a"
2,5.5,0.0586429268169339,"#f781bf"
1.8,5.4,0.0586429268169339,"#f781bf"
1.6,5.4,0.0586429268169339,"#f781bf"
1,4.6,0.010746340652191,"#a65628"
1.2,4.5,0.010746340652191,"#a65628"
1.4,4.5,0.010746340652191,"#a65628"
2,3.7,0.010746340652191,"#f781bf"
1.8,3.8,0.010746340652191,"#f781bf"
1.6,3.8,0.010746340652191,"#f781bf"
1,4.6,4.86259758017694e-05,"#377eb8"
1.2,4.4,4.86259758017694e-05,"#377eb8"
1.4,4.4,4.86259758017694e-05,"#377eb8"
2,2.8,4.86259758017694e-05,"#f781bf"
1.8,3,4.86259758017694e-05,"#f781bf"
1.6,3,4.86259758017694e-05,"#f781bf"
