"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Yellow Medicine",0,5,0,0,2008,2009
"Yellow Medicine",1005,652444,1,5,2008,2009
"Yellow Medicine",1023,10358,1,23,2008,2009
"Yellow Medicine",1028,125,1,28,2008,2009
"Yellow Medicine",1036,2242,1,36,2008,2009
"Yellow Medicine",1037,77,1,37,2008,2009
"Yellow Medicine",1043,10,1,43,2008,2009
"Yellow Medicine",1059,1,1,59,2008,2009
"Yellow Medicine",1061,3,1,61,2008,2009
"Yellow Medicine",1111,316,1,111,2008,2009
"Yellow Medicine",1121,692,1,121,2008,2009
"Yellow Medicine",1152,2,1,152,2008,2009
"Yellow Medicine",1176,11162,1,176,2008,2009
"Yellow Medicine",1190,3,1,190,2008,2009
"Yellow Medicine",1195,10747,1,195,2008,2009
"Yellow Medicine",5005,45817,5,5,2008,2009
"Yellow Medicine",5023,31895,5,23,2008,2009
"Yellow Medicine",5024,1396,5,24,2008,2009
"Yellow Medicine",5028,224,5,28,2008,2009
"Yellow Medicine",5031,1,5,31,2008,2009
"Yellow Medicine",5036,2217,5,36,2008,2009
"Yellow Medicine",5037,132,5,37,2008,2009
"Yellow Medicine",5043,6,5,43,2008,2009
"Yellow Medicine",5058,1,5,58,2008,2009
"Yellow Medicine",5059,29,5,59,2008,2009
"Yellow Medicine",5061,11,5,61,2008,2009
"Yellow Medicine",5111,47,5,111,2008,2009
"Yellow Medicine",5121,474,5,121,2008,2009
"Yellow Medicine",5141,10,5,141,2008,2009
"Yellow Medicine",5152,1,5,152,2008,2009
"Yellow Medicine",5176,13399,5,176,2008,2009
"Yellow Medicine",5195,6811,5,195,2008,2009
"Yellow Medicine",6005,259,6,5,2008,2009
"Yellow Medicine",6023,21,6,23,2008,2009
"Yellow Medicine",6176,47,6,176,2008,2009
"Yellow Medicine",6195,39,6,195,2008,2009
"Yellow Medicine",21005,4,21,5,2008,2009
"Yellow Medicine",21023,3,21,23,2008,2009
"Yellow Medicine",21036,1,21,36,2008,2009
"Yellow Medicine",21176,1,21,176,2008,2009
"Yellow Medicine",21195,7,21,195,2008,2009
"Yellow Medicine",23005,17023,23,5,2008,2009
"Yellow Medicine",23023,1219,23,23,2008,2009
"Yellow Medicine",23024,553,23,24,2008,2009
"Yellow Medicine",23028,25,23,28,2008,2009
"Yellow Medicine",23036,1943,23,36,2008,2009
"Yellow Medicine",23037,101,23,37,2008,2009
"Yellow Medicine",23043,1,23,43,2008,2009
"Yellow Medicine",23059,2,23,59,2008,2009
"Yellow Medicine",23061,18,23,61,2008,2009
"Yellow Medicine",23111,22,23,111,2008,2009
"Yellow Medicine",23121,26,23,121,2008,2009
"Yellow Medicine",23131,43,23,131,2008,2009
"Yellow Medicine",23176,2890,23,176,2008,2009
"Yellow Medicine",23190,1,23,190,2008,2009
"Yellow Medicine",23195,854,23,195,2008,2009
"Yellow Medicine",24005,1109,24,5,2008,2009
"Yellow Medicine",24023,84,24,23,2008,2009
"Yellow Medicine",24131,2,24,131,2008,2009
"Yellow Medicine",24176,97,24,176,2008,2009
"Yellow Medicine",24195,23,24,195,2008,2009
"Yellow Medicine",27195,2,27,195,2008,2009
"Yellow Medicine",28005,105,28,5,2008,2009
"Yellow Medicine",28023,20,28,23,2008,2009
"Yellow Medicine",28036,36,28,36,2008,2009
"Yellow Medicine",28037,1,28,37,2008,2009
"Yellow Medicine",28176,62,28,176,2008,2009
"Yellow Medicine",28195,29,28,195,2008,2009
"Yellow Medicine",31005,10,31,5,2008,2009
"Yellow Medicine",31176,4,31,176,2008,2009
"Yellow Medicine",31195,2,31,195,2008,2009
"Yellow Medicine",32005,3,32,5,2008,2009
"Yellow Medicine",36005,819,36,5,2008,2009
"Yellow Medicine",36006,1,36,6,2008,2009
"Yellow Medicine",36023,618,36,23,2008,2009
"Yellow Medicine",36028,3,36,28,2008,2009
"Yellow Medicine",36036,12728,36,36,2008,2009
"Yellow Medicine",36037,92,36,37,2008,2009
"Yellow Medicine",36059,1,36,59,2008,2009
"Yellow Medicine",36131,2,36,131,2008,2009
"Yellow Medicine",36141,3,36,141,2008,2009
"Yellow Medicine",36176,3179,36,176,2008,2009
"Yellow Medicine",36190,2,36,190,2008,2009
"Yellow Medicine",36195,492,36,195,2008,2009
"Yellow Medicine",37005,123,37,5,2008,2009
"Yellow Medicine",37023,40,37,23,2008,2009
