"xCoords","yCoords","width","colorToUse"
1,6.4,5.70586392374513,"#ffd300"
1.2,6.4,5.70586392374513,"#ffd300"
1.4,6.4,5.70586392374513,"#ffd300"
2,6.4,5.70586392374513,"#ffd300"
1.8,6.4,5.70586392374513,"#ffd300"
1.6,6.4,5.70586392374513,"#ffd300"
1,6.4,0.0287795468496414,"#e41a1c"
1.2,5.9,0.0287795468496414,"#e41a1c"
1.4,5.9,0.0287795468496414,"#e41a1c"
2,1.9,0.0287795468496414,"#ffd300"
1.8,2.4,0.0287795468496414,"#ffd300"
1.6,2.4,0.0287795468496414,"#ffd300"
1,6.4,0.10209453170395,"#f781bf"
1.2,6.2,0.10209453170395,"#f781bf"
1.4,6.2,0.10209453170395,"#f781bf"
2,4.6,0.10209453170395,"#ffd300"
1.8,4.8,0.10209453170395,"#ffd300"
1.6,4.8,0.10209453170395,"#ffd300"
1,6.4,1.28232917608529,"#AAAAAA"
1.2,5.8,1.28232917608529,"#AAAAAA"
1.4,5.8,1.28232917608529,"#AAAAAA"
2,1,1.28232917608529,"#ffd300"
1.8,1.6,1.28232917608529,"#ffd300"
1.6,1.6,1.28232917608529,"#ffd300"
1,6.4,29.7105105455181,"#4daf4a"
1.2,6.3,29.7105105455181,"#4daf4a"
1.4,6.3,29.7105105455181,"#4daf4a"
2,5.5,29.7105105455181,"#ffd300"
1.8,5.6,29.7105105455181,"#ffd300"
1.6,5.6,29.7105105455181,"#ffd300"
1,6.4,0.47167491498194,"#a65628"
1.2,6.1,0.47167491498194,"#a65628"
1.4,6.1,0.47167491498194,"#a65628"
2,3.7,0.47167491498194,"#ffd300"
1.8,4,0.47167491498194,"#ffd300"
1.6,4,0.47167491498194,"#ffd300"
1,6.4,0.469853424675001,"#377eb8"
1.2,6,0.469853424675001,"#377eb8"
1.4,6,0.469853424675001,"#377eb8"
2,2.8,0.469853424675001,"#ffd300"
1.8,3.2,0.469853424675001,"#ffd300"
1.6,3.2,0.469853424675001,"#ffd300"
1,1.9,0.0124316713448609,"#ffd300"
1.2,2.4,0.0124316713448609,"#ffd300"
1.4,2.4,0.0124316713448609,"#ffd300"
2,6.4,0.0124316713448609,"#e41a1c"
1.8,5.9,0.0124316713448609,"#e41a1c"
1.6,5.9,0.0124316713448609,"#e41a1c"
