"xCoords","yCoords","width","colorToUse"
"1",1,6.4,3.12018561016379,"#ffd300"
"2",1.2,6.4,3.12018561016379,"#ffd300"
"3",1.4,6.4,3.12018561016379,"#ffd300"
"4",NA,NA,NA,NA
"5",2,6.4,3.12018561016379,"#ffd300"
"6",1.8,6.4,3.12018561016379,"#ffd300"
"7",1.6,6.4,3.12018561016379,"#ffd300"
"8",NA,NA,NA,NA
"9",1,6.4,0.0829937464523977,"#e41a1c"
"10",1.2,5.9,0.0829937464523977,"#e41a1c"
"11",1.4,5.9,0.0829937464523977,"#e41a1c"
"12",NA,NA,NA,NA
"13",2,1.9,0.0829937464523977,"#ffd300"
"14",1.8,2.4,0.0829937464523977,"#ffd300"
"15",1.6,2.4,0.0829937464523977,"#ffd300"
"16",NA,NA,NA,NA
"17",1,6.4,0.0554192085393167,"#f781bf"
"18",1.2,6.2,0.0554192085393167,"#f781bf"
"19",1.4,6.2,0.0554192085393167,"#f781bf"
"20",NA,NA,NA,NA
"21",2,4.6,0.0554192085393167,"#ffd300"
"22",1.8,4.8,0.0554192085393167,"#ffd300"
"23",1.6,4.8,0.0554192085393167,"#ffd300"
"24",NA,NA,NA,NA
"25",1,6.4,0.947343483191185,"#AAAAAA"
"26",1.2,5.8,0.947343483191185,"#AAAAAA"
"27",1.4,5.8,0.947343483191185,"#AAAAAA"
"28",NA,NA,NA,NA
"29",2,1,0.947343483191185,"#ffd300"
"30",1.8,1.6,0.947343483191185,"#ffd300"
"31",1.6,1.6,0.947343483191185,"#ffd300"
"32",NA,NA,NA,NA
"33",1,6.4,9.18592920864235,"#4daf4a"
"34",1.2,6.3,9.18592920864235,"#4daf4a"
"35",1.4,6.3,9.18592920864235,"#4daf4a"
"36",NA,NA,NA,NA
"37",2,5.5,9.18592920864235,"#ffd300"
"38",1.8,5.6,9.18592920864235,"#ffd300"
"39",1.6,5.6,9.18592920864235,"#ffd300"
"40",NA,NA,NA,NA
"41",1,6.4,0.145329752526562,"#a65628"
"42",1.2,6.1,0.145329752526562,"#a65628"
"43",1.4,6.1,0.145329752526562,"#a65628"
"44",NA,NA,NA,NA
"45",2,3.7,0.145329752526562,"#ffd300"
"46",1.8,4,0.145329752526562,"#ffd300"
"47",1.6,4,0.145329752526562,"#ffd300"
"48",NA,NA,NA,NA
"49",1,6.4,0.165452580718228,"#377eb8"
