yearFrom,yearTo,cropRotate,plottingColorFrom,plottingColorTo,plotXAxisFrom,plotXAxisTo,plotYAxisFrom,plotYAxisTo,totalPercPixelsWiArea_cropYearFrom,totalPercPixelsWiArea_cropYearTo
2008,2009,corn_corn,#ffd300,#ffd300,1,2,6.4,6.4,13.70265359,13.44378286
2008,2009,corn_dryBeans,#ffd300,#e41a1c,1,2,6.4,1.9,13.70265359,0.233058645
2008,2009,corn_hay,#ffd300,#f781bf,1,2,6.4,4.6,13.70265359,1.704080747
2008,2009,corn_other,#ffd300,#AAAAAA,1,2,6.4,1,13.70265359,67.2911192
2008,2009,corn_soy,#ffd300,#4daf4a,1,2,6.4,5.5,13.70265359,13.52866259
2008,2009,corn_springWheat,#ffd300,#a65628,1,2,6.4,3.7,13.70265359,2.974159113
2008,2009,corn_sugarbeets,#ffd300,#377eb8,1,2,6.4,2.8,13.70265359,0.825136844
2008,2009,dryBeans_corn,#e41a1c,#ffd300,1,2,1.9,6.4,0.222939787,13.44378286
2008,2009,dryBeans_dryBeans,#e41a1c,#e41a1c,1,2,1.9,1.9,0.222939787,0.233058645
2008,2009,dryBeans_hay,#e41a1c,#f781bf,1,2,1.9,4.6,0.222939787,1.704080747
2008,2009,dryBeans_other,#e41a1c,#AAAAAA,1,2,1.9,1,0.222939787,67.2911192
2008,2009,dryBeans_soy,#e41a1c,#4daf4a,1,2,1.9,5.5,0.222939787,13.52866259
2008,2009,dryBeans_springWheat,#e41a1c,#a65628,1,2,1.9,3.7,0.222939787,2.974159113
2008,2009,dryBeans_sugarbeets,#e41a1c,#377eb8,1,2,1.9,2.8,0.222939787,0.825136844
2008,2009,hay_corn,#f781bf,#ffd300,1,2,4.6,6.4,1.919091975,13.44378286
2008,2009,hay_dryBeans,#f781bf,#e41a1c,1,2,4.6,1.9,1.919091975,0.233058645
2008,2009,hay_hay,#f781bf,#f781bf,1,2,4.6,4.6,1.919091975,1.704080747
2008,2009,hay_other,#f781bf,#AAAAAA,1,2,4.6,1,1.919091975,67.2911192
2008,2009,hay_soy,#f781bf,#4daf4a,1,2,4.6,5.5,1.919091975,13.52866259
2008,2009,hay_springWheat,#f781bf,#a65628,1,2,4.6,3.7,1.919091975,2.974159113
2008,2009,hay_sugarbeets,#f781bf,#377eb8,1,2,4.6,2.8,1.919091975,0.825136844
2008,2009,other_corn,#AAAAAA,#ffd300,1,2,1,6.4,66.84455318,13.44378286
2008,2009,other_dryBeans,#AAAAAA,#e41a1c,1,2,1,1.9,66.84455318,0.233058645
2008,2009,other_hay,#AAAAAA,#f781bf,1,2,1,4.6,66.84455318,1.704080747
2008,2009,other_other,#AAAAAA,#AAAAAA,1,2,1,1,66.84455318,67.2911192
2008,2009,other_soy,#AAAAAA,#4daf4a,1,2,1,5.5,66.84455318,13.52866259
2008,2009,other_springWheat,#AAAAAA,#a65628,1,2,1,3.7,66.84455318,2.974159113
2008,2009,other_sugarbeets,#AAAAAA,#377eb8,1,2,1,2.8,66.84455318,0.825136844
2008,2009,soy_corn,#4daf4a,#ffd300,1,2,5.5,6.4,13.15421994,13.44378286
2008,2009,soy_dryBeans,#4daf4a,#e41a1c,1,2,5.5,1.9,13.15421994,0.233058645
2008,2009,soy_hay,#4daf4a,#f781bf,1,2,5.5,4.6,13.15421994,1.704080747
2008,2009,soy_other,#4daf4a,#AAAAAA,1,2,5.5,1,13.15421994,67.2911192
2008,2009,soy_soy,#4daf4a,#4daf4a,1,2,5.5,5.5,13.15421994,13.52866259
2008,2009,soy_springWheat,#4daf4a,#a65628,1,2,5.5,3.7,13.15421994,2.974159113
2008,2009,soy_sugarbeets,#4daf4a,#377eb8,1,2,5.5,2.8,13.15421994,0.825136844
2008,2009,springWheat_corn,#a65628,#ffd300,1,2,3.7,6.4,3.376562968,13.44378286
2008,2009,springWheat_dryBeans,#a65628,#e41a1c,1,2,3.7,1.9,3.376562968,0.233058645
2008,2009,springWheat_hay,#a65628,#f781bf,1,2,3.7,4.6,3.376562968,1.704080747
2008,2009,springWheat_other,#a65628,#AAAAAA,1,2,3.7,1,3.376562968,67.2911192
2008,2009,springWheat_soy,#a65628,#4daf4a,1,2,3.7,5.5,3.376562968,13.52866259
2008,2009,springWheat_springWheat,#a65628,#a65628,1,2,3.7,3.7,3.376562968,2.974159113
2008,2009,springWheat_sugarbeets,#a65628,#377eb8,1,2,3.7,2.8,3.376562968,0.825136844
