"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"T105 R46W S11",121121,114,121,121,2008,2009
"T105 R46W S11",141141,16,141,141,2008,2009
"T105 R46W S11",195176,3,195,176,2008,2009
"T105 R46W S11",176195,1,176,195,2008,2009
"T105 R46W S11",176176,332,176,176,2008,2009
"T105 R46W S11",176005,19,176,5,2008,2009
"T105 R46W S11",176036,8,176,36,2008,2009
"T105 R46W S11",176141,1,176,141,2008,2009
"T105 R46W S11",195005,1,195,5,2008,2009
"T105 R46W S11",36036,1,36,36,2008,2009
"T105 R46W S11",36176,3,36,176,2008,2009
"T105 R46W S11",122122,15,122,122,2008,2009
"T105 R46W S11",5176,31,5,176,2008,2009
"T105 R46W S11",37176,2,37,176,2008,2009
"T105 R46W S11",122123,1,122,123,2008,2009
"T105 R46W S11",23176,2,23,176,2008,2009
"T105 R46W S11",5005,53,5,5,2008,2009
"T105 R46W S11",23001,46,23,1,2008,2009
"T105 R46W S11",123122,1,123,122,2008,2009
"T105 R46W S11",123123,15,123,123,2008,2009
"T105 R46W S11",121005,3,121,5,2008,2009
"T105 R46W S11",1195,1,1,195,2008,2009
"T105 R46W S11",1001,648,1,1,2008,2009
"T105 R46W S11",1005,632,1,5,2008,2009
"T105 R46W S11",1176,14,1,176,2008,2009
"T105 R46W S11",5001,861,5,1,2008,2009
"T105 R46W S11",195001,4,195,1,2008,2009
"T105 R46W S11",176001,28,176,1,2008,2009
"T105 R46W S11",123176,1,123,176,2008,2009
"T105 R46W S11",121001,7,121,1,2008,2009
"T105 R46W S11",121121,114,121,121,2009,2010
"T105 R46W S11",141141,12,141,141,2009,2010
"T105 R46W S11",195005,1,195,5,2009,2010
"T105 R46W S11",36176,8,36,176,2009,2010
"T105 R46W S11",176036,5,176,36,2009,2010
"T105 R46W S11",176176,276,176,176,2009,2010
"T105 R46W S11",176005,62,176,5,2009,2010
"T105 R46W S11",122122,15,122,122,2009,2010
"T105 R46W S11",141176,5,141,176,2009,2010
"T105 R46W S11",5005,50,5,5,2009,2010
"T105 R46W S11",5176,12,5,176,2009,2010
"T105 R46W S11",123122,1,123,122,2009,2010
"T105 R46W S11",123123,14,123,123,2009,2010
"T105 R46W S11",176061,1,176,61,2009,2010
"T105 R46W S11",5121,10,5,121,2009,2010
"T105 R46W S11",1036,3,1,36,2009,2010
"T105 R46W S11",122176,1,122,176,2009,2010
"T105 R46W S11",36005,1,36,5,2009,2010
"T105 R46W S11",176037,12,176,37,2009,2010
"T105 R46W S11",176001,32,176,1,2009,2010
"T105 R46W S11",195001,1,195,1,2009,2010
"T105 R46W S11",1005,1257,1,5,2009,2010
"T105 R46W S11",1176,13,1,176,2009,2010
"T105 R46W S11",5001,636,5,1,2009,2010
"T105 R46W S11",1001,314,1,1,2009,2010
"T105 R46W S11",123121,1,123,121,2009,2010
"T105 R46W S11",1121,7,1,121,2009,2010
"T105 R46W S11",121121,128,121,121,2010,2011
"T105 R46W S11",176195,11,176,195,2010,2011
"T105 R46W S11",5195,3,5,195,2010,2011
"T105 R46W S11",141141,11,141,141,2010,2011
"T105 R46W S11",36037,1,36,37,2010,2011
"T105 R46W S11",176036,4,176,36,2010,2011
"T105 R46W S11",176037,10,176,37,2010,2011
"T105 R46W S11",122122,13,122,122,2010,2011
"T105 R46W S11",176005,13,176,5,2010,2011
"T105 R46W S11",176141,5,176,141,2010,2011
"T105 R46W S11",122121,1,122,121,2010,2011
"T105 R46W S11",122123,2,122,123,2010,2011
"T105 R46W S11",123122,1,123,122,2010,2011
"T105 R46W S11",141176,1,141,176,2010,2011
"T105 R46W S11",5005,62,5,5,2010,2011
"T105 R46W S11",36005,1,36,5,2010,2011
"T105 R46W S11",61005,1,61,5,2010,2011
"T105 R46W S11",121005,3,121,5,2010,2011
"T105 R46W S11",5036,1,5,36,2010,2011
"T105 R46W S11",123123,13,123,123,2010,2011
"T105 R46W S11",5001,1237,5,1,2010,2011
"T105 R46W S11",5037,2,5,37,2010,2011
"T105 R46W S11",176122,1,176,122,2010,2011
"T105 R46W S11",1001,315,1,1,2010,2011
"T105 R46W S11",176001,6,176,1,2010,2011
"T105 R46W S11",176176,265,176,176,2010,2011
"T105 R46W S11",37037,6,37,37,2010,2011
"T105 R46W S11",5176,66,5,176,2010,2011
"T105 R46W S11",1005,629,1,5,2010,2011
"T105 R46W S11",37176,6,37,176,2010,2011
"T105 R46W S11",1195,5,1,195,2010,2011
"T105 R46W S11",36176,5,36,176,2010,2011
"T105 R46W S11",36001,1,36,1,2010,2011
"T105 R46W S11",121123,1,121,123,2010,2011
"T105 R46W S11",1176,34,1,176,2010,2011
"T105 R46W S11",121121,126,121,121,2011,2012
"T105 R46W S11",141141,14,141,141,2011,2012
"T105 R46W S11",5195,3,5,195,2011,2012
"T105 R46W S11",195037,1,195,37,2011,2012
"T105 R46W S11",176195,2,176,195,2011,2012
"T105 R46W S11",195176,15,195,176,2011,2012
"T105 R46W S11",37036,3,37,36,2011,2012
"T105 R46W S11",121122,1,121,122,2011,2012
"T105 R46W S11",122122,11,122,122,2011,2012
"T105 R46W S11",1036,10,1,36,2011,2012
"T105 R46W S11",5005,25,5,5,2011,2012
"T105 R46W S11",123122,1,123,122,2011,2012
"T105 R46W S11",37176,16,37,176,2011,2012
"T105 R46W S11",141176,2,141,176,2011,2012
"T105 R46W S11",176037,5,176,37,2011,2012
"T105 R46W S11",5001,669,5,1,2011,2012
"T105 R46W S11",122123,4,122,123,2011,2012
"T105 R46W S11",123123,15,123,123,2011,2012
"T105 R46W S11",121005,2,121,5,2011,2012
"T105 R46W S11",1005,773,1,5,2011,2012
"T105 R46W S11",36176,5,36,176,2011,2012
"T105 R46W S11",1001,746,1,1,2011,2012
"T105 R46W S11",5121,3,5,121,2011,2012
"T105 R46W S11",176036,15,176,36,2011,2012
"T105 R46W S11",176005,5,176,5,2011,2012
"T105 R46W S11",176176,315,176,176,2011,2012
"T105 R46W S11",195001,3,195,1,2011,2012
"T105 R46W S11",5176,9,5,176,2011,2012
"T105 R46W S11",176001,33,176,1,2011,2012
"T105 R46W S11",1028,21,1,28,2011,2012
"T105 R46W S11",1176,9,1,176,2011,2012
"T105 R46W S11",176141,1,176,141,2011,2012
"T105 R46W S11",176028,1,176,28,2011,2012
"T105 R46W S11",121121,127,121,121,2012,2013
"T105 R46W S11",141141,15,141,141,2012,2013
"T105 R46W S11",176195,4,176,195,2012,2013
"T105 R46W S11",195176,1,195,176,2012,2013
"T105 R46W S11",37176,5,37,176,2012,2013
"T105 R46W S11",122121,2,122,121,2012,2013
"T105 R46W S11",122122,10,122,122,2012,2013
"T105 R46W S11",176141,2,176,141,2012,2013
"T105 R46W S11",195001,4,195,1,2012,2013
"T105 R46W S11",1005,1005,1,5,2012,2013
"T105 R46W S11",5001,785,5,1,2012,2013
"T105 R46W S11",5005,15,5,5,2012,2013
"T105 R46W S11",36036,21,36,36,2012,2013
"T105 R46W S11",121005,2,121,5,2012,2013
"T105 R46W S11",123122,4,123,122,2012,2013
"T105 R46W S11",123123,14,123,123,2012,2013
"T105 R46W S11",176005,3,176,5,2012,2013
"T105 R46W S11",176036,10,176,36,2012,2013
"T105 R46W S11",5121,2,5,121,2012,2013
"T105 R46W S11",37036,1,37,36,2012,2013
"T105 R46W S11",1001,414,1,1,2012,2013
