"xCoords","yCoords","width","colorToUse"
1,6.4,0.106837606837607,"#ffd300"
1.2,6.4,0.106837606837607,"#ffd300"
1.4,6.4,0.106837606837607,"#ffd300"
2,6.4,0.106837606837607,"#ffd300"
1.8,6.4,0.106837606837607,"#ffd300"
1.6,6.4,0.106837606837607,"#ffd300"
1,6.4,0.213675213675214,"#f781bf"
1.2,6.2,0.213675213675214,"#f781bf"
1.4,6.2,0.213675213675214,"#f781bf"
2,4.6,0.213675213675214,"#ffd300"
1.8,4.8,0.213675213675214,"#ffd300"
1.6,4.8,0.213675213675214,"#ffd300"
1,6.4,2.24358974358974,"#AAAAAA"
1.2,5.8,2.24358974358974,"#AAAAAA"
1.4,5.8,2.24358974358974,"#AAAAAA"
2,1,2.24358974358974,"#ffd300"
1.8,1.6,2.24358974358974,"#ffd300"
1.6,1.6,2.24358974358974,"#ffd300"
1,6.4,31.6595441595442,"#4daf4a"
1.2,6.3,31.6595441595442,"#4daf4a"
1.4,6.3,31.6595441595442,"#4daf4a"
2,5.5,31.6595441595442,"#ffd300"
1.8,5.6,31.6595441595442,"#ffd300"
1.6,5.6,31.6595441595442,"#ffd300"
1,6.4,8.65384615384615,"#a65628"
1.2,6.1,8.65384615384615,"#a65628"
1.4,6.1,8.65384615384615,"#a65628"
2,3.7,8.65384615384615,"#ffd300"
1.8,4,8.65384615384615,"#ffd300"
1.6,4,8.65384615384615,"#ffd300"
1,4.6,6.05413105413105,"#f781bf"
1.2,4.6,6.05413105413105,"#f781bf"
1.4,4.6,6.05413105413105,"#f781bf"
2,4.6,6.05413105413105,"#f781bf"
1.8,4.6,6.05413105413105,"#f781bf"
1.6,4.6,6.05413105413105,"#f781bf"
1,4.6,1.17521367521368,"#AAAAAA"
1.2,4.2,1.17521367521368,"#AAAAAA"
1.4,4.2,1.17521367521368,"#AAAAAA"
2,1,1.17521367521368,"#f781bf"
1.8,1.4,1.17521367521368,"#f781bf"
1.6,1.4,1.17521367521368,"#f781bf"
1,4.6,0.0712250712250712,"#4daf4a"
1.2,4.7,0.0712250712250712,"#4daf4a"
1.4,4.7,0.0712250712250712,"#4daf4a"
2,5.5,0.0712250712250712,"#f781bf"
1.8,5.4,0.0712250712250712,"#f781bf"
1.6,5.4,0.0712250712250712,"#f781bf"
1,1,0.106837606837607,"#ffd300"
1.2,1.6,0.106837606837607,"#ffd300"
1.4,1.6,0.106837606837607,"#ffd300"
2,6.4,0.106837606837607,"#AAAAAA"
1.8,5.8,0.106837606837607,"#AAAAAA"
1.6,5.8,0.106837606837607,"#AAAAAA"
1,1,0.32051282051282,"#f781bf"
1.2,1.4,0.32051282051282,"#f781bf"
1.4,1.4,0.32051282051282,"#f781bf"
2,4.6,0.32051282051282,"#AAAAAA"
1.8,4.2,0.32051282051282,"#AAAAAA"
1.6,4.2,0.32051282051282,"#AAAAAA"
1,1,18.019943019943,"#AAAAAA"
1.2,1,18.019943019943,"#AAAAAA"
1.4,1,18.019943019943,"#AAAAAA"
2,1,18.019943019943,"#AAAAAA"
1.8,1,18.019943019943,"#AAAAAA"
1.6,1,18.019943019943,"#AAAAAA"
1,1,0.249287749287749,"#4daf4a"
1.2,1.5,0.249287749287749,"#4daf4a"
1.4,1.5,0.249287749287749,"#4daf4a"
2,5.5,0.249287749287749,"#AAAAAA"
1.8,5,0.249287749287749,"#AAAAAA"
1.6,5,0.249287749287749,"#AAAAAA"
1,1,0.249287749287749,"#a65628"
1.2,1.3,0.249287749287749,"#a65628"
1.4,1.3,0.249287749287749,"#a65628"
2,3.7,0.249287749287749,"#AAAAAA"
1.8,3.4,0.249287749287749,"#AAAAAA"
1.6,3.4,0.249287749287749,"#AAAAAA"
1,5.5,13.960113960114,"#ffd300"
1.2,5.6,13.960113960114,"#ffd300"
1.4,5.6,13.960113960114,"#ffd300"
2,6.4,13.960113960114,"#4daf4a"
1.8,6.3,13.960113960114,"#4daf4a"
1.6,6.3,13.960113960114,"#4daf4a"
1,5.5,3.24074074074074,"#f781bf"
1.2,5.4,3.24074074074074,"#f781bf"
1.4,5.4,3.24074074074074,"#f781bf"
