"xCoords","yCoords","width","colorToUse"
1,6.4,0.00181103645616386,"#AAAAAA"
1.2,5.8,0.00181103645616386,"#AAAAAA"
1.4,5.8,0.00181103645616386,"#AAAAAA"
2,1,0.00181103645616386,"#ffd300"
1.8,1.6,0.00181103645616386,"#ffd300"
1.6,1.6,0.00181103645616386,"#ffd300"
1,4.6,0.00181103645616386,"#ffd300"
1.2,4.8,0.00181103645616386,"#ffd300"
1.4,4.8,0.00181103645616386,"#ffd300"
2,6.4,0.00181103645616386,"#f781bf"
1.8,6.2,0.00181103645616386,"#f781bf"
1.6,6.2,0.00181103645616386,"#f781bf"
1,4.6,0.20645815600268,"#f781bf"
1.2,4.6,0.20645815600268,"#f781bf"
1.4,4.6,0.20645815600268,"#f781bf"
2,4.6,0.20645815600268,"#f781bf"
1.8,4.6,0.20645815600268,"#f781bf"
1.6,4.6,0.20645815600268,"#f781bf"
1,4.6,0.0434648749479327,"#AAAAAA"
1.2,4.2,0.0434648749479327,"#AAAAAA"
1.4,4.2,0.0434648749479327,"#AAAAAA"
2,1,0.0434648749479327,"#f781bf"
1.8,1.4,0.0434648749479327,"#f781bf"
1.6,1.4,0.0434648749479327,"#f781bf"
1,1,0.0199214010178025,"#ffd300"
1.2,1.6,0.0199214010178025,"#ffd300"
1.4,1.6,0.0199214010178025,"#ffd300"
2,6.4,0.0199214010178025,"#AAAAAA"
1.8,5.8,0.0199214010178025,"#AAAAAA"
1.6,5.8,0.0199214010178025,"#AAAAAA"
1,1,0.0181103645616386,"#f781bf"
1.2,1.4,0.0181103645616386,"#f781bf"
1.4,1.4,0.0181103645616386,"#f781bf"
2,4.6,0.0181103645616386,"#AAAAAA"
1.8,4.2,0.0181103645616386,"#AAAAAA"
1.6,4.2,0.0181103645616386,"#AAAAAA"
1,1,99.6885017295398,"#AAAAAA"
1.2,1,99.6885017295398,"#AAAAAA"
1.4,1,99.6885017295398,"#AAAAAA"
2,1,99.6885017295398,"#AAAAAA"
1.8,1,99.6885017295398,"#AAAAAA"
1.6,1,99.6885017295398,"#AAAAAA"
1,1,0.0181103645616386,"#4daf4a"
1.2,1.5,0.0181103645616386,"#4daf4a"
1.4,1.5,0.0181103645616386,"#4daf4a"
2,5.5,0.0181103645616386,"#AAAAAA"
1.8,5,0.0181103645616386,"#AAAAAA"
1.6,5,0.0181103645616386,"#AAAAAA"
1,3.7,0.00181103645616386,"#AAAAAA"
1.2,3.4,0.00181103645616386,"#AAAAAA"
1.4,3.4,0.00181103645616386,"#AAAAAA"
2,1,0.00181103645616386,"#a65628"
1.8,1.3,0.00181103645616386,"#a65628"
1.6,1.3,0.00181103645616386,"#a65628"
2,6.4,0.0217324374739663,"#AAAAAA"
2.2,5.8,0.0217324374739663,"#AAAAAA"
2.4,5.8,0.0217324374739663,"#AAAAAA"
3,1,0.0217324374739663,"#ffd300"
2.8,1.6,0.0217324374739663,"#ffd300"
2.6,1.6,0.0217324374739663,"#ffd300"
2,4.6,0.039842802035605,"#f781bf"
2.2,4.6,0.039842802035605,"#f781bf"
2.4,4.6,0.039842802035605,"#f781bf"
3,4.6,0.039842802035605,"#f781bf"
2.8,4.6,0.039842802035605,"#f781bf"
2.6,4.6,0.039842802035605,"#f781bf"
2,4.6,0.0181103645616386,"#AAAAAA"
2.2,4.2,0.0181103645616386,"#AAAAAA"
2.4,4.2,0.0181103645616386,"#AAAAAA"
3,1,0.0181103645616386,"#f781bf"
2.8,1.4,0.0181103645616386,"#f781bf"
2.6,1.4,0.0181103645616386,"#f781bf"
2,1,0.00181103645616386,"#ffd300"
